Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,25,TOR,,CHI,W (+17),0,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-4
2,,2017-10-21,25,TOR,,PHI,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
3,,2017-10-23,25,TOR,@,SAS,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,,2017-10-25,25,TOR,@,GSW,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,,2017-10-27,25,TOR,@,LAL,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,2,2017-10-30,25,TOR,@,POR,W (+14),0,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2
7,3,2017-11-01,25,TOR,@,DEN,L (-18),0,8:58,3,3,1,1,1,1,2,3,0.667,0,2,2,0,0,1,1,3,9,6.8,14
8,,2017-11-03,25,TOR,@,UTA,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
9,,2017-11-05,25,TOR,,WAS,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2017-11-07,25,TOR,,CHI,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
11,,2017-11-09,25,TOR,,NOP,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2017-11-12,25,TOR,@,BOS,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
13,4,2017-11-14,25,TOR,@,HOU,W (+16),0,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2
14,5,2017-11-15,25,TOR,@,NOP,W (+9),0,3:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-3
15,6,2017-11-17,25,TOR,,NYK,W (+23),0,2:40,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,0
16,,2017-11-19,25,TOR,,WAS,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,,2017-11-22,25,TOR,@,NYK,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
18,,2017-11-24,25,TOR,@,IND,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
19,7,2017-11-25,25,TOR,@,ATL,W (+34),0,6:32,1,3,0.333,0,2,0,0,0,,0,1,1,1,0,0,0,3,2,0.1,-1
20,,2017-11-29,25,TOR,,CHO,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
21,,2017-12-01,25,TOR,,IND,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
22,8,2017-12-05,25,TOR,,PHO,W (+13),0,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-2
23,,2017-12-08,25,TOR,@,MEM,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
24,,2017-12-10,25,TOR,@,SAC,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
25,,2017-12-11,25,TOR,@,LAC,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
26,,2017-12-13,25,TOR,@,PHO,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
27,9,2017-12-15,25,TOR,,BRK,W (+33),0,7:08,0,1,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0.3,5
28,,2017-12-17,25,TOR,,SAC,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
29,,2017-12-20,25,TOR,@,CHO,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2017-12-21,25,TOR,@,PHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2017-12-23,25,TOR,,PHI,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2017-12-26,25,TOR,@,DAL,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2017-12-27,25,TOR,@,OKC,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2017-12-29,25,TOR,,ATL,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
35,,2018-01-01,25,TOR,,MIL,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
36,,2018-01-03,25,TOR,@,CHI,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
37,,2018-01-05,25,TOR,@,MIL,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
38,,2018-01-08,25,TOR,@,BRK,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
39,,2018-01-09,25,TOR,,MIA,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
40,,2018-01-11,25,TOR,,CLE,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
41,,2018-01-13,25,TOR,,GSW,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
42,,2018-01-15,25,TOR,@,PHI,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
43,,2018-01-17,25,TOR,,DET,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
44,,2018-01-19,25,TOR,,SAS,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,,2018-01-20,25,TOR,@,MIN,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
46,10,2018-01-24,25,TOR,@,ATL,W (+15),0,5:52,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,2,0,2,-0.7,-13
47,,2018-01-26,25,TOR,,UTA,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
48,,2018-01-28,25,TOR,,LAL,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
49,,2018-01-30,25,TOR,,MIN,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
50,,2018-02-01,25,TOR,@,WAS,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
51,11,2018-02-02,25,TOR,,POR,W (+25),0,4:07,1,3,0.333,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,1.3,-1
52,,2018-02-04,25,TOR,,MEM,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
53,,2018-02-06,25,TOR,,BOS,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
54,,2018-02-08,25,TOR,,NYK,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
55,,2018-02-11,25,TOR,@,CHO,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
56,,2018-02-13,25,TOR,,MIA,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
57,12,2018-02-14,25,TOR,@,CHI,W (+24),0,4:56,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,1,3,2.3,-1
58,,2018-02-23,25,TOR,,MIL,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
59,,2018-02-26,25,TOR,,DET,W (+29),Inactive,,,,,,,,,,,,,,,,,,,,,
60,,2018-02-28,25,TOR,@,ORL,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
61,,2018-03-02,25,TOR,@,WAS,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
62,,2018-03-04,25,TOR,,CHO,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
63,13,2018-03-06,25,TOR,,ATL,W (+16),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
64,,2018-03-07,25,TOR,@,DET,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
65,,2018-03-09,25,TOR,,HOU,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
66,,2018-03-11,25,TOR,@,NYK,W (+26),Inactive,,,,,,,,,,,,,,,,,,,,,
67,,2018-03-13,25,TOR,@,BRK,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
68,,2018-03-15,25,TOR,@,IND,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
69,,2018-03-16,25,TOR,,DAL,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
70,,2018-03-18,25,TOR,,OKC,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
71,,2018-03-20,25,TOR,@,ORL,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
72,,2018-03-21,25,TOR,@,CLE,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
73,,2018-03-23,25,TOR,,BRK,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
74,,2018-03-25,25,TOR,,LAC,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
75,,2018-03-27,25,TOR,,DEN,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
76,,2018-03-31,25,TOR,@,BOS,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
77,,2018-04-03,25,TOR,@,CLE,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
78,,2018-04-04,25,TOR,,BOS,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
79,,2018-04-06,25,TOR,,IND,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
80,,2018-04-08,25,TOR,,ORL,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
81,14,2018-04-09,25,TOR,@,DET,W (+10),0,4:34,1,2,0.5,0,1,0,0,0,,1,0,1,0,0,0,0,0,2,1.7,-11
82,,2018-04-11,25,TOR,@,MIA,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
