Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2018-04-14,25-209,TOR,,WAS,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,,2018-04-17,25-212,TOR,,WAS,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
3,,2018-04-20,25-215,TOR,@,WAS,L (-19),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,,2018-04-22,25-217,TOR,@,WAS,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,,2018-04-25,25-220,TOR,,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,,2018-04-27,25-222,TOR,@,WAS,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2018-05-01,25-226,TOR,,CLE,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2018-05-03,25-228,TOR,,CLE,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2018-05-05,25-230,TOR,@,CLE,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2018-05-07,25-232,TOR,@,CLE,L (-35),Inactive,,,,,,,,,,,,,,,,,,,,,
