Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2017-10-19,22,TOR,,CHI,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
2,1,2017-10-21,22,TOR,,PHI,W (+34),0,6:07,0,2,0,0,2,0,0,0,,0,1,1,1,1,0,0,1,0,0.2,8
3,,2017-10-23,22,TOR,@,SAS,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,,2017-10-25,22,TOR,@,GSW,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,,2017-10-27,22,TOR,@,LAL,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,2,2017-10-30,22,TOR,@,POR,W (+14),0,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2
7,,2017-11-01,22,TOR,@,DEN,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2017-11-03,22,TOR,@,UTA,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
9,,2017-11-05,22,TOR,,WAS,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,,2017-11-07,22,TOR,,CHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2017-11-09,22,TOR,,NOP,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2017-11-12,22,TOR,@,BOS,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2017-11-14,22,TOR,@,HOU,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2017-11-15,22,TOR,@,NOP,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2017-11-17,22,TOR,,NYK,W (+23),Did Not Play,,,,,,,,,,,,,,,,,,,,,
16,,2017-11-19,22,TOR,,WAS,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,,2017-11-22,22,TOR,@,NYK,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2017-11-24,22,TOR,@,IND,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2017-11-25,22,TOR,@,ATL,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
20,,2017-11-29,22,TOR,,CHO,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
21,,2017-12-01,22,TOR,,IND,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2017-12-05,22,TOR,,PHO,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2017-12-08,22,TOR,@,MEM,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2017-12-10,22,TOR,@,SAC,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2017-12-11,22,TOR,@,LAC,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2017-12-13,22,TOR,@,PHO,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2017-12-15,22,TOR,,BRK,W (+33),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2017-12-17,22,TOR,,SAC,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2017-12-20,22,TOR,@,CHO,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2017-12-21,22,TOR,@,PHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2017-12-23,22,TOR,,PHI,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2017-12-26,22,TOR,@,DAL,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2017-12-27,22,TOR,@,OKC,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
