Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,31-027,TOR,,WAS,W (+8),0,19:18,4,8,0.5,4,7,0.571,0,0,,0,2,2,0,1,0,0,0,12,9.6,1
2,2,2018-04-17,31-030,TOR,,WAS,W (+11),0,22:12,5,7,0.714,4,6,0.667,4,4,1,0,2,2,0,0,0,1,4,18,13.1,-1
3,3,2018-04-20,31-033,TOR,@,WAS,L (-19),0,23:03,2,7,0.286,1,5,0.2,4,5,0.8,0,1,1,1,0,0,0,0,9,5.5,-22
4,4,2018-04-22,31-035,TOR,@,WAS,L (-8),0,21:21,1,4,0.25,0,3,0,0,0,,0,1,1,1,1,0,3,3,2,-2.6,1
5,5,2018-04-25,31-038,TOR,,WAS,W (+10),0,23:29,2,7,0.286,2,7,0.286,2,2,1,0,4,4,2,1,1,0,1,8,7.8,12
6,6,2018-04-27,31-040,TOR,@,WAS,W (+10),0,19:03,3,7,0.429,1,3,0.333,0,0,,0,0,0,0,1,0,1,2,7,2.5,6
7,7,2018-05-01,31-044,TOR,,CLE,L (-1),0,21:17,2,6,0.333,2,3,0.667,0,0,,2,3,5,1,0,1,1,0,6,5.3,0
8,8,2018-05-03,31-046,TOR,,CLE,L (-18),0,20:04,3,5,0.6,2,2,1,0,0,,0,0,0,1,0,1,0,3,8,5.9,-12
9,9,2018-05-05,31-048,TOR,@,CLE,L (-2),0,34:15:00,5,9,0.556,3,7,0.429,0,1,0,2,4,6,1,1,0,1,4,13,10,6
10,10,2018-05-07,31-050,TOR,@,CLE,L (-35),1,23:02,5,11,0.455,0,2,0,3,4,0.75,2,1,3,1,2,0,2,4,13,7.7,-15
