Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,27-080,TOR,,DET,W (+18),1,34:28:00,17,27,0.63,0,2,0,6,6,1,1,3,4,1,1,0,6,1,40,24.8,21
2,2,2016-10-28,27-082,TOR,,CLE,L (-3),1,38:21:00,12,28,0.429,0,1,0,8,8,1,2,5,7,2,2,0,3,3,32,19.3,0
3,3,2016-10-31,27-085,TOR,,DEN,W (+3),1,38:52:00,13,23,0.565,0,1,0,7,9,0.778,2,3,5,1,1,0,1,1,33,23.9,0
4,4,2016-11-02,27-087,TOR,@,WAS,W (+10),1,37:00:00,14,23,0.609,1,2,0.5,11,16,0.688,1,4,5,5,2,0,1,3,40,32.7,10
5,5,2016-11-04,27-089,TOR,,MIA,W (+9),1,36:52:00,14,26,0.538,0,2,0,6,6,1,1,3,4,4,0,0,4,2,34,21,-1
6,6,2016-11-06,27-091,TOR,,SAC,L (-5),1,37:46:00,7,20,0.35,1,2,0.5,8,10,0.8,0,4,4,3,0,0,1,2,23,12.5,-12
7,7,2016-11-09,27-094,TOR,@,OKC,W (+10),1,38:50:00,13,22,0.591,0,2,0,11,15,0.733,0,4,4,6,3,0,4,2,37,28.8,20
8,8,2016-11-11,27-096,TOR,@,CHO,W (+2),1,35:34:00,14,26,0.538,0,1,0,6,7,0.857,0,3,3,3,2,0,1,1,34,24.6,-12
9,9,2016-11-12,27-097,TOR,,NYK,W (+11),1,36:13:00,11,23,0.478,1,1,1,10,13,0.769,2,5,7,4,2,0,2,1,33,25.4,7
10,10,2016-11-15,27-100,TOR,@,CLE,L (-4),1,34:10:00,10,27,0.37,2,5,0.4,4,8,0.5,1,5,6,4,3,0,2,1,26,15.1,-9
11,11,2016-11-16,27-101,TOR,,GSW,L (-6),1,37:57:00,8,18,0.444,1,4,0.25,17,17,1,1,5,6,4,1,0,5,3,34,24.4,1
12,12,2016-11-18,27-103,TOR,@,DEN,W (+2),1,36:24:00,12,25,0.48,0,1,0,6,10,0.6,0,5,5,4,2,0,4,5,30,16,8
13,13,2016-11-20,27-105,TOR,@,SAC,L (-3),1,38:45:00,3,15,0.2,0,1,0,6,6,1,3,6,9,4,0,0,3,3,12,5.2,-17
14,14,2016-11-21,27-106,TOR,@,LAC,L (-8),1,35:39:00,11,21,0.524,0,1,0,3,4,0.75,1,3,4,7,1,0,1,3,25,19.6,-11
15,15,2016-11-23,27-108,TOR,@,HOU,W (+13),1,36:01:00,8,19,0.421,2,3,0.667,6,7,0.857,2,3,5,9,2,0,2,1,24,21.7,17
16,16,2016-11-25,27-110,TOR,@,MIL,W (+6),1,34:50:00,9,18,0.5,0,2,0,8,10,0.8,1,6,7,4,0,0,1,1,26,20.1,5
17,17,2016-11-28,27-113,TOR,,PHI,W (+27),1,30:43:00,4,13,0.308,0,0,,6,6,1,0,5,5,5,1,1,3,1,14,9.8,23
18,18,2016-11-30,27-115,TOR,,MEM,W (+15),1,35:30:00,6,9,0.667,2,3,0.667,10,11,0.909,1,8,9,6,0,0,7,2,24,19.2,16
19,19,2016-12-02,27-117,TOR,,LAL,W (+33),1,29:28:00,6,18,0.333,0,1,0,4,4,1,1,3,4,6,2,0,1,0,16,12.6,16
20,20,2016-12-03,27-118,TOR,,ATL,W (+44),1,30:39:00,8,16,0.5,0,1,0,5,6,0.833,0,3,3,4,1,0,2,1,21,14.9,13
21,21,2016-12-05,27-120,TOR,,CLE,L (-4),1,38:32:00,12,23,0.522,0,2,0,7,7,1,0,4,4,5,3,0,1,3,31,25.2,-5
22,22,2016-12-08,27-123,TOR,,MIN,W (+14),1,36:45:00,7,20,0.35,1,1,1,12,13,0.923,1,7,8,5,0,0,2,2,27,18.9,5
23,23,2016-12-09,27-124,TOR,@,BOS,W (+7),1,37:27:00,9,25,0.36,0,1,0,6,6,1,0,5,5,2,0,0,4,1,24,8.6,16
24,24,2016-12-12,27-127,TOR,,MIL,W (+22),1,32:06:00,7,11,0.636,1,1,1,15,15,1,1,2,3,3,0,0,2,0,30,26.5,-2
25,25,2016-12-14,27-129,TOR,@,PHI,W (+9),1,29:44:00,11,18,0.611,0,1,0,9,11,0.818,2,3,5,3,0,0,2,1,31,24,17
26,26,2016-12-16,27-131,TOR,,ATL,L (-4),1,36:37:00,15,26,0.577,0,0,,4,6,0.667,0,5,5,4,2,1,3,3,34,23.8,-8
27,27,2016-12-18,27-133,TOR,@,ORL,W (+30),1,30:17:00,13,21,0.619,1,3,0.333,4,4,1,0,5,5,4,1,0,3,2,31,23,14
28,28,2016-12-20,27-135,TOR,,BRK,W (+12),1,29:05:00,6,20,0.3,0,2,0,3,4,0.75,0,1,1,2,1,0,1,2,15,3.9,18
29,29,2016-12-23,27-138,TOR,@,UTA,W (+6),1,37:07:00,10,24,0.417,0,1,0,4,6,0.667,1,5,6,1,4,0,2,3,24,14.1,-11
30,30,2016-12-26,27-141,TOR,@,POR,W (+4),1,36:58:00,8,22,0.364,0,1,0,4,7,0.571,5,5,10,7,3,0,3,1,20,16.1,12
31,31,2016-12-28,27-143,TOR,@,GSW,L (-10),1,38:55:00,10,23,0.435,0,1,0,9,10,0.9,1,4,5,6,3,1,0,2,29,25.5,-15
32,32,2016-12-29,27-144,TOR,@,PHO,L (-8),1,34:58:00,8,18,0.444,0,3,0,8,10,0.8,0,3,3,2,0,0,2,2,24,13.3,-10
33,33,2017-01-01,27-147,TOR,@,LAL,W (+9),1,35:18:00,10,25,0.4,0,0,,11,13,0.846,0,1,1,3,1,1,1,3,31,18.6,-9
34,34,2017-01-03,27-149,TOR,@,SAS,L (-28),1,31:48:00,12,21,0.571,0,0,,2,3,0.667,1,3,4,2,0,0,3,2,26,14.9,-30
35,35,2017-01-05,27-151,TOR,,UTA,W (+8),1,36:33:00,8,26,0.308,0,1,0,7,10,0.7,2,5,7,2,2,1,1,2,23,12,8
36,36,2017-01-07,27-153,TOR,@,CHI,L (-5),1,42:56:00,10,23,0.435,0,1,0,16,17,0.941,1,7,8,2,2,1,2,3,36,27.2,-4
37,37,2017-01-08,27-154,TOR,,HOU,L (-7),1,39:22:00,13,21,0.619,0,0,,10,10,1,0,6,6,5,0,1,6,4,36,24.9,8
38,38,2017-01-10,27-156,TOR,,BOS,W (+8),1,37:54:00,16,29,0.552,1,2,0.5,8,9,0.889,2,11,13,0,2,0,1,1,41,32,19
39,39,2017-01-13,27-159,TOR,,BRK,W (+19),1,29:36:00,11,22,0.5,0,1,0,6,8,0.75,2,2,4,2,0,0,0,1,28,19.2,1
40,40,2017-01-15,27-161,TOR,,NYK,W (+15),1,28:19:00,8,17,0.471,0,0,,7,7,1,0,5,5,5,0,0,2,2,23,16.5,24
41,41,2017-01-17,27-163,TOR,@,BRK,W (+10),1,36:59:00,13,28,0.464,0,0,,10,10,1,2,9,11,6,1,0,3,2,36,27.1,5
42,42,2017-01-18,27-164,TOR,@,PHI,L (-5),1,38:02:00,11,21,0.524,0,0,,3,4,0.75,1,2,3,6,1,0,2,1,25,18.4,-6
43,43,2017-01-20,27-166,TOR,@,CHO,L (-35),1,30:33:00,8,17,0.471,2,3,0.667,5,6,0.833,0,3,3,2,0,0,4,0,23,12.2,-29
44,44,2017-01-22,27-168,TOR,,PHO,L (-12),1,36:50:00,6,17,0.353,0,1,0,10,11,0.909,1,2,3,4,1,1,2,2,22,15.1,-11
45,,2017-01-24,27-170,TOR,,SAS,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
46,,2017-01-25,27-171,TOR,@,MEM,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
47,,2017-01-27,27-173,TOR,,MIL,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
48,45,2017-01-29,27-175,TOR,,ORL,L (-1),1,36:15:00,6,18,0.333,0,1,0,10,11,0.909,1,6,7,6,0,0,1,3,22,15.9,4
49,,2017-01-31,27-177,TOR,,NOP,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
50,,2017-02-01,27-178,TOR,@,BOS,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
51,,2017-02-03,27-180,TOR,@,ORL,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
52,,2017-02-05,27-182,TOR,@,BRK,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
53,46,2017-02-06,27-183,TOR,,LAC,W (+9),1,38:17:00,11,22,0.5,2,3,0.667,7,9,0.778,2,3,5,2,1,0,0,1,31,23.5,1
54,47,2017-02-08,27-185,TOR,@,MIN,L (-3),1,37:32:00,12,25,0.48,1,4,0.25,5,7,0.714,1,3,4,2,1,0,2,3,30,17.3,-2
55,48,2017-02-12,27-189,TOR,,DET,L (-1),1,37:39:00,10,21,0.476,0,1,0,6,7,0.857,1,6,7,2,0,1,2,1,26,17.1,6
56,49,2017-02-14,27-191,TOR,@,CHI,L (-11),1,37:46:00,5,19,0.263,0,1,0,8,9,0.889,1,4,5,3,1,0,3,5,18,6.3,-13
57,50,2017-02-15,27-192,TOR,,CHO,W (+5),1,31:00:00,5,19,0.263,0,3,0,0,2,0,0,3,3,2,0,0,3,0,10,-2.8,-15
58,51,2017-02-24,27-201,TOR,,BOS,W (+10),1,37:08:00,15,28,0.536,1,3,0.333,12,12,1,0,5,5,5,0,0,3,2,43,30.6,15
59,52,2017-02-26,27-203,TOR,,POR,W (+6),1,36:22:00,9,16,0.563,0,2,0,15,16,0.938,0,6,6,2,2,1,4,2,33,26.1,9
60,53,2017-02-27,27-204,TOR,@,NYK,W (+1),1,37:24:00,13,25,0.52,1,3,0.333,10,13,0.769,3,5,8,2,2,0,2,1,37,28.1,-1
61,54,2017-03-01,27-206,TOR,,WAS,L (-9),1,33:41:00,7,20,0.35,0,0,,10,11,0.909,0,3,3,2,1,0,2,3,24,12.5,-2
62,55,2017-03-03,27-208,TOR,@,WAS,W (+8),1,37:55:00,10,17,0.588,3,3,1,9,12,0.75,2,11,13,5,0,0,4,2,32,26.3,-5
63,56,2017-03-04,27-209,TOR,@,MIL,L (-7),1,31:18:00,5,13,0.385,0,1,0,1,1,1,0,3,3,4,0,0,3,3,11,3.4,3
64,57,2017-03-08,27-213,TOR,@,NOP,W (+7),1,37:38:00,5,15,0.333,0,1,0,4,6,0.667,1,1,2,6,3,0,0,0,14,12.9,9
65,58,2017-03-10,27-215,TOR,@,ATL,L (-6),1,36:33:00,12,30,0.4,1,8,0.125,3,4,0.75,1,7,8,6,2,0,3,5,28,15.4,-4
66,59,2017-03-11,27-216,TOR,@,MIA,L (-15),1,28:26:00,5,16,0.313,0,2,0,7,7,1,1,3,4,2,1,0,2,0,17,9.8,-12
67,60,2017-03-13,27-218,TOR,,DAL,W (+22),1,32:29:00,10,17,0.588,1,2,0.5,4,4,1,1,5,6,2,2,0,2,0,25,20.7,18
68,61,2017-03-16,27-221,TOR,,OKC,L (-21),1,28:49:00,8,14,0.571,0,1,0,6,7,0.857,0,3,3,3,0,0,3,1,22,14.6,-25
69,62,2017-03-17,27-222,TOR,@,DET,W (+12),1,36:04:00,3,9,0.333,0,1,0,8,8,1,0,8,8,6,0,0,2,1,14,13.1,15
70,63,2017-03-19,27-224,TOR,,IND,W (+25),1,29:12:00,9,19,0.474,1,2,0.5,3,4,0.75,0,3,3,4,0,0,4,1,22,11.2,11
71,64,2017-03-21,27-226,TOR,,CHI,W (+2),1,43:29:00,17,38,0.447,1,5,0.2,7,11,0.636,4,3,7,8,2,1,2,1,42,30.2,6
72,65,2017-03-23,27-228,TOR,@,MIA,W (+17),1,36:05:00,14,25,0.56,0,2,0,12,13,0.923,1,5,6,3,1,0,1,0,40,32,3
73,66,2017-03-25,27-230,TOR,@,DAL,W (+8),1,36:33:00,8,17,0.471,1,2,0.5,1,2,0.5,0,3,3,6,1,1,3,3,18,11.5,3
74,67,2017-03-27,27-232,TOR,,ORL,W (+19),1,36:25:00,13,21,0.619,1,1,1,9,14,0.643,0,2,2,3,0,0,2,3,36,24,9
75,68,2017-03-29,27-234,TOR,,CHO,L (-4),1,38:37:00,11,24,0.458,0,2,0,6,7,0.857,1,5,6,8,0,0,2,1,28,20.6,8
76,69,2017-03-31,27-236,TOR,,IND,W (+11),1,37:56:00,11,26,0.423,3,4,0.75,15,20,0.75,2,7,9,4,1,0,3,1,40,28.1,14
77,70,2017-04-02,27-238,TOR,,PHI,W (+8),1,31:05:00,6,11,0.545,0,0,,5,5,1,1,0,1,9,0,0,3,1,17,15.3,7
78,71,2017-04-04,27-240,TOR,@,IND,L (-18),1,40:19:00,9,21,0.429,0,2,0,9,10,0.9,1,2,3,2,3,0,2,3,27,18,-21
79,72,2017-04-05,27-241,TOR,@,DET,W (+3),1,34:22:00,5,17,0.294,0,1,0,2,3,0.667,1,3,4,10,0,0,3,2,12,6.5,-2
80,73,2017-04-07,27-243,TOR,,MIA,W (+2),1,37:49:00,14,32,0.438,0,1,0,10,11,0.909,1,5,6,2,1,1,6,1,38,19.7,0
81,74,2017-04-09,27-245,TOR,@,NYK,W (+13),1,29:21:00,11,15,0.733,0,0,,13,15,0.867,0,2,2,0,0,0,2,2,35,25.9,8
82,,2017-04-12,27-248,TOR,@,CLE,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
