Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,30-215,TOR,,DET,W (+18),1,37:46:00,3,13,0.231,1,5,0.2,3,3,1,1,4,5,8,1,0,2,2,10,7.8,2
2,2,2016-10-28,30-217,TOR,,CLE,L (-3),1,39:25:00,5,16,0.313,1,5,0.2,6,7,0.857,0,2,2,4,0,0,6,4,17,3.2,-9
3,3,2016-10-31,30-220,TOR,,DEN,W (+3),1,35:37:00,10,20,0.5,1,5,0.2,8,10,0.8,0,5,5,7,3,0,3,4,29,23,7
4,4,2016-11-02,30-222,TOR,@,WAS,W (+10),1,35:37:00,7,13,0.538,3,6,0.5,1,2,0.5,0,1,1,2,4,0,3,2,18,13.2,4
5,5,2016-11-04,30-224,TOR,,MIA,W (+9),1,41:16:00,4,15,0.267,2,8,0.25,3,3,1,4,4,8,5,3,3,5,3,13,10.5,11
6,6,2016-11-06,30-226,TOR,,SAC,L (-5),1,39:22:00,5,16,0.313,3,10,0.3,2,3,0.667,1,3,4,10,2,1,0,3,15,15.5,9
7,7,2016-11-09,30-229,TOR,@,OKC,W (+10),1,42:46:00,6,20,0.3,5,11,0.455,2,2,1,2,7,9,13,0,1,5,4,19,14.1,5
8,8,2016-11-11,30-231,TOR,@,CHO,W (+2),1,35:34:00,7,16,0.438,2,8,0.25,3,3,1,1,7,8,6,2,1,0,5,19,18.3,12
9,9,2016-11-12,30-232,TOR,,NYK,W (+11),1,40:48:00,7,15,0.467,0,5,0,2,2,1,3,3,6,6,0,0,2,3,16,12.3,18
10,10,2016-11-15,30-235,TOR,@,CLE,L (-4),1,39:43:00,11,23,0.478,4,8,0.5,2,2,1,3,2,5,9,4,0,1,3,28,27.1,8
11,11,2016-11-16,30-236,TOR,,GSW,L (-6),1,37:34:00,6,17,0.353,3,6,0.5,9,12,0.75,2,3,5,5,3,0,4,3,24,16.9,-9
12,12,2016-11-18,30-238,TOR,@,DEN,W (+2),1,38:26:00,6,15,0.4,3,7,0.429,3,4,0.75,0,6,6,13,0,0,4,1,18,16,9
13,13,2016-11-20,30-240,TOR,@,SAC,L (-3),1,35:55:00,7,17,0.412,2,7,0.286,9,10,0.9,1,7,8,6,2,0,7,5,25,15.5,11
14,14,2016-11-21,30-241,TOR,@,LAC,L (-8),1,41:42:00,8,18,0.444,3,7,0.429,8,9,0.889,0,6,6,7,0,0,3,4,27,19.3,-6
15,15,2016-11-23,30-243,TOR,@,HOU,W (+13),1,35:43:00,6,15,0.4,2,7,0.286,3,4,0.75,1,0,1,9,1,0,3,3,17,12.3,4
16,16,2016-11-25,30-245,TOR,@,MIL,W (+6),1,37:05:00,7,15,0.467,4,8,0.5,1,1,1,1,4,5,6,2,0,2,1,19,17,5
17,17,2016-11-28,30-248,TOR,,PHI,W (+27),1,31:32:00,7,9,0.778,6,6,1,4,5,0.8,0,4,4,8,1,0,3,0,24,24.9,15
18,18,2016-11-30,30-250,TOR,,MEM,W (+15),1,37:08:00,8,13,0.615,4,7,0.571,9,10,0.9,0,3,3,8,2,0,2,4,29,27.6,1
19,19,2016-12-02,30-252,TOR,,LAL,W (+33),1,30:34:00,8,12,0.667,6,9,0.667,2,2,1,0,4,4,7,1,0,4,1,24,21.5,18
20,20,2016-12-03,30-253,TOR,,ATL,W (+44),1,31:10:00,6,9,0.667,3,5,0.6,2,2,1,1,7,8,8,0,1,1,4,17,19.6,34
21,21,2016-12-05,30-255,TOR,,CLE,L (-4),1,40:16:00,7,14,0.5,4,9,0.444,6,7,0.857,1,2,3,9,1,0,2,2,24,22.4,-5
22,22,2016-12-08,30-258,TOR,,MIN,W (+14),1,38:18:00,8,14,0.571,5,7,0.714,4,6,0.667,1,1,2,11,1,0,2,1,25,24.9,27
23,23,2016-12-09,30-259,TOR,@,BOS,W (+7),1,35:54:00,9,18,0.5,4,8,0.5,12,13,0.923,1,6,7,2,3,0,2,4,34,27.9,12
24,24,2016-12-12,30-262,TOR,,MIL,W (+22),1,34:11:00,5,9,0.556,4,7,0.571,4,4,1,0,3,3,7,1,0,5,3,18,14.3,29
25,25,2016-12-14,30-264,TOR,@,PHI,W (+9),1,36:52:00,6,12,0.5,5,10,0.5,3,3,1,1,3,4,7,0,0,0,2,20,19.7,5
26,26,2016-12-16,30-266,TOR,,ATL,L (-4),1,36:56:00,9,16,0.563,6,8,0.75,3,6,0.5,0,2,2,6,0,0,3,5,27,18,17
27,27,2016-12-18,30-268,TOR,@,ORL,W (+30),1,34:57:00,3,9,0.333,2,7,0.286,8,8,1,0,3,3,10,1,0,4,1,16,15.4,24
28,28,2016-12-20,30-270,TOR,,BRK,W (+12),1,33:44:00,8,12,0.667,3,5,0.6,4,5,0.8,1,3,4,8,3,1,3,2,23,24.5,9
29,29,2016-12-23,30-273,TOR,@,UTA,W (+6),1,33:17:00,15,20,0.75,4,8,0.5,2,3,0.667,0,4,4,5,2,0,4,2,36,29.5,21
30,30,2016-12-26,30-276,TOR,@,POR,W (+4),1,40:16:00,8,18,0.444,5,13,0.385,6,7,0.857,1,5,6,4,2,0,3,4,27,19.6,-8
31,31,2016-12-28,30-278,TOR,@,GSW,L (-10),1,40:18:00,9,22,0.409,5,12,0.417,4,5,0.8,2,4,6,11,2,0,3,3,27,22.9,4
32,32,2016-12-29,30-279,TOR,@,PHO,L (-8),1,38:00:00,7,15,0.467,3,9,0.333,7,9,0.778,0,5,5,5,2,1,4,4,24,17.6,-9
33,33,2017-01-01,30-282,TOR,@,LAL,W (+9),1,39:02:00,12,16,0.75,6,7,0.857,11,11,1,1,8,9,7,0,0,4,3,41,37.4,12
34,34,2017-01-03,30-284,TOR,@,SAS,L (-28),1,29:10:00,2,9,0.222,0,7,0,2,2,1,0,4,4,2,0,0,1,3,6,0.9,-30
35,35,2017-01-05,30-286,TOR,,UTA,W (+8),1,41:08:00,10,17,0.588,4,8,0.5,9,11,0.818,1,5,6,5,3,0,2,2,33,30.2,9
36,36,2017-01-07,30-288,TOR,@,CHI,L (-5),1,44:17:00,7,17,0.412,2,9,0.222,11,14,0.786,2,7,9,12,3,1,3,3,27,28.1,-3
37,37,2017-01-08,30-289,TOR,,HOU,L (-7),1,39:47:00,2,7,0.286,1,3,0.333,7,10,0.7,0,5,5,6,4,0,3,3,12,12.2,-4
38,38,2017-01-10,30-291,TOR,,BOS,W (+8),1,42:14:00,7,12,0.583,5,6,0.833,5,8,0.625,1,3,4,9,2,1,4,3,24,22.6,7
39,39,2017-01-13,30-294,TOR,,BRK,W (+19),1,35:30:00,8,14,0.571,3,7,0.429,1,2,0.5,2,4,6,6,2,2,3,1,20,19.8,20
40,40,2017-01-15,30-296,TOR,,NYK,W (+15),1,28:27:00,6,10,0.6,2,5,0.4,2,3,0.667,0,4,4,9,1,1,1,1,16,18.8,35
41,,2017-01-17,30-298,TOR,@,BRK,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
42,41,2017-01-18,30-299,TOR,@,PHI,L (-5),1,39:49:00,5,13,0.385,3,8,0.375,11,16,0.688,3,1,4,4,5,0,5,6,24,17.7,-3
43,42,2017-01-20,30-301,TOR,@,CHO,L (-35),1,34:23:00,7,18,0.389,3,10,0.3,7,7,1,0,1,1,3,1,0,1,3,24,15.4,-22
44,43,2017-01-22,30-303,TOR,,PHO,L (-12),1,37:17:00,5,17,0.294,1,9,0.111,4,5,0.8,0,4,4,6,1,0,2,4,15,7.5,-8
45,44,2017-01-24,30-305,TOR,,SAS,L (-2),1,41:45:00,9,23,0.391,1,7,0.143,11,12,0.917,0,3,3,2,0,1,5,4,30,13.5,-8
46,45,2017-01-25,30-306,TOR,@,MEM,L (-2),1,39:49:00,11,21,0.524,4,10,0.4,3,3,1,2,2,4,8,1,1,0,1,29,27.6,2
47,46,2017-01-27,30-308,TOR,,MIL,W (+16),1,38:45:00,9,18,0.5,3,6,0.5,11,14,0.786,2,1,3,6,1,0,2,1,32,26.3,20
48,47,2017-01-29,30-310,TOR,,ORL,L (-1),1,38:23:00,9,18,0.5,6,9,0.667,9,12,0.75,1,4,5,8,1,0,4,2,33,26.5,10
49,48,2017-01-31,30-312,TOR,,NOP,W (+2),1,44:51:00,11,21,0.524,6,14,0.429,5,7,0.714,0,4,4,10,0,0,3,3,33,25.9,9
50,49,2017-02-01,30-313,TOR,@,BOS,L (-5),1,37:54:00,12,20,0.6,4,11,0.364,4,6,0.667,0,2,2,5,2,0,3,2,32,24.3,-2
51,50,2017-02-03,30-315,TOR,@,ORL,L (-8),1,42:12:00,5,20,0.25,2,11,0.182,6,6,1,1,4,5,7,0,1,2,5,18,9.5,-8
