Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,23-154,TOR,,DET,W (+18),0,2:10,0,2,0,0,2,0,0,0,,0,1,1,0,0,0,0,0,0,-1.1,1
2,,2016-10-28,23-156,TOR,,CLE,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,2,2016-10-31,23-159,TOR,,DEN,W (+3),0,2:27,1,1,1,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,-1
4,3,2016-11-02,23-161,TOR,@,WAS,W (+10),0,14:35,2,3,0.667,1,2,0.5,0,0,,0,3,3,4,1,0,1,1,5,7,18
5,4,2016-11-04,23-163,TOR,,MIA,W (+9),0,14:21,2,2,1,1,1,1,1,2,0.5,0,2,2,1,0,0,0,1,6,5.9,7
6,5,2016-11-06,23-165,TOR,,SAC,L (-5),0,9:48,1,3,0.333,0,2,0,2,2,1,0,0,0,1,0,0,0,1,4,2.6,-2
7,6,2016-11-09,23-168,TOR,@,OKC,W (+10),0,22:40,4,8,0.5,0,1,0,1,3,0.333,0,2,2,0,1,0,0,3,9,4.6,0
8,7,2016-11-11,23-170,TOR,@,CHO,W (+2),0,9:43,0,1,0,0,0,,2,2,1,0,3,3,1,0,0,0,0,2,2.9,10
9,8,2016-11-12,23-171,TOR,,NYK,W (+11),1,29:04:00,4,10,0.4,3,6,0.5,8,8,1,0,5,5,2,1,0,0,3,19,16.3,15
10,9,2016-11-15,23-174,TOR,@,CLE,L (-4),1,28:47:00,4,7,0.571,3,5,0.6,1,2,0.5,0,3,3,3,0,1,1,5,12,9,-5
11,10,2016-11-16,23-175,TOR,,GSW,L (-6),0,11:20,1,2,0.5,1,1,1,0,0,,0,1,1,0,0,0,1,4,3,-0.3,-7
12,11,2016-11-18,23-177,TOR,@,DEN,W (+2),0,11:30,1,4,0.25,0,0,,2,2,1,1,2,3,1,1,0,1,4,4,2,-6
13,,2016-11-20,23-179,TOR,@,SAC,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
14,12,2016-11-21,23-180,TOR,@,LAC,L (-8),1,26:04:00,4,9,0.444,2,5,0.4,1,1,1,0,0,0,1,1,0,3,1,11,4.6,-4
15,,2016-11-23,23-182,TOR,@,HOU,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
16,,2016-11-25,23-184,TOR,@,MIL,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,13,2016-11-28,23-187,TOR,,PHI,W (+27),0,11:15,1,3,0.333,0,0,,3,3,1,0,0,0,3,1,1,1,2,5,5.3,-1
18,14,2016-11-30,23-189,TOR,,MEM,W (+15),0,3:55,1,1,1,1,1,1,0,0,,0,1,1,1,0,0,0,2,3,2.9,3
19,15,2016-12-02,23-191,TOR,,LAL,W (+33),1,32:05:00,7,14,0.5,2,6,0.333,0,2,0,1,6,7,2,0,0,0,2,16,11.3,21
20,16,2016-12-03,23-192,TOR,,ATL,W (+44),0,6:50,2,3,0.667,0,0,,0,0,,0,1,1,0,2,0,1,0,4,4,15
21,17,2016-12-05,23-194,TOR,,CLE,L (-4),0,4:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,1
