Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,27-226,TOR,,DET,W (+18),0,26:16:00,1,5,0.2,0,2,0,1,2,0.5,0,4,4,1,1,0,0,2,3,1.6,2
2,2,2016-10-28,27-228,TOR,,CLE,L (-3),0,34:10:00,2,6,0.333,1,5,0.2,0,0,,1,5,6,3,1,0,0,2,5,6.1,2
3,3,2016-10-31,27-231,TOR,,DEN,W (+3),0,32:51:00,1,4,0.25,0,1,0,1,2,0.5,3,4,7,3,1,5,0,3,3,8.9,7
4,4,2016-11-02,27-233,TOR,@,WAS,W (+10),0,30:14:00,4,9,0.444,2,6,0.333,0,0,,1,2,3,2,0,0,1,2,10,6.2,16
5,5,2016-11-04,27-235,TOR,,MIA,W (+9),0,29:24:00,2,8,0.25,0,4,0,0,0,,1,6,7,1,1,0,1,0,4,2.4,8
6,6,2016-11-06,27-237,TOR,,SAC,L (-5),0,31:04:00,1,6,0.167,0,2,0,4,5,0.8,2,7,9,2,1,2,1,5,6,6.1,-10
7,7,2016-11-09,27-240,TOR,@,OKC,W (+10),0,33:25:00,5,11,0.455,3,8,0.375,0,0,,0,3,3,3,2,0,0,3,13,11.1,17
8,8,2016-11-11,27-242,TOR,@,CHO,W (+2),0,32:55:00,2,10,0.2,2,7,0.286,0,0,,2,5,7,3,0,0,0,2,6,4,11
9,9,2016-11-12,27-243,TOR,,NYK,W (+11),0,27:45:00,3,8,0.375,2,7,0.286,2,2,1,0,5,5,2,1,0,0,3,10,8.3,17
10,10,2016-11-15,27-246,TOR,@,CLE,L (-4),0,33:32:00,1,6,0.167,0,3,0,0,0,,2,4,6,2,2,0,0,4,2,2.6,-14
11,11,2016-11-16,27-247,TOR,,GSW,L (-6),0,24:57:00,2,7,0.286,1,3,0.333,0,0,,1,3,4,1,0,0,1,0,5,2.2,-8
12,12,2016-11-18,27-249,TOR,@,DEN,W (+2),0,29:54:00,0,4,0,0,4,0,1,2,0.5,0,6,6,1,0,1,1,4,1,-1.6,4
13,13,2016-11-20,27-251,TOR,@,SAC,L (-3),0,26:35:00,4,7,0.571,3,6,0.5,0,0,,1,4,5,1,1,0,2,2,11,8.5,9
