Rk,G,Date,Age,Home vs Away,Opp,Win/Loss by:,GS,3P,3PA,3P%,Time Rested,Name
1,1.0,2017-10-19,28-073,Home,CHI,W (+17),1,0.0,0.0,,N/A,Demar Derozan
2,2.0,2017-10-21,28-075,Home,PHI,W (+34),1,0.0,1.0,0.0,2.0,Demar Derozan
3,3.0,2017-10-23,28-077,Away,SAS,L (-4),1,2.0,5.0,0.4,2.0,Demar Derozan
4,4.0,2017-10-25,28-079,Away,GSW,L (-5),1,0.0,0.0,,2.0,Demar Derozan
5,5.0,2017-10-27,28-081,Away,LAL,W (+9),1,0.0,2.0,0.0,2.0,Demar Derozan
6,6.0,2017-10-30,28-084,Away,POR,W (+14),1,0.0,0.0,,3.0,Demar Derozan
7,7.0,2017-11-01,28-086,Away,DEN,L (-18),1,0.0,1.0,0.0,2.0,Demar Derozan
8,8.0,2017-11-03,28-088,Away,UTA,W (+9),1,3.0,7.0,0.429,2.0,Demar Derozan
9,9.0,2017-11-05,28-090,Home,WAS,L (-11),1,0.0,5.0,0.0,2.0,Demar Derozan
10,10.0,2017-11-07,28-092,Home,CHI,W (+5),1,2.0,2.0,1.0,2.0,Demar Derozan
11,11.0,2017-11-09,28-094,Home,NOP,W (+4),1,2.0,6.0,0.33299999999999996,2.0,Demar Derozan
12,12.0,2017-11-12,28-097,Away,BOS,L (-1),1,1.0,4.0,0.25,3.0,Demar Derozan
13,13.0,2017-11-14,28-099,Away,HOU,W (+16),1,0.0,3.0,0.0,2.0,Demar Derozan
14,14.0,2017-11-15,28-100,Away,NOP,W (+9),1,2.0,4.0,0.5,1.0,Demar Derozan
15,15.0,2017-11-17,28-102,Home,NYK,W (+23),1,0.0,0.0,,2.0,Demar Derozan
16,16.0,2017-11-19,28-104,Home,WAS,W (+9),1,2.0,6.0,0.33299999999999996,2.0,Demar Derozan
17,17.0,2017-11-22,28-107,Away,NYK,L (-8),1,2.0,4.0,0.5,3.0,Demar Derozan
18,18.0,2017-11-24,28-109,Away,IND,L (-3),1,0.0,3.0,0.0,2.0,Demar Derozan
19,19.0,2017-11-25,28-110,Away,ATL,W (+34),1,0.0,1.0,0.0,1.0,Demar Derozan
20,20.0,2017-11-29,28-114,Home,CHO,W (+13),1,0.0,2.0,0.0,4.0,Demar Derozan
21,21.0,2017-12-01,28-116,Home,IND,W (+5),1,0.0,1.0,0.0,2.0,Demar Derozan
22,22.0,2017-12-05,28-120,Home,PHO,W (+13),1,0.0,1.0,0.0,4.0,Demar Derozan
23,23.0,2017-12-08,28-123,Away,MEM,W (+9),1,0.0,2.0,0.0,3.0,Demar Derozan
24,24.0,2017-12-10,28-125,Away,SAC,W (+15),1,0.0,1.0,0.0,2.0,Demar Derozan
25,25.0,2017-12-11,28-126,Away,LAC,L (-5),1,0.0,0.0,,1.0,Demar Derozan
26,26.0,2017-12-13,28-128,Away,PHO,W (+6),1,0.0,4.0,0.0,2.0,Demar Derozan
27,27.0,2017-12-15,28-130,Home,BRK,W (+33),1,1.0,2.0,0.5,2.0,Demar Derozan
28,28.0,2017-12-17,28-132,Home,SAC,W (+15),1,0.0,1.0,0.0,2.0,Demar Derozan
29,29.0,2017-12-20,28-135,Away,CHO,W (+18),1,3.0,4.0,0.75,3.0,Demar Derozan
30,30.0,2017-12-21,28-136,Away,PHI,W (+5),1,6.0,9.0,0.667,1.0,Demar Derozan
31,31.0,2017-12-23,28-138,Home,PHI,W (+16),1,4.0,7.0,0.5710000000000001,2.0,Demar Derozan
32,32.0,2017-12-26,28-141,Away,DAL,L (-5),1,0.0,2.0,0.0,3.0,Demar Derozan
33,33.0,2017-12-27,28-142,Away,OKC,L (-17),1,0.0,3.0,0.0,1.0,Demar Derozan
34,34.0,2017-12-29,28-144,Home,ATL,W (+13),1,2.0,4.0,0.5,2.0,Demar Derozan
35,35.0,2018-01-01,28-147,Home,MIL,W (+4),1,5.0,9.0,0.556,3.0,Demar Derozan
36,36.0,2018-01-03,28-149,Away,CHI,W (+9),1,5.0,8.0,0.625,2.0,Demar Derozan
37,37.0,2018-01-05,28-151,Away,MIL,W (+19),1,1.0,3.0,0.33299999999999996,2.0,Demar Derozan
38,38.0,2018-01-08,28-154,Away,BRK,W (+1),1,1.0,4.0,0.25,3.0,Demar Derozan
39,39.0,2018-01-09,28-155,Home,MIA,L (-1),1,1.0,3.0,0.33299999999999996,1.0,Demar Derozan
40,40.0,2018-01-11,28-157,Home,CLE,W (+34),1,3.0,5.0,0.6,2.0,Demar Derozan
41,41.0,2018-01-13,28-159,Home,GSW,L (-2),1,0.0,4.0,0.0,2.0,Demar Derozan
42,42.0,2018-01-15,28-161,Away,PHI,L (-6),1,0.0,4.0,0.0,2.0,Demar Derozan
43,43.0,2018-01-17,28-163,Home,DET,W (+5),1,0.0,2.0,0.0,2.0,Demar Derozan
44,44.0,2018-01-19,28-165,Home,SAS,W (+3),1,0.0,1.0,0.0,2.0,Demar Derozan
45,45.0,2018-01-20,28-166,Away,MIN,L (-6),1,2.0,5.0,0.4,1.0,Demar Derozan
46,46.0,2018-01-24,28-170,Away,ATL,W (+15),1,1.0,2.0,0.5,4.0,Demar Derozan
47,47.0,2018-01-26,28-172,Home,UTA,L (-4),1,0.0,1.0,0.0,2.0,Demar Derozan
48,48.0,2018-01-28,28-174,Home,LAL,W (+12),1,1.0,6.0,0.16699999999999998,2.0,Demar Derozan
49,49.0,2018-01-30,28-176,Home,MIN,W (+5),1,1.0,6.0,0.16699999999999998,2.0,Demar Derozan
50,50.0,2018-02-01,28-178,Away,WAS,L (-3),1,0.0,3.0,0.0,2.0,Demar Derozan
51,51.0,2018-02-02,28-179,Home,POR,W (+25),1,6.0,10.0,0.6,1.0,Demar Derozan
52,52.0,2018-02-04,28-181,Home,MEM,W (+15),1,0.0,2.0,0.0,2.0,Demar Derozan
53,53.0,2018-02-06,28-183,Home,BOS,W (+20),1,2.0,6.0,0.33299999999999996,2.0,Demar Derozan
54,54.0,2018-02-08,28-185,Home,NYK,W (+25),1,1.0,5.0,0.2,2.0,Demar Derozan
55,55.0,2018-02-11,28-188,Away,CHO,W (+20),1,3.0,6.0,0.5,3.0,Demar Derozan
56,56.0,2018-02-13,28-190,Home,MIA,W (+3),1,1.0,7.0,0.14300000000000002,2.0,Demar Derozan
57,57.0,2018-02-14,28-191,Away,CHI,W (+24),1,0.0,3.0,0.0,1.0,Demar Derozan
58,58.0,2018-02-23,28-200,Home,MIL,L (-3),1,2.0,6.0,0.33299999999999996,9.0,Demar Derozan
59,59.0,2018-02-26,28-203,Home,DET,W (+29),1,0.0,1.0,0.0,3.0,Demar Derozan
60,60.0,2018-02-28,28-205,Away,ORL,W (+13),1,0.0,3.0,0.0,2.0,Demar Derozan
61,61.0,2018-03-02,28-207,Away,WAS,W (+7),1,0.0,3.0,0.0,2.0,Demar Derozan
62,62.0,2018-03-04,28-209,Home,CHO,W (+5),1,2.0,7.0,0.28600000000000003,2.0,Demar Derozan
63,63.0,2018-03-06,28-211,Home,ATL,W (+16),1,1.0,2.0,0.5,2.0,Demar Derozan
64,64.0,2018-03-07,28-212,Away,DET,W (+2),1,2.0,6.0,0.33299999999999996,1.0,Demar Derozan
65,65.0,2018-03-09,28-214,Home,HOU,W (+3),1,3.0,7.0,0.429,2.0,Demar Derozan
66,66.0,2018-03-11,28-216,Away,NYK,W (+26),1,0.0,3.0,0.0,2.0,Demar Derozan
67,67.0,2018-03-13,28-218,Away,BRK,W (+14),1,1.0,2.0,0.5,2.0,Demar Derozan
68,68.0,2018-03-15,28-220,Away,IND,W (+7),1,2.0,5.0,0.4,2.0,Demar Derozan
69,69.0,2018-03-16,28-221,Home,DAL,W (+7),1,1.0,3.0,0.33299999999999996,1.0,Demar Derozan
70,70.0,2018-03-18,28-223,Home,OKC,L (-7),1,3.0,6.0,0.5,2.0,Demar Derozan
71,,2018-03-20,28-225,Away,ORL,W (+7),Did Not Play,,,,2.0,Demar Derozan
72,71.0,2018-03-21,28-226,Away,CLE,L (-3),1,0.0,3.0,0.0,1.0,Demar Derozan
73,72.0,2018-03-23,28-228,Home,BRK,W (+4),1,0.0,4.0,0.0,2.0,Demar Derozan
74,73.0,2018-03-25,28-230,Home,LAC,L (-11),1,0.0,1.0,0.0,2.0,Demar Derozan
75,74.0,2018-03-27,28-232,Home,DEN,W (+4),1,1.0,3.0,0.33299999999999996,2.0,Demar Derozan
76,75.0,2018-03-31,28-236,Away,BOS,L (-11),1,0.0,5.0,0.0,4.0,Demar Derozan
77,76.0,2018-04-03,28-239,Away,CLE,L (-6),1,0.0,2.0,0.0,3.0,Demar Derozan
78,77.0,2018-04-04,28-240,Home,BOS,W (+18),1,3.0,4.0,0.75,1.0,Demar Derozan
79,78.0,2018-04-06,28-242,Home,IND,W (+19),1,0.0,2.0,0.0,2.0,Demar Derozan
80,,2018-04-08,28-244,Home,ORL,W (+11),Did Not Dress,,,,2.0,Demar Derozan
81,79.0,2018-04-09,28-245,Away,DET,W (+10),1,2.0,5.0,0.4,1.0,Demar Derozan
