Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,30,TOR,,CHI,W (+17),0,20:01,7,12,0.583,6,9,0.667,2,2,1,0,5,5,0,0,0,0,4,22,16.3,25
2,2,2017-10-21,30,TOR,,PHI,W (+34),0,16:53,2,7,0.286,1,6,0.167,0,0,,0,3,3,1,0,0,1,3,5,0.3,13
3,3,2017-10-23,30,TOR,@,SAS,L (-4),0,24:47:00,4,9,0.444,3,7,0.429,2,2,1,0,2,2,1,0,0,2,4,13,6,-7
4,4,2017-10-25,30,TOR,@,GSW,L (-5),0,18:37,3,9,0.333,2,8,0.25,2,2,1,0,3,3,2,1,0,1,1,10,6.8,-5
5,5,2017-10-27,30,TOR,@,LAL,W (+9),0,25:12:00,3,9,0.333,2,7,0.286,1,2,0.5,0,2,2,0,1,2,0,3,9,5.3,-4
6,6,2017-10-30,30,TOR,@,POR,W (+14),0,17:56,2,5,0.4,1,3,0.333,0,0,,0,3,3,0,1,0,0,0,5,4.2,2
7,7,2017-11-01,30,TOR,@,DEN,L (-18),0,13:50,2,3,0.667,1,1,1,0,0,,0,0,0,0,1,0,2,2,5,1.9,-9
8,,2017-11-03,30,TOR,@,UTA,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
9,8,2017-11-05,30,TOR,,WAS,L (-11),0,13:20,0,5,0,0,3,0,0,0,,1,0,1,1,0,0,0,0,0,-2.1,0
10,9,2017-11-07,30,TOR,,CHI,W (+5),0,18:22,3,6,0.5,3,6,0.5,0,0,,0,2,2,0,0,0,0,3,9,5.4,2
11,10,2017-11-09,30,TOR,,NOP,W (+4),0,17:22,2,10,0.2,2,8,0.25,3,3,1,1,1,2,0,1,1,2,2,9,2.7,-8
12,11,2017-11-12,30,TOR,@,BOS,L (-1),0,21:14,4,8,0.5,2,5,0.4,0,0,,0,1,1,0,2,1,1,2,10,7.2,17
13,12,2017-11-14,30,TOR,@,HOU,W (+16),0,16:37,6,12,0.5,6,9,0.667,1,2,0.5,0,1,1,2,2,1,0,3,19,15.8,-7
14,13,2017-11-15,30,TOR,@,NOP,W (+9),0,18:35,6,11,0.545,5,9,0.556,0,0,,1,2,3,1,0,0,1,0,17,12.7,13
15,14,2017-11-17,30,TOR,,NYK,W (+23),0,24:15:00,3,5,0.6,2,4,0.5,6,6,1,0,3,3,1,0,2,0,3,14,13.5,15
16,15,2017-11-19,30,TOR,,WAS,W (+9),0,20:51,4,12,0.333,3,9,0.333,1,1,1,0,0,0,0,0,0,0,3,12,4,13
17,16,2017-11-22,30,TOR,@,NYK,L (-8),0,20:28,4,10,0.4,3,8,0.375,0,0,,2,1,3,1,0,1,1,1,11,7.3,-3
18,,2017-11-24,30,TOR,@,IND,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2017-11-25,30,TOR,@,ATL,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
20,17,2017-11-29,30,TOR,,CHO,W (+13),0,17:11,3,8,0.375,1,6,0.167,0,0,,0,0,0,1,1,0,0,0,7,4.3,4
21,18,2017-12-01,30,TOR,,IND,W (+5),0,16:16,2,7,0.286,2,7,0.286,1,1,1,0,3,3,1,1,1,0,2,7,5.4,5
22,19,2017-12-05,30,TOR,,PHO,W (+13),0,18:21,4,9,0.444,3,7,0.429,4,5,0.8,0,1,1,1,0,0,0,3,15,9.7,5
23,20,2017-12-08,30,TOR,@,MEM,W (+9),0,8:15,0,4,0,0,4,0,0,0,,0,0,0,1,0,0,0,1,0,-2.5,-9
24,21,2017-12-10,30,TOR,@,SAC,W (+15),0,21:00,5,14,0.357,1,8,0.125,0,0,,0,2,2,1,5,0,0,0,11,9.5,-9
25,22,2017-12-11,30,TOR,@,LAC,L (-5),0,18:05,5,9,0.556,3,4,0.75,0,0,,0,1,1,1,1,0,2,1,13,8.3,-5
26,23,2017-12-13,30,TOR,@,PHO,W (+6),0,17:14,2,6,0.333,1,3,0.333,0,0,,0,1,1,0,1,0,0,2,5,2.1,-1
27,,2017-12-15,30,TOR,,BRK,W (+33),Did Not Play,,,,,,,,,,,,,,,,,,,,,
28,24,2017-12-17,30,TOR,,SAC,W (+15),1,21:30,3,9,0.333,2,7,0.286,2,2,1,0,1,1,0,1,0,0,2,10,5.4,0
29,,2017-12-20,30,TOR,@,CHO,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2017-12-21,30,TOR,@,PHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2017-12-23,30,TOR,,PHI,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
32,25,2017-12-26,30,TOR,@,DAL,L (-5),0,10:26,1,3,0.333,1,3,0.333,0,0,,0,1,1,0,0,0,0,1,3,1.2,-16
33,26,2017-12-27,30,TOR,@,OKC,L (-17),0,22:06,6,12,0.5,6,12,0.5,2,2,1,0,1,1,0,1,0,1,3,20,13.1,9
34,27,2017-12-29,30,TOR,,ATL,W (+13),1,18:01,3,8,0.375,3,6,0.5,0,0,,0,0,0,0,2,1,0,2,9,6.5,3
35,28,2018-01-01,30,TOR,,MIL,W (+4),0,17:15,3,7,0.429,2,4,0.5,0,0,,0,4,4,1,1,0,0,2,8,6.4,-12
36,29,2018-01-03,30,TOR,@,CHI,W (+9),0,17:32,2,7,0.286,2,7,0.286,0,0,,0,4,4,0,0,0,0,2,6,2.3,19
37,30,2018-01-05,30,TOR,@,MIL,W (+19),0,16:36,3,8,0.375,2,6,0.333,3,3,1,0,0,0,0,0,0,0,1,11,6.2,2
38,31,2018-01-08,30,TOR,@,BRK,W (+1),0,16:51,1,7,0.143,1,6,0.167,4,4,1,0,2,2,0,1,1,1,2,7,3,4
39,32,2018-01-09,30,TOR,,MIA,L (-1),0,18:30,3,7,0.429,3,5,0.6,0,0,,0,2,2,1,0,0,0,2,9,5.8,-7
40,33,2018-01-11,30,TOR,,CLE,W (+34),1,18:41,6,12,0.5,4,7,0.571,0,0,,2,3,5,2,0,0,0,2,16,12.9,8
41,34,2018-01-13,30,TOR,,GSW,L (-2),0,21:34,2,10,0.2,2,7,0.286,2,4,0.5,0,2,2,1,0,0,0,3,8,1.1,-6
42,35,2018-01-15,30,TOR,@,PHI,L (-6),0,21:12,3,10,0.3,2,9,0.222,2,2,1,1,1,2,1,0,0,3,3,10,1.7,6
43,36,2018-01-17,30,TOR,,DET,W (+5),0,25:32:00,7,16,0.438,5,12,0.417,2,4,0.5,2,2,4,1,1,1,1,2,21,14.4,3
44,37,2018-01-19,30,TOR,,SAS,W (+3),0,21:28,2,7,0.286,1,4,0.25,1,2,0.5,0,4,4,0,1,0,0,0,6,3.7,5
45,38,2018-01-20,30,TOR,@,MIN,L (-6),0,15:19,1,7,0.143,1,6,0.167,0,0,,0,0,0,0,0,3,1,2,3,-1.2,-5
46,39,2018-01-24,30,TOR,@,ATL,W (+15),0,15:07,3,8,0.375,2,4,0.5,1,2,0.5,0,0,0,1,0,0,0,3,9,3.7,8
47,40,2018-01-26,30,TOR,,UTA,L (-4),0,17:10,4,8,0.5,2,6,0.333,0,0,,0,2,2,0,1,1,0,1,10,7.9,2
48,41,2018-01-28,30,TOR,,LAL,W (+12),0,24:10:00,5,12,0.417,3,9,0.333,0,0,,0,3,3,0,0,0,0,1,13,7.1,5
49,,2018-01-30,30,TOR,,MIN,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
50,,2018-02-01,30,TOR,@,WAS,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
51,,2018-02-02,30,TOR,,POR,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
52,42,2018-02-04,30,TOR,,MEM,W (+15),0,14:05,1,3,0.333,1,2,0.5,0,0,,0,2,2,1,0,0,1,2,3,0.8,17
53,43,2018-02-06,30,TOR,,BOS,W (+20),0,15:24,6,8,0.75,5,7,0.714,3,3,1,0,1,1,2,0,0,0,0,20,18.5,16
54,44,2018-02-08,30,TOR,,NYK,W (+25),0,20:22,4,8,0.5,3,5,0.6,0,0,,0,5,5,2,1,0,1,1,11,9.5,23
55,45,2018-02-11,30,TOR,@,CHO,W (+20),0,17:32,8,11,0.727,6,9,0.667,2,2,1,0,1,1,1,2,1,0,2,24,22.4,28
56,46,2018-02-13,30,TOR,,MIA,W (+3),0,15:13,3,11,0.273,2,10,0.2,3,5,0.6,0,0,0,0,0,0,0,1,11,3.3,-3
57,47,2018-02-14,30,TOR,@,CHI,W (+24),0,19:48,1,2,0.5,1,2,0.5,1,1,1,0,2,2,2,1,0,0,2,4,5.2,13
58,48,2018-02-23,30,TOR,,MIL,L (-3),0,22:13,2,8,0.25,2,7,0.286,1,1,1,0,0,0,1,0,0,1,1,7,1.5,3
59,49,2018-02-26,30,TOR,,DET,W (+29),0,15:03,2,6,0.333,2,6,0.333,3,3,1,0,3,3,1,0,0,0,1,9,6.8,14
60,50,2018-02-28,30,TOR,@,ORL,W (+13),0,15:24,3,9,0.333,2,7,0.286,0,0,,2,2,4,2,0,0,0,3,8,5.1,-4
61,51,2018-03-02,30,TOR,@,WAS,W (+7),0,20:11,7,10,0.7,6,9,0.667,0,0,,0,1,1,1,1,1,0,4,20,16.9,18
62,52,2018-03-04,30,TOR,,CHO,W (+5),0,19:09,4,12,0.333,2,9,0.222,2,2,1,0,2,2,1,0,0,1,2,12,4.7,1
63,53,2018-03-06,30,TOR,,ATL,W (+16),0,27:02:00,5,11,0.455,4,9,0.444,0,1,0,1,6,7,1,0,0,1,3,14,8.9,22
64,54,2018-03-07,30,TOR,@,DET,W (+2),0,21:56,2,8,0.25,2,7,0.286,2,2,1,1,2,3,1,1,0,2,3,8,3,6
65,55,2018-03-09,30,TOR,,HOU,W (+3),0,18:49,2,7,0.286,2,7,0.286,0,0,,1,0,1,0,1,0,0,0,6,3.6,4
66,56,2018-03-11,30,TOR,@,NYK,W (+26),0,18:03,5,8,0.625,3,6,0.5,0,0,,0,4,4,1,0,1,0,3,13,10.8,19
67,57,2018-03-13,30,TOR,@,BRK,W (+14),0,19:10,3,7,0.429,3,6,0.5,3,3,1,1,2,3,0,0,0,0,4,12,8,6
68,58,2018-03-15,30,TOR,@,IND,W (+7),0,21:07,3,9,0.333,3,7,0.429,1,2,0.5,0,1,1,1,1,0,0,0,10,6.5,-2
69,59,2018-03-16,30,TOR,,DAL,W (+7),0,22:17,3,9,0.333,0,3,0,4,4,1,1,4,5,0,0,0,1,1,10,5.4,-9
70,60,2018-03-18,31,TOR,,OKC,L (-7),0,26:26:00,5,12,0.417,3,9,0.333,2,3,0.667,0,2,2,0,0,0,1,1,15,7.4,9
71,61,2018-03-20,31,TOR,@,ORL,W (+7),0,20:37,1,9,0.111,1,7,0.143,0,0,,0,4,4,2,1,0,0,0,3,0.7,6
72,,2018-03-21,31,TOR,@,CLE,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
73,,2018-03-23,31,TOR,,BRK,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
