Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,25,TOR,,CHI,W (+17),0,23:22,4,6,0.667,0,1,0,5,5,1,1,1,2,5,1,0,0,0,13,15.9,21
2,2,2017-10-21,25,TOR,,PHI,W (+34),0,31:14:00,3,9,0.333,1,6,0.167,7,7,1,0,5,5,1,0,2,2,3,14,9.3,23
3,3,2017-10-23,25,TOR,@,SAS,L (-4),0,25:29:00,1,4,0.25,0,3,0,2,2,1,0,3,3,4,1,1,3,2,4,3.2,-9
4,4,2017-10-25,25,TOR,@,GSW,L (-5),0,29:22:00,2,6,0.333,0,4,0,3,3,1,1,5,6,2,0,1,3,2,7,4.1,-6
5,5,2017-10-27,25,TOR,@,LAL,W (+9),0,11:41,1,3,0.333,0,2,0,0,0,,0,1,1,1,0,0,1,1,2,-0.1,-5
6,6,2017-10-30,25,TOR,@,POR,W (+14),0,22:03,2,9,0.222,1,3,0.333,2,2,1,2,3,5,2,2,0,0,3,7,6,-2
7,7,2017-11-01,25,TOR,@,DEN,L (-18),0,25:45:00,3,5,0.6,2,4,0.5,4,5,0.8,0,2,2,6,1,0,3,0,12,12.1,0
8,8,2017-11-03,25,TOR,@,UTA,W (+9),0,12:43,1,2,0.5,0,1,0,0,0,,0,1,1,0,1,0,1,4,2,-0.3,-4
9,9,2017-11-05,25,TOR,,WAS,L (-11),0,26:34:00,5,7,0.714,1,1,1,0,0,,1,2,3,4,1,0,2,0,11,11.2,-4
10,10,2017-11-07,25,TOR,,CHI,W (+5),0,17:14,2,3,0.667,1,1,1,1,1,1,0,1,1,4,2,0,2,0,6,7.8,3
11,11,2017-11-09,25,TOR,,NOP,W (+4),0,13:18,3,3,1,2,2,1,0,0,,1,0,1,1,0,1,3,3,8,5,-11
12,12,2017-11-12,25,TOR,@,BOS,L (-1),0,17:46,2,3,0.667,0,0,,2,2,1,0,1,1,1,0,0,1,0,6,4.7,3
13,13,2017-11-14,25,TOR,@,HOU,W (+16),0,25:38:00,5,5,1,0,0,,4,5,0.8,0,2,2,2,1,0,2,1,14,12.7,18
14,14,2017-11-15,25,TOR,@,NOP,W (+9),0,9:54,0,0,,0,0,,0,0,,0,1,1,4,3,0,2,1,0,3.7,8
15,,2017-11-17,25,TOR,,NYK,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2017-11-19,25,TOR,,WAS,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2017-11-22,25,TOR,@,NYK,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2017-11-24,25,TOR,@,IND,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2017-11-25,25,TOR,@,ATL,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
20,,2017-11-29,25,TOR,,CHO,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
21,,2017-12-01,25,TOR,,IND,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2017-12-05,25,TOR,,PHO,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2017-12-08,25,TOR,@,MEM,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2017-12-10,25,TOR,@,SAC,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2017-12-11,25,TOR,@,LAC,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2017-12-13,25,TOR,@,PHO,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
27,15,2017-12-15,25,TOR,,BRK,W (+33),0,15:32,3,8,0.375,0,2,0,1,1,1,0,0,0,2,1,0,0,0,7,5,-4
28,16,2017-12-17,25,TOR,,SAC,W (+15),0,13:14,2,6,0.333,1,2,0.5,0,0,,0,1,1,0,3,0,3,0,5,1.9,4
29,17,2017-12-20,25,TOR,@,CHO,W (+18),0,18:49,2,5,0.4,0,2,0,3,4,0.75,1,1,2,1,0,1,0,1,7,5.9,7
30,18,2017-12-21,25,TOR,@,PHI,W (+5),0,27:36:00,4,11,0.364,2,4,0.5,2,2,1,3,1,4,4,1,0,2,1,12,9.7,15
31,19,2017-12-23,25,TOR,,PHI,W (+16),0,25:03:00,6,12,0.5,1,2,0.5,1,1,1,0,1,1,1,3,1,1,0,14,11.7,13
32,20,2017-12-26,25,TOR,@,DAL,L (-5),0,15:48,3,5,0.6,1,2,0.5,0,0,,0,1,1,0,1,2,1,3,7,5.2,-20
33,21,2017-12-27,25,TOR,@,OKC,L (-17),0,16:00,2,5,0.4,0,1,0,2,2,1,1,3,4,2,0,1,1,2,6,5.2,-4
34,22,2017-12-29,25,TOR,,ATL,W (+13),0,29:06:00,6,10,0.6,1,1,1,0,0,,3,4,7,2,2,1,0,2,13,15,16
35,23,2018-01-01,25,TOR,,MIL,W (+4),0,19:00,3,7,0.429,0,2,0,2,3,0.667,0,1,1,2,1,2,1,0,8,7,2
36,24,2018-01-03,25,TOR,@,CHI,W (+9),0,29:31:00,10,15,0.667,4,5,0.8,1,1,1,3,10,13,5,4,1,2,1,25,29.4,28
37,25,2018-01-05,25,TOR,@,MIL,W (+19),0,20:24,5,7,0.714,0,1,0,2,3,0.667,1,1,2,7,1,0,0,1,12,15.2,6
38,26,2018-01-08,25,TOR,@,BRK,W (+1),0,29:07:00,2,5,0.4,1,2,0.5,2,2,1,2,3,5,0,1,1,2,2,7,5.5,-1
39,27,2018-01-09,25,TOR,,MIA,L (-1),1,29:27:00,5,9,0.556,1,2,0.5,2,2,1,0,7,7,4,1,1,0,2,13,14.5,-3
40,28,2018-01-11,25,TOR,,CLE,W (+34),1,18:08,3,9,0.333,0,3,0,0,0,,1,1,2,4,0,2,1,0,6,5.1,5
41,29,2018-01-13,25,TOR,,GSW,L (-2),1,23:35,1,4,0.25,0,0,,2,2,1,1,1,2,2,1,0,0,1,4,4.6,-2
42,30,2018-01-15,25,TOR,@,PHI,L (-6),0,19:40,7,11,0.636,5,6,0.833,1,2,0.5,2,2,4,1,1,0,0,3,20,17.2,9
43,31,2018-01-17,25,TOR,,DET,W (+5),0,23:43,1,5,0.2,0,1,0,2,2,1,1,2,3,5,0,2,2,1,4,4.7,4
44,32,2018-01-19,25,TOR,,SAS,W (+3),0,21:48,2,6,0.333,1,1,1,0,0,,0,3,3,3,1,0,3,0,5,2.6,0
45,33,2018-01-20,25,TOR,@,MIN,L (-6),0,28:39:00,3,9,0.333,0,2,0,6,6,1,2,4,6,6,1,0,0,1,12,14.3,-6
46,34,2018-01-24,25,TOR,@,ATL,W (+15),0,18:15,1,4,0.25,0,1,0,3,4,0.75,0,4,4,2,1,0,1,0,5,4.8,2
47,35,2018-01-26,25,TOR,,UTA,L (-4),0,19:10,2,6,0.333,1,2,0.5,0,0,,1,5,6,3,1,0,0,1,5,6.5,-2
48,36,2018-01-28,25,TOR,,LAL,W (+12),0,21:14,3,7,0.429,1,2,0.5,3,6,0.5,1,0,1,1,0,0,1,0,10,5.5,1
49,37,2018-01-30,25,TOR,,MIN,W (+5),0,16:35,0,4,0,0,1,0,2,2,1,0,1,1,2,0,0,0,0,2,0.9,-4
50,38,2018-02-01,25,TOR,@,WAS,L (-3),0,12:36,0,4,0,0,1,0,0,0,,0,2,2,2,0,0,4,1,0,-5.2,-6
51,39,2018-02-02,25,TOR,,POR,W (+25),0,22:12,2,7,0.286,2,3,0.667,0,0,,1,3,4,3,0,1,0,1,6,5.9,20
52,40,2018-02-04,25,TOR,,MEM,W (+15),0,24:42:00,6,9,0.667,1,4,0.25,2,2,1,0,4,4,2,4,0,0,1,15,17.3,36
53,41,2018-02-06,25,TOR,,BOS,W (+20),0,24:54:00,6,11,0.545,1,4,0.25,1,2,0.5,0,3,3,3,3,0,3,1,14,10.9,5
54,42,2018-02-08,25,TOR,,NYK,W (+25),0,22:00,5,6,0.833,1,1,1,0,0,,0,3,3,3,1,0,1,1,11,11.4,18
55,43,2018-02-11,25,TOR,@,CHO,W (+20),0,20:29,0,4,0,0,2,0,2,2,1,0,2,2,6,1,2,2,4,2,2.8,10
56,44,2018-02-13,25,TOR,,MIA,W (+3),0,21:01,4,6,0.667,2,3,0.667,0,0,,1,0,1,2,1,1,0,2,10,10.4,-8
57,45,2018-02-14,25,TOR,@,CHI,W (+24),0,20:14,3,7,0.429,1,3,0.333,0,0,,0,0,0,6,1,0,0,2,7,7.7,16
58,46,2018-02-23,25,TOR,,MIL,L (-3),0,18:38,1,3,0.333,0,2,0,1,1,1,0,1,1,3,0,0,1,0,3,2.7,-2
59,47,2018-02-26,25,TOR,,DET,W (+29),0,20:40,3,5,0.6,2,3,0.667,0,0,,0,3,3,4,1,1,2,2,8,8.3,17
60,48,2018-02-28,25,TOR,@,ORL,W (+13),0,12:42,3,8,0.375,0,2,0,0,0,,2,0,2,2,1,0,1,3,6,3.2,1
61,49,2018-03-02,25,TOR,@,WAS,W (+7),0,9:59,0,3,0,0,3,0,0,0,,0,1,1,3,1,0,0,1,0,0.9,4
62,50,2018-03-04,25,TOR,,CHO,W (+5),0,13:04,0,1,0,0,0,,4,6,0.667,0,1,1,4,0,0,0,1,4,5.2,-8
63,51,2018-03-06,25,TOR,,ATL,W (+16),0,18:24,5,10,0.5,0,2,0,0,0,,2,1,3,1,3,1,2,0,10,9.1,0
64,52,2018-03-07,25,TOR,@,DET,W (+2),0,7:05,0,1,0,0,0,,0,0,,1,2,3,0,0,0,0,0,0,0.6,-13
65,,2018-03-09,25,TOR,,HOU,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
66,53,2018-03-11,25,TOR,@,NYK,W (+26),0,19:40,5,7,0.714,2,2,1,0,0,,1,1,2,4,0,0,0,2,12,12.1,11
67,54,2018-03-13,25,TOR,@,BRK,W (+14),0,16:40,4,6,0.667,2,4,0.5,0,0,,0,3,3,4,1,0,3,0,10,9.1,7
68,55,2018-03-15,25,TOR,@,IND,W (+7),0,19:11,3,5,0.6,0,2,0,2,4,0.5,0,1,1,0,1,0,1,0,8,5.2,2
69,56,2018-03-16,25,TOR,,DAL,W (+7),1,38:40:00,6,15,0.4,3,7,0.429,0,0,,2,3,5,6,2,1,1,1,15,14.7,13
