Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,23,TOR,,CHI,W (+17),0,12:59,1,5,0.2,0,2,0,0,0,,0,1,1,2,1,1,2,1,2,-0.1,12
2,2,2017-10-21,23,TOR,,PHI,W (+34),0,17:26,1,6,0.167,1,4,0.25,0,0,,0,0,0,4,0,0,2,3,3,-1.2,4
3,3,2017-10-23,23,TOR,@,SAS,L (-4),0,11:17,2,5,0.4,1,2,0.5,2,2,1,0,0,0,0,1,0,0,0,7,5.3,-3
4,4,2017-10-25,23,TOR,@,GSW,L (-5),0,5:32,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1,-1
5,5,2017-10-27,23,TOR,@,LAL,W (+9),0,13:15,1,5,0.2,0,1,0,0,0,,0,0,0,4,1,0,2,3,2,-0.5,-9
6,6,2017-10-30,23,TOR,@,POR,W (+14),0,9:22,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0.9,6
7,7,2017-11-01,23,TOR,@,DEN,L (-18),0,14:58,2,8,0.25,1,3,0.333,2,2,1,0,1,1,1,1,1,1,1,7,3.5,7
8,8,2017-11-03,23,TOR,@,UTA,W (+9),0,10:18,1,2,0.5,0,1,0,2,2,1,0,1,1,0,1,0,0,0,4,4.3,4
9,9,2017-11-05,23,TOR,,WAS,L (-11),0,19:31,5,7,0.714,0,1,0,0,0,,2,1,3,4,0,2,0,2,10,12.2,14
10,10,2017-11-07,23,TOR,,CHI,W (+5),0,10:00,0,1,0,0,0,,2,2,1,0,1,1,3,0,0,0,1,2,3.3,0
11,11,2017-11-09,23,TOR,,NOP,W (+4),0,13:56,1,7,0.143,0,3,0,0,0,,0,2,2,0,2,0,1,0,2,-0.9,3
12,12,2017-11-12,23,TOR,@,BOS,L (-1),0,16:00,1,3,0.333,0,1,0,2,2,1,0,2,2,2,1,0,2,1,4,2.9,2
13,13,2017-11-14,23,TOR,@,HOU,W (+16),0,15:53,2,6,0.333,2,4,0.5,2,2,1,1,2,3,4,2,0,1,3,8,8.5,7
14,14,2017-11-15,23,TOR,@,NOP,W (+9),0,22:16,4,6,0.667,2,2,1,0,0,,0,1,1,3,1,0,0,2,10,10,10
15,15,2017-11-17,23,TOR,,NYK,W (+23),0,17:23,3,6,0.5,1,1,1,0,0,,1,3,4,2,0,0,3,3,7,2.8,5
16,16,2017-11-19,23,TOR,,WAS,W (+9),0,23:59,3,9,0.333,2,7,0.286,2,2,1,0,3,3,5,0,0,2,0,10,7.3,7
17,17,2017-11-22,23,TOR,@,NYK,L (-8),0,19:24,3,8,0.375,1,4,0.25,0,0,,0,1,1,2,1,0,1,1,7,3.9,4
18,18,2017-11-24,23,TOR,@,IND,L (-3),0,28:30:00,6,10,0.6,2,5,0.4,2,3,0.667,0,5,5,4,4,0,0,2,16,18.5,18
