Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2017-10-19,27-054,TOR,,CHI,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
2,,2017-10-21,27-056,TOR,,PHI,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
3,,2017-10-23,27-058,TOR,@,SAS,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2017-10-25,27-060,TOR,@,GSW,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
5,,2017-10-27,27-062,TOR,@,LAL,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
6,,2017-10-30,27-065,TOR,@,POR,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2017-11-01,27-067,TOR,@,DEN,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2017-11-03,27-069,TOR,@,UTA,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2017-11-05,27-071,TOR,,WAS,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2017-11-07,27-073,TOR,,CHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2017-11-09,27-075,TOR,,NOP,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2017-11-12,27-078,TOR,@,BOS,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2017-11-14,27-080,TOR,@,HOU,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2017-11-15,27-081,TOR,@,NOP,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
15,1,2017-11-17,27-083,TOR,,NYK,W (+23),0,17:39,0,1,0,0,1,0,0,0,,0,3,3,3,0,0,0,0,0,2.3,5
16,2,2017-11-19,27-085,TOR,,WAS,W (+9),0,8:09,0,1,0,0,1,0,0,0,,0,1,1,0,2,0,0,1,0,1.2,6
17,,2017-11-22,27-088,TOR,@,NYK,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
18,3,2017-11-24,27-090,TOR,@,IND,L (-3),0,1:54,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1,-5
19,4,2017-11-25,27-091,TOR,@,ATL,W (+34),0,18:19,1,4,0.25,0,1,0,0,0,,0,3,3,2,0,0,0,2,2,1.1,7
20,,2017-11-29,27-095,TOR,,CHO,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
21,,2017-12-01,27-097,TOR,,IND,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
22,5,2017-12-05,27-101,TOR,,PHO,W (+13),0,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-2
23,,2017-12-08,27-104,TOR,@,MEM,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
24,,2017-12-10,27-106,TOR,@,SAC,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
25,6,2017-12-11,27-107,TOR,@,LAC,L (-5),0,2:02,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
26,7,2017-12-13,27-109,TOR,@,PHO,W (+6),0,2:13,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
27,8,2017-12-15,27-111,TOR,,BRK,W (+33),0,4:01,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,0,0,2,1.3,0
28,,2017-12-17,27-113,TOR,,SAC,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
29,,2017-12-20,27-116,TOR,@,CHO,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2017-12-21,27-117,TOR,@,PHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2017-12-23,27-119,TOR,,PHI,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2017-12-26,27-122,TOR,@,DAL,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2017-12-27,27-123,TOR,@,OKC,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2017-12-29,27-125,TOR,,ATL,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
35,,2018-01-01,27-128,TOR,,MIL,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
36,,2018-01-03,27-130,TOR,@,CHI,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
37,,2018-01-05,27-132,TOR,@,MIL,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
