Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,24-147,TOR,,CHI,W (+17),1,24:35:00,5,11,0.455,3,6,0.5,2,2,1,0,4,4,1,1,0,2,2,15,9.4,1
2,2,2017-10-21,24-149,TOR,,PHI,W (+34),1,17:20,0,3,0,0,1,0,2,2,1,1,1,2,2,0,1,2,4,2,-0.6,14
3,3,2017-10-23,24-151,TOR,@,SAS,L (-4),1,22:22,2,7,0.286,0,3,0,2,2,1,0,2,2,4,3,0,1,3,6,6.1,6
4,4,2017-10-25,24-153,TOR,@,GSW,L (-5),1,16:17,1,2,0.5,0,1,0,0,0,,0,1,1,4,1,0,1,3,2,2.9,3
5,5,2017-10-27,24-155,TOR,@,LAL,W (+9),1,20:30,1,8,0.125,0,3,0,1,1,1,1,0,1,2,1,0,2,3,3,-2.3,17
6,6,2017-10-30,24-158,TOR,@,POR,W (+14),1,22:16,3,9,0.333,2,4,0.5,0,0,,0,3,3,1,1,2,1,0,8,5.9,11
7,7,2017-11-01,24-160,TOR,@,DEN,L (-18),1,28:50:00,6,11,0.545,1,5,0.2,1,3,0.333,0,3,3,3,0,0,1,2,14,9.1,-26
8,8,2017-11-03,24-162,TOR,@,UTA,W (+9),1,29:52:00,5,7,0.714,2,4,0.5,3,4,0.75,0,2,2,2,2,0,1,5,15,12.7,4
9,9,2017-11-05,24-164,TOR,,WAS,L (-11),1,34:11:00,7,13,0.538,1,4,0.25,4,4,1,0,1,1,2,2,2,2,0,19,15.8,-12
10,10,2017-11-07,24-166,TOR,,CHI,W (+5),1,27:10:00,3,8,0.375,1,3,0.333,0,0,,0,0,0,2,1,0,1,2,7,3.2,6
11,11,2017-11-09,24-168,TOR,,NOP,W (+4),1,18:13,3,7,0.429,2,5,0.4,0,0,,0,0,0,1,1,0,0,1,8,5.6,2
12,12,2017-11-12,24-171,TOR,@,BOS,L (-1),1,7:06,0,2,0,0,0,,0,0,,0,1,1,1,1,0,0,0,0,0.6,-2
13,,2017-11-14,24-173,TOR,@,HOU,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2017-11-15,24-174,TOR,@,NOP,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2017-11-17,24-176,TOR,,NYK,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2017-11-19,24-178,TOR,,WAS,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
17,13,2017-11-22,24-181,TOR,@,NYK,L (-8),0,23:10,3,6,0.5,3,4,0.75,2,2,1,1,3,4,2,1,0,2,4,11,8.4,3
18,14,2017-11-24,24-183,TOR,@,IND,L (-3),0,26:52:00,7,14,0.5,1,5,0.2,1,3,0.333,0,3,3,2,1,1,3,3,16,8,16
19,15,2017-11-25,24-184,TOR,@,ATL,W (+34),0,30:35:00,7,13,0.538,3,6,0.5,0,0,,1,1,2,1,3,0,2,3,17,12.2,17
20,16,2017-11-29,24-188,TOR,,CHO,W (+13),0,17:03,3,7,0.429,2,5,0.4,2,2,1,0,4,4,0,0,0,1,0,10,6.5,-4
21,17,2017-12-01,24-190,TOR,,IND,W (+5),0,15:01,4,8,0.5,1,5,0.2,1,1,1,0,3,3,4,0,1,0,1,10,10,7
22,18,2017-12-05,24-194,TOR,,PHO,W (+13),0,16:22,2,5,0.4,0,2,0,0,0,,0,1,1,1,1,0,4,5,4,-2.7,-14
23,19,2017-12-08,24-197,TOR,@,MEM,W (+9),0,14:59,2,3,0.667,0,1,0,5,5,1,0,1,1,2,0,0,1,2,9,7.6,4
24,20,2017-12-10,24-199,TOR,@,SAC,W (+15),0,9:02,1,3,0.333,0,1,0,0,0,,0,1,1,0,0,0,2,2,2,-2.2,-10
25,21,2017-12-11,24-200,TOR,@,LAC,L (-5),0,11:46,1,6,0.167,0,3,0,0,0,,0,2,2,1,1,0,1,0,2,-0.5,-15
26,22,2017-12-13,24-202,TOR,@,PHO,W (+6),0,10:19,0,6,0,0,2,0,0,0,,0,1,1,0,1,0,2,3,0,-6.1,-14
27,23,2017-12-15,24-204,TOR,,BRK,W (+33),0,22:17,5,8,0.625,1,1,1,0,0,,1,4,5,3,1,0,1,1,11,11,0
