Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,23-200,TOR,,CHI,W (+17),0,4:58,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1,-7
2,2,2017-10-21,23-202,TOR,,PHI,W (+34),0,8:24,1,5,0.2,0,2,0,2,2,1,2,4,6,2,0,0,0,1,4,4.5,4
3,,2017-10-23,23-204,TOR,@,SAS,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,3,2017-10-25,23-206,TOR,@,GSW,L (-5),1,21:27,9,12,0.75,2,3,0.667,0,0,,0,2,2,2,0,0,1,1,20,15.8,-3
5,4,2017-10-27,23-208,TOR,@,LAL,W (+9),1,24:58:00,8,10,0.8,1,3,0.333,1,2,0.5,2,3,5,1,2,0,0,4,18,17.2,13
6,5,2017-10-30,23-211,TOR,@,POR,W (+14),1,26:14:00,3,6,0.5,0,2,0,0,0,,0,5,5,1,2,1,0,1,6,7.5,9
7,6,2017-11-01,23-213,TOR,@,DEN,L (-18),0,19:59,4,10,0.4,1,2,0.5,1,2,0.5,2,6,8,1,1,0,1,4,10,6.5,4
8,7,2017-11-03,23-215,TOR,@,UTA,W (+9),0,21:26,4,9,0.444,0,3,0,0,1,0,0,4,4,1,3,0,0,0,8,7.8,10
9,8,2017-11-05,23-217,TOR,,WAS,L (-11),0,16:06,3,4,0.75,1,1,1,0,2,0,1,4,5,0,0,0,1,3,7,4.3,-1
10,9,2017-11-07,23-219,TOR,,CHI,W (+5),0,12:23,2,4,0.5,0,1,0,0,1,0,0,2,2,0,0,0,1,2,4,0.4,2
11,10,2017-11-09,23-221,TOR,,NOP,W (+4),0,13:18,1,2,0.5,0,0,,0,3,0,1,4,5,3,0,0,1,1,2,2.4,-11
12,11,2017-11-12,23-224,TOR,@,BOS,L (-1),0,19:28,3,5,0.6,2,3,0.667,0,1,0,1,5,6,1,0,0,1,0,8,7.2,7
13,12,2017-11-14,23-226,TOR,@,HOU,W (+16),0,19:01,1,2,0.5,0,1,0,0,0,,0,1,1,2,2,0,0,4,2,3.1,-7
14,13,2017-11-15,23-227,TOR,@,NOP,W (+9),0,24:55:00,5,9,0.556,0,3,0,0,0,,0,1,1,2,0,1,2,1,10,5.7,15
15,14,2017-11-17,23-229,TOR,,NYK,W (+23),1,34:24:00,6,11,0.545,0,5,0,1,2,0.5,2,2,4,5,1,3,2,4,13,12.3,9
16,15,2017-11-19,23-231,TOR,,WAS,W (+9),0,31:26:00,2,5,0.4,0,1,0,0,0,,2,7,9,2,1,2,0,1,4,8.2,18
17,16,2017-11-22,23-234,TOR,@,NYK,L (-8),0,28:57:00,4,8,0.5,0,1,0,0,0,,2,6,8,4,0,0,1,2,8,8.2,-1
18,17,2017-11-24,23-236,TOR,@,IND,L (-3),0,21:54,2,6,0.333,1,4,0.25,0,0,,2,4,6,0,2,1,2,2,5,4.1,-1
19,18,2017-11-25,23-237,TOR,@,ATL,W (+34),0,30:57:00,6,9,0.667,1,4,0.25,0,0,,0,4,4,4,2,1,1,0,13,14.8,26
20,19,2017-11-29,23-241,TOR,,CHO,W (+13),0,18:29,2,4,0.5,0,1,0,0,0,,0,6,6,1,0,1,0,2,4,4.4,1
21,20,2017-12-01,23-243,TOR,,IND,W (+5),0,24:18:00,2,7,0.286,0,3,0,0,2,0,2,1,3,3,0,0,3,1,4,-0.5,5
22,21,2017-12-05,23-247,TOR,,PHO,W (+13),0,15:01,1,4,0.25,0,1,0,0,0,,1,5,6,3,3,0,1,3,2,4.7,3
23,22,2017-12-08,23-250,TOR,@,MEM,W (+9),0,19:30,4,6,0.667,0,1,0,0,2,0,2,2,4,0,1,0,0,2,8,6.8,4
24,23,2017-12-10,23-252,TOR,@,SAC,W (+15),0,19:28,1,7,0.143,0,2,0,0,0,,4,1,5,3,0,0,2,3,2,-0.5,-7
25,24,2017-12-11,23-253,TOR,@,LAC,L (-5),0,13:19,0,1,0,0,1,0,0,0,,0,2,2,2,1,0,0,3,0,1.1,3
26,25,2017-12-13,23-255,TOR,@,PHO,W (+6),0,13:47,1,2,0.5,0,1,0,0,0,,0,4,4,0,1,1,0,0,2,3.9,-12
27,26,2017-12-15,23-257,TOR,,BRK,W (+33),0,19:44,3,9,0.333,0,5,0,0,0,,1,5,6,1,1,0,0,2,6,4,0
28,27,2017-12-17,23-259,TOR,,SAC,W (+15),0,18:57,1,9,0.111,0,2,0,0,0,,2,6,8,1,0,3,0,0,2,2.1,2
29,28,2017-12-20,23-262,TOR,@,CHO,W (+18),0,17:43,4,8,0.5,0,1,0,6,6,1,1,5,6,4,1,0,0,5,14,14,-3
30,29,2017-12-21,23-263,TOR,@,PHI,W (+5),0,19:05,1,4,0.25,0,3,0,2,2,1,1,5,6,3,1,2,2,4,4,4.7,7
31,30,2017-12-23,23-265,TOR,,PHI,W (+16),0,22:46,2,8,0.25,0,2,0,0,0,,1,4,5,4,3,0,2,1,4,4.5,14
32,31,2017-12-26,23-268,TOR,@,DAL,L (-5),0,20:05,2,6,0.333,0,1,0,2,2,1,2,1,3,1,1,0,0,1,6,5.6,-13
33,32,2017-12-27,23-269,TOR,@,OKC,L (-17),0,16:00,1,3,0.333,0,1,0,3,3,1,0,4,4,1,2,1,1,3,5,5.7,11
34,33,2017-12-29,23-271,TOR,,ATL,W (+13),0,22:58,2,7,0.286,1,3,0.333,0,0,,1,6,7,1,0,3,0,2,5,5.4,13
35,34,2018-01-01,23-274,TOR,,MIL,W (+4),0,16:26,2,3,0.667,0,0,,0,0,,1,0,1,0,0,0,1,1,4,2,-8
