Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,25-353,TOR,,WAS,W (+8),0,24:49:00,7,10,0.7,3,4,0.75,1,2,0.5,0,1,1,4,3,1,4,2,18,15.4,-2
2,2,2018-04-17,25-356,TOR,,WAS,W (+11),0,26:59:00,3,9,0.333,1,4,0.25,4,4,1,0,1,1,3,3,2,0,1,11,12.3,0
3,3,2018-04-20,25-359,TOR,@,WAS,L (-19),0,19:27,2,8,0.25,0,2,0,2,2,1,0,1,1,1,1,0,0,3,6,2,-15
4,4,2018-04-22,25-361,TOR,@,WAS,L (-8),0,27:00:00,3,7,0.429,1,3,0.333,0,0,,1,2,3,5,1,1,0,1,7,9.4,1
5,5,2018-04-25,25-364,TOR,,WAS,W (+10),0,26:25:00,6,10,0.6,2,2,1,4,4,1,0,5,5,1,2,1,2,0,18,16.3,13
6,6,2018-04-27,26-001,TOR,@,WAS,W (+10),0,24:17:00,2,6,0.333,0,0,,0,0,,2,2,4,2,4,1,1,0,4,7.7,12
7,7,2018-05-01,26-005,TOR,,CLE,L (-1),0,16:00,2,6,0.333,1,2,0.5,0,0,,0,0,0,1,0,1,0,0,5,3,-4
8,8,2018-05-03,26-007,TOR,,CLE,L (-18),0,23:39,2,4,0.5,1,2,0.5,0,0,,0,4,4,4,0,0,2,1,5,4.6,-5
9,9,2018-05-05,26-009,TOR,@,CLE,L (-2),0,8:22,0,1,0,0,1,0,2,2,1,0,1,1,1,0,2,0,1,2,3.3,1
10,10,2018-05-07,26-011,TOR,@,CLE,L (-35),0,17:59,4,7,0.571,0,1,0,2,2,1,0,2,2,1,1,0,0,1,10,8.6,-10
