Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,28,TOR,,CHI,W (+17),1,32:03:00,2,9,0.222,0,0,,7,8,0.875,1,5,6,5,2,1,5,1,11,8.1,-3
2,2,2017-10-21,28,TOR,,PHI,W (+34),1,26:42:00,8,12,0.667,0,1,0,14,16,0.875,0,3,3,3,0,0,1,3,30,24.8,26
3,3,2017-10-23,28,TOR,@,SAS,L (-4),1,36:04:00,10,20,0.5,2,5,0.4,6,9,0.667,0,2,2,4,3,0,4,3,28,18,-1
4,4,2017-10-25,28,TOR,@,GSW,L (-5),1,37:58:00,9,18,0.5,0,0,,6,7,0.857,1,2,3,6,6,0,3,0,24,23.1,-8
5,5,2017-10-27,28,TOR,@,LAL,W (+9),1,37:03:00,9,21,0.429,0,2,0,6,9,0.667,1,4,5,5,3,0,4,1,24,15.7,14
6,6,2017-10-30,28,TOR,@,POR,W (+14),1,36:46:00,10,20,0.5,0,0,,5,7,0.714,1,2,3,4,0,0,3,1,25,14.9,9
7,7,2017-11-01,28,TOR,@,DEN,L (-18),1,25:59:00,4,10,0.4,0,1,0,2,3,0.667,0,1,1,2,0,0,2,1,10,3.5,-16
8,8,2017-11-03,28,TOR,@,UTA,W (+9),1,37:42:00,10,20,0.5,3,7,0.429,14,14,1,2,4,6,2,0,0,6,3,37,23.8,5
9,9,2017-11-05,28,TOR,,WAS,L (-11),1,37:11:00,8,21,0.381,0,5,0,10,12,0.833,2,2,4,3,0,0,2,2,26,15,-17
10,10,2017-11-07,28,TOR,,CHI,W (+5),1,35:50:00,9,18,0.5,2,2,1,4,4,1,0,4,4,4,0,0,3,3,24,14.8,4
11,11,2017-11-09,28,TOR,,NOP,W (+4),1,36:47:00,10,23,0.435,2,6,0.333,11,13,0.846,0,2,2,8,1,0,2,2,33,24.5,7
12,12,2017-11-12,28,TOR,@,BOS,L (-1),1,35:01:00,8,22,0.364,1,4,0.25,7,8,0.875,2,1,3,4,0,1,3,1,24,13.2,-3
13,13,2017-11-14,28,TOR,@,HOU,W (+16),1,33:59:00,7,15,0.467,0,3,0,13,16,0.813,0,6,6,5,1,0,3,2,27,20.6,7
14,14,2017-11-15,28,TOR,@,NOP,W (+9),1,33:30:00,11,18,0.611,2,4,0.5,1,1,1,1,8,9,6,2,0,3,0,25,23.1,12
15,15,2017-11-17,28,TOR,,NYK,W (+23),1,34:12:00,10,16,0.625,0,0,,2,2,1,0,6,6,7,1,0,1,2,22,20.7,11
16,16,2017-11-19,28,TOR,,WAS,W (+9),1,35:36:00,15,26,0.577,2,6,0.333,1,1,1,2,6,8,6,2,1,2,3,33,27.7,4
17,17,2017-11-22,28,TOR,@,NYK,L (-8),1,31:23:00,7,15,0.467,2,4,0.5,2,6,0.333,1,5,6,4,0,0,0,2,18,12.9,-8
18,18,2017-11-24,28,TOR,@,IND,L (-3),1,39:02:00,6,16,0.375,0,3,0,1,2,0.5,1,2,3,2,2,0,4,2,13,3.7,-6
19,19,2017-11-25,28,TOR,@,ATL,W (+34),1,27:41:00,1,5,0.2,0,1,0,0,0,,0,2,2,8,1,0,3,2,2,2.3,20
20,20,2017-11-29,28,TOR,,CHO,W (+13),1,35:26:00,14,22,0.636,0,2,0,2,3,0.667,1,3,4,6,0,0,1,3,30,23.4,15
21,21,2017-12-01,28,TOR,,IND,W (+5),1,33:42:00,9,21,0.429,0,1,0,8,10,0.8,2,3,5,5,2,1,2,0,26,20.6,-4
22,22,2017-12-05,28,TOR,,PHO,W (+13),1,34:17:00,7,17,0.412,0,1,0,6,7,0.857,0,7,7,8,3,0,0,2,20,20.4,17
23,23,2017-12-08,28,TOR,@,MEM,W (+9),1,35:59:00,6,15,0.4,0,2,0,14,14,1,0,7,7,6,1,0,4,3,26,20,5
24,24,2017-12-10,28,TOR,@,SAC,W (+15),1,34:54:00,9,15,0.6,0,1,0,7,11,0.636,0,3,3,9,0,0,1,1,25,22.3,19
25,25,2017-12-11,28,TOR,@,LAC,L (-5),1,36:07:00,5,13,0.385,0,0,,7,10,0.7,0,5,5,8,2,0,2,2,17,15,0
26,26,2017-12-13,28,TOR,@,PHO,W (+6),1,36:40:00,12,24,0.5,0,4,0,13,15,0.867,2,5,7,4,0,0,1,1,37,28.5,18
27,27,2017-12-15,28,TOR,,BRK,W (+33),1,29:03:00,14,19,0.737,1,2,0.5,2,4,0.5,1,2,3,1,2,0,1,1,31,25.1,38
28,28,2017-12-17,28,TOR,,SAC,W (+15),1,33:30:00,6,17,0.353,0,1,0,9,12,0.75,0,1,1,5,0,2,2,1,21,13.1,14
29,29,2017-12-20,28,TOR,@,CHO,W (+18),1,29:12:00,10,15,0.667,3,4,0.75,5,6,0.833,1,1,2,8,0,0,5,1,28,22.3,11
30,30,2017-12-21,28,TOR,@,PHI,W (+5),1,39:28:00,13,21,0.619,6,9,0.667,13,15,0.867,3,2,5,3,2,1,2,3,45,39,12
31,31,2017-12-23,28,TOR,,PHI,W (+16),1,34:32:00,9,20,0.45,4,7,0.571,7,8,0.875,1,4,5,2,1,0,3,0,29,19.5,16
32,32,2017-12-26,28,TOR,@,DAL,L (-5),1,34:34:00,3,16,0.188,0,2,0,2,3,0.667,0,3,3,5,2,0,0,1,8,3.6,-3
33,33,2017-12-27,28,TOR,@,OKC,L (-17),1,35:48:00,4,16,0.25,0,3,0,7,7,1,0,6,6,2,1,0,2,3,15,6.4,-18
34,34,2017-12-29,28,TOR,,ATL,W (+13),1,33:53:00,10,18,0.556,2,4,0.5,3,3,1,1,0,1,5,0,2,2,2,25,19.2,10
35,35,2018-01-01,28,TOR,,MIL,W (+4),1,43:27:00,17,29,0.586,5,9,0.556,13,13,1,1,4,5,8,1,1,2,4,52,44.1,9
36,36,2018-01-03,28,TOR,@,CHI,W (+9),1,33:37:00,10,20,0.5,5,8,0.625,10,10,1,0,3,3,6,3,0,0,2,35,32.3,-5
37,37,2018-01-05,28,TOR,@,MIL,W (+19),1,29:11:00,7,12,0.583,1,3,0.333,5,7,0.714,1,4,5,4,2,1,3,1,20,17.6,34
38,38,2018-01-08,28,TOR,@,BRK,W (+1),1,42:27:00,14,30,0.467,1,4,0.25,6,9,0.667,0,3,3,6,1,1,2,1,35,22.8,1
39,39,2018-01-09,28,TOR,,MIA,L (-1),1,35:28:00,10,29,0.345,1,3,0.333,4,4,1,2,2,4,6,0,0,1,3,25,12.7,3
40,40,2018-01-11,28,TOR,,CLE,W (+34),1,28:57:00,5,13,0.385,3,5,0.6,0,0,,2,1,3,8,0,0,0,2,13,12.4,15
41,41,2018-01-13,28,TOR,,GSW,L (-2),1,37:48:00,17,31,0.548,0,4,0,8,10,0.8,2,3,5,3,0,0,2,2,42,27.9,-3
42,42,2018-01-15,28,TOR,@,PHI,L (-6),1,35:23:00,8,18,0.444,0,4,0,8,9,0.889,0,1,1,5,2,0,3,4,24,15.4,-15
