Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2018-04-14,24-048,TOR,,WAS,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
2,1,2018-04-17,24-051,TOR,,WAS,W (+11),0,2:49,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-1
3,,2018-04-20,24-054,TOR,@,WAS,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2018-04-22,24-056,TOR,@,WAS,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
5,,2018-04-25,24-059,TOR,,WAS,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
6,2,2018-04-27,24-061,TOR,@,WAS,W (+10),0,18:46,2,7,0.286,1,5,0.2,0,0,,0,4,4,4,0,0,1,1,5,3.5,12
7,3,2018-05-01,24-065,TOR,,CLE,L (-1),0,15:09,2,7,0.286,1,5,0.2,4,4,1,0,3,3,2,0,0,0,3,9,6,-7
8,4,2018-05-03,24-067,TOR,,CLE,L (-18),0,23:55,5,10,0.5,4,7,0.571,0,0,,0,0,0,4,0,0,0,0,14,11.8,2
9,5,2018-05-05,24-069,TOR,@,CLE,L (-2),1,33:11:00,2,9,0.222,1,7,0.143,3,4,0.75,0,1,1,2,0,0,1,3,8,1.6,14
10,6,2018-05-07,24-071,TOR,@,CLE,L (-35),0,20:30,2,5,0.4,1,3,0.333,0,0,,0,2,2,1,0,0,1,1,5,2.2,-14
