Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,22-181,TOR,,WAS,W (+8),0,15:08,1,1,1,0,0,,0,0,,0,1,1,1,0,2,3,2,2,0.3,-2
2,2,2018-04-17,22-184,TOR,,WAS,W (+11),0,14:19,2,2,1,0,0,,0,0,,2,2,4,0,0,0,0,3,4,4.2,-10
3,3,2018-04-20,22-187,TOR,@,WAS,L (-19),0,9:42,2,3,0.667,0,0,,1,1,1,2,2,4,0,0,1,2,3,5,3.2,-11
4,4,2018-04-22,22-189,TOR,@,WAS,L (-8),0,24:27:00,4,6,0.667,0,0,,2,2,1,3,4,7,1,1,0,2,6,10,8,3
5,5,2018-04-25,22-192,TOR,,WAS,W (+10),0,15:44,3,5,0.6,0,0,,3,6,0.5,2,1,3,2,1,0,0,1,9,9.2,-9
6,6,2018-04-27,22-194,TOR,@,WAS,W (+10),0,17:05,2,5,0.4,0,1,0,3,4,0.75,3,4,7,1,0,0,0,5,7,5.9,4
7,7,2018-05-01,22-198,TOR,,CLE,L (-1),0,16:48,0,3,0,0,0,,4,4,1,2,4,6,0,0,0,0,3,4,3.3,3
8,8,2018-05-03,22-200,TOR,,CLE,L (-18),0,14:42,3,3,1,0,0,,2,2,1,0,2,2,1,1,0,0,1,8,9,-7
9,,2018-05-05,22-202,TOR,@,CLE,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,9,2018-05-07,22-204,TOR,@,CLE,L (-35),0,12:00,0,3,0,0,0,,0,0,,1,1,2,0,0,1,1,1,0,-1.8,-7
