Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,31,TOR,,CHI,W (+17),1,31:20:00,4,7,0.571,1,3,0.333,3,3,1,0,4,4,9,1,0,4,1,12,12.8,1
2,2,2017-10-21,31,TOR,,PHI,W (+34),1,28:06:00,6,12,0.5,4,10,0.4,1,2,0.5,0,5,5,5,0,0,1,3,17,13.4,17
3,3,2017-10-23,31,TOR,@,SAS,L (-4),1,34:54:00,3,11,0.273,2,8,0.25,0,0,,0,2,2,3,0,0,1,3,8,2,-8
4,4,2017-10-25,31,TOR,@,GSW,L (-5),1,38:16:00,5,18,0.278,1,8,0.125,3,3,1,0,4,4,9,1,2,2,4,14,9.7,-5
5,5,2017-10-27,31,TOR,@,LAL,W (+9),1,36:19:00,4,14,0.286,3,7,0.429,0,0,,0,10,10,12,2,0,1,1,11,14.8,14
6,6,2017-10-30,31,TOR,@,POR,W (+14),1,34:29:00,6,14,0.429,3,6,0.5,4,4,1,1,9,10,6,0,0,3,1,19,15.8,12
7,7,2017-11-01,31,TOR,@,DEN,L (-18),1,24:40:00,4,10,0.4,1,5,0.2,0,0,,2,3,5,4,1,0,1,2,9,7.9,-21
8,8,2017-11-03,31,TOR,@,UTA,W (+9),1,35:17:00,6,11,0.545,3,6,0.5,0,0,,0,4,4,10,1,0,4,2,15,14.1,13
9,9,2017-11-05,31,TOR,,WAS,L (-11),1,11:48,0,4,0,0,2,0,2,3,0.667,0,1,1,1,0,0,1,2,2,-2,-17
10,10,2017-11-07,31,TOR,,CHI,W (+5),1,32:56:00,7,13,0.538,1,4,0.25,2,2,1,2,4,6,6,0,0,2,2,17,14.7,3
11,11,2017-11-09,31,TOR,,NOP,W (+4),1,34:10:00,7,13,0.538,4,10,0.4,0,0,,0,6,6,7,0,0,2,2,18,15.6,12
12,12,2017-11-12,31,TOR,@,BOS,L (-1),1,30:34:00,5,10,0.5,4,8,0.5,5,5,1,0,1,1,7,1,0,3,4,19,15.6,-4
13,13,2017-11-14,31,TOR,@,HOU,W (+16),1,37:06:00,4,12,0.333,2,7,0.286,9,10,0.9,0,5,5,10,1,0,2,4,19,17.7,14
14,14,2017-11-15,31,TOR,@,NOP,W (+9),1,35:47:00,6,12,0.5,4,10,0.4,6,6,1,2,9,11,9,0,0,5,2,22,20.6,-9
15,15,2017-11-17,31,TOR,,NYK,W (+23),1,31:58:00,8,12,0.667,5,7,0.714,1,1,1,0,8,8,10,0,0,2,2,22,23.4,22
16,16,2017-11-19,31,TOR,,WAS,W (+9),1,33:15:00,4,10,0.4,1,6,0.167,1,2,0.5,0,5,5,6,2,0,2,3,10,8.7,3
17,17,2017-11-22,31,TOR,@,NYK,L (-8),1,35:46:00,7,15,0.467,4,10,0.4,7,8,0.875,2,8,10,5,2,1,5,3,25,20.7,-16
18,18,2017-11-24,31,TOR,@,IND,L (-3),1,39:47:00,6,12,0.5,5,9,0.556,7,7,1,1,9,10,8,3,0,3,2,24,26.2,-5
19,19,2017-11-25,31,TOR,@,ATL,W (+34),1,27:23:00,4,9,0.444,4,7,0.571,3,4,0.75,1,12,13,6,1,0,4,1,15,15,21
20,20,2017-11-29,31,TOR,,CHO,W (+13),1,36:42:00,12,18,0.667,8,11,0.727,4,4,1,1,4,5,6,1,0,3,4,36,30.7,10
21,21,2017-12-01,31,TOR,,IND,W (+5),1,35:07:00,4,11,0.364,3,9,0.333,0,0,,1,6,7,8,0,0,3,2,11,9.2,-5
22,22,2017-12-05,31,TOR,,PHO,W (+13),1,35:09:00,7,12,0.583,5,10,0.5,1,2,0.5,1,5,6,10,2,0,4,2,20,20.4,24
23,23,2017-12-08,31,TOR,@,MEM,W (+9),1,36:47:00,5,14,0.357,4,9,0.444,2,2,1,0,6,6,8,2,0,1,0,16,16.6,18
24,24,2017-12-10,31,TOR,@,SAC,W (+15),1,34:44:00,4,17,0.235,3,12,0.25,4,6,0.667,2,10,12,6,1,0,2,1,15,11.1,23
25,25,2017-12-11,31,TOR,@,LAC,L (-5),1,35:14:00,4,13,0.308,0,8,0,6,8,0.75,0,3,3,5,1,0,5,1,14,5.7,0
26,26,2017-12-13,31,TOR,@,PHO,W (+6),1,34:11:00,3,12,0.25,2,7,0.286,4,4,1,0,2,2,7,1,0,0,2,12,10.5,12
27,27,2017-12-15,31,TOR,,BRK,W (+33),1,30:59:00,4,9,0.444,2,5,0.4,0,0,,3,7,10,12,4,0,1,1,10,20.5,37
28,28,2017-12-17,31,TOR,,SAC,W (+15),1,32:30:00,5,11,0.455,4,8,0.5,2,2,1,0,5,5,7,2,0,2,1,16,16.3,4
29,29,2017-12-20,31,TOR,@,CHO,W (+18),1,24:21:00,4,7,0.571,3,5,0.6,0,0,,0,3,3,8,0,0,3,4,11,9.6,13
30,30,2017-12-21,31,TOR,@,PHI,W (+5),1,36:02:00,6,15,0.4,3,9,0.333,8,8,1,4,5,9,4,3,0,7,1,23,17.6,8
31,31,2017-12-23,31,TOR,,PHI,W (+16),1,29:36:00,3,7,0.429,1,5,0.2,5,5,1,0,3,3,5,3,0,4,4,12,10.1,0
32,32,2017-12-26,31,TOR,@,DAL,L (-5),1,34:21:00,6,17,0.353,4,8,0.5,7,8,0.875,0,8,8,6,1,0,1,3,23,18.5,16
33,33,2017-12-27,31,TOR,@,OKC,L (-17),1,30:07:00,3,10,0.3,2,7,0.286,5,5,1,2,2,4,10,3,0,3,3,13,15,-27
34,34,2017-12-29,31,TOR,,ATL,W (+13),1,30:16:00,5,15,0.333,2,9,0.222,0,0,,1,4,5,5,0,0,1,1,12,7.5,-2
35,35,2018-01-01,31,TOR,,MIL,W (+4),1,41:04:00,7,13,0.538,5,10,0.5,7,10,0.7,1,5,6,6,1,1,3,5,26,21.6,11
36,36,2018-01-03,31,TOR,@,CHI,W (+9),1,31:51:00,5,14,0.357,2,7,0.286,4,4,1,2,3,5,4,2,0,5,2,16,9.5,-9
37,37,2018-01-05,31,TOR,@,MIL,W (+19),1,26:56:00,5,10,0.5,4,8,0.5,1,2,0.5,1,5,6,4,2,0,1,2,15,14.8,20
38,38,2018-01-08,31,TOR,@,BRK,W (+1),1,37:47:00,7,14,0.5,3,6,0.5,1,1,1,0,5,5,11,1,0,4,2,18,16.4,-4
39,,2018-01-09,31,TOR,,MIA,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
40,,2018-01-11,31,TOR,,CLE,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
41,,2018-01-13,31,TOR,,GSW,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
42,39,2018-01-15,31,TOR,@,PHI,L (-6),1,37:27:00,3,16,0.188,1,5,0.2,6,6,1,1,6,7,4,3,0,4,3,13,6.1,-5
43,40,2018-01-17,31,TOR,,DET,W (+5),1,32:23:00,5,14,0.357,4,10,0.4,4,5,0.8,3,6,9,5,1,0,3,2,18,14.4,8
44,41,2018-01-19,31,TOR,,SAS,W (+3),1,34:39:00,8,16,0.5,4,9,0.444,4,5,0.8,0,3,3,3,1,1,2,3,24,17.1,5
45,42,2018-01-20,31,TOR,@,MIN,L (-6),1,33:46:00,14,25,0.56,6,10,0.6,6,7,0.857,1,4,5,5,0,0,0,5,40,31.1,5
46,43,2018-01-24,31,TOR,@,ATL,W (+15),1,27:54:00,3,10,0.3,3,9,0.333,0,1,0,1,4,5,4,1,1,4,1,9,4.8,16
47,44,2018-01-26,31,TOR,,UTA,L (-4),1,35:03:00,2,14,0.143,0,6,0,1,2,0.5,0,1,1,7,1,1,5,3,5,-3.7,-6
