Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2018-04-14,27-231,TOR,,WAS,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,1,2018-04-17,27-234,TOR,,WAS,W (+11),0,6:34,1,2,0.5,1,2,0.5,0,0,,0,0,0,1,0,0,0,0,3,2.7,-12
3,2,2018-04-20,27-237,TOR,@,WAS,L (-19),0,12:00,1,5,0.2,0,1,0,0,0,,1,2,3,0,0,1,1,2,2,-0.9,0
4,,2018-04-22,27-239,TOR,@,WAS,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,,2018-04-25,27-242,TOR,,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,,2018-04-27,27-244,TOR,@,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,,2018-05-01,27-248,TOR,,CLE,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
8,3,2018-05-03,27-250,TOR,,CLE,L (-18),0,2:34,1,2,0.5,1,2,0.5,0,0,,0,0,0,1,0,0,0,0,3,2.7,0
9,,2018-05-05,27-252,TOR,@,CLE,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,4,2018-05-07,27-254,TOR,@,CLE,L (-35),0,7:38,0,1,0,0,0,,1,2,0.5,0,3,3,0,0,0,0,0,1,0.8,-5
