Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2017-10-19,25,TOR,,CHI,W (+17),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,1,2017-10-21,25,TOR,,PHI,W (+34),0,16:23,5,7,0.714,0,1,0,0,0,,3,6,9,0,2,2,1,1,10,13,16
3,2,2017-10-23,25,TOR,@,SAS,L (-4),1,19:11,1,4,0.25,0,1,0,2,2,1,1,5,6,0,2,0,0,3,4,4.6,-10
4,,2017-10-25,25,TOR,@,GSW,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,,2017-10-27,25,TOR,@,LAL,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,3,2017-10-30,25,TOR,@,POR,W (+14),1,30:21:00,7,8,0.875,1,1,1,2,4,0.5,2,7,9,2,2,5,2,3,17,20.6,13
7,4,2017-11-01,25,TOR,@,DEN,L (-18),0,15:31,2,3,0.667,0,0,,1,1,1,1,0,1,0,0,2,0,1,5,5.4,-22
8,5,2017-11-03,25,TOR,@,UTA,W (+9),0,14:43,1,3,0.333,0,1,0,0,0,,0,2,2,2,0,1,0,2,2,2.2,-4
9,6,2017-11-05,25,TOR,,WAS,L (-11),0,14:09,3,4,0.75,0,1,0,0,0,,0,2,2,0,1,2,1,1,6,6,9
10,7,2017-11-07,25,TOR,,CHI,W (+5),0,10:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,3,0,-2.5,2
11,8,2017-11-09,25,TOR,,NOP,W (+4),0,1:27,1,1,1,0,0,,0,0,,1,0,1,0,0,0,0,3,2,1.2,4
12,9,2017-11-12,25,TOR,@,BOS,L (-1),0,18:51,0,3,0,0,0,,0,0,,1,6,7,1,1,4,1,1,0,3.5,9
13,10,2017-11-14,25,TOR,@,HOU,W (+16),0,5:29,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,2
14,11,2017-11-15,25,TOR,@,NOP,W (+9),0,3:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,3
15,12,2017-11-17,25,TOR,,NYK,W (+23),0,17:08,3,6,0.5,0,2,0,0,0,,0,4,4,0,2,3,2,0,6,6.3,2
16,13,2017-11-19,25,TOR,,WAS,W (+9),0,13:38,3,3,1,0,0,,2,2,1,0,1,1,0,0,1,0,3,8,6.9,4
17,14,2017-11-22,25,TOR,@,NYK,L (-8),0,7:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,5
18,15,2017-11-24,25,TOR,@,IND,L (-3),0,1:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1
19,16,2017-11-25,25,TOR,@,ATL,W (+34),0,6:32,1,2,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,0,2,3,1.5,-1
20,17,2017-11-29,25,TOR,,CHO,W (+13),0,8:16,1,3,0.333,1,1,1,0,0,,0,1,1,0,1,0,0,3,3,1.4,13
21,,2017-12-01,25,TOR,,IND,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2017-12-05,25,TOR,,PHO,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2017-12-08,25,TOR,@,MEM,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2017-12-10,25,TOR,@,SAC,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2017-12-11,25,TOR,@,LAC,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2017-12-13,25,TOR,@,PHO,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2017-12-15,25,TOR,,BRK,W (+33),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2017-12-17,25,TOR,,SAC,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2017-12-20,25,TOR,@,CHO,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2017-12-21,25,TOR,@,PHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2017-12-23,25,TOR,,PHI,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2017-12-26,25,TOR,@,DAL,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
33,18,2017-12-27,25,TOR,@,OKC,L (-17),0,3:57,0,1,0,0,1,0,2,2,1,0,0,0,1,2,0,0,0,2,4,3
34,19,2017-12-29,25,TOR,,ATL,W (+13),0,7:01,3,3,1,0,0,,0,0,,3,0,3,0,0,2,0,1,6,8.2,-3
35,,2018-01-01,25,TOR,,MIL,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
36,20,2018-01-03,25,TOR,@,CHI,W (+9),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-6
37,21,2018-01-05,25,TOR,@,MIL,W (+19),0,17:45,2,2,1,0,0,,1,1,1,1,3,4,2,0,3,0,4,5,7.9,-8
38,22,2018-01-08,25,TOR,@,BRK,W (+1),0,10:15,0,1,0,0,0,,0,0,,0,2,2,0,0,1,0,2,0,-0.2,6
39,23,2018-01-09,25,TOR,,MIA,L (-1),0,15:17,1,1,1,0,0,,2,2,1,0,0,0,0,1,4,1,0,4,6.5,2
40,24,2018-01-11,25,TOR,,CLE,W (+34),0,3:50,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1,-2
41,,2018-01-13,25,TOR,,GSW,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
42,25,2018-01-15,25,TOR,@,PHI,L (-6),0,4:51,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,1,2
43,26,2018-01-17,25,TOR,,DET,W (+5),0,4:21,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-4
44,,2018-01-19,25,TOR,,SAS,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,27,2018-01-20,25,TOR,@,MIN,L (-6),0,11:03,0,0,,0,0,,0,0,,0,3,3,1,0,1,0,1,0,1.9,3
46,28,2018-01-24,25,TOR,@,ATL,W (+15),0,6:21,0,2,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,-1.9,-15
47,,2018-01-26,25,TOR,,UTA,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
48,,2018-01-28,25,TOR,,LAL,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
49,,2018-01-30,25,TOR,,MIN,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
50,29,2018-02-01,25,TOR,@,WAS,L (-3),0,3:12,0,0,,0,0,,0,0,,0,1,1,0,1,1,0,0,0,2,1
51,30,2018-02-02,25,TOR,,POR,W (+25),0,4:07,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,1,0,1.6,-1
52,,2018-02-04,25,TOR,,MEM,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
53,31,2018-02-06,25,TOR,,BOS,W (+20),0,3:43,0,1,0,0,0,,2,2,1,0,0,0,0,0,0,0,2,2,0.5,-7
54,32,2018-02-08,25,TOR,,NYK,W (+25),0,3:37,1,2,0.5,0,1,0,0,0,,1,1,2,0,0,0,0,1,2,1.6,-4
55,33,2018-02-11,25,TOR,@,CHO,W (+20),0,5:56,1,1,1,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.1,-14
56,,2018-02-13,25,TOR,,MIA,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
57,34,2018-02-14,25,TOR,@,CHI,W (+24),0,3:27,1,2,0.5,0,1,0,0,0,,0,2,2,1,1,0,0,0,2,3.3,-2
58,,2018-02-23,25,TOR,,MIL,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
59,35,2018-02-26,25,TOR,,DET,W (+29),0,3:54,1,1,1,1,1,1,0,0,,0,2,2,1,0,0,1,0,3,3,5
60,,2018-02-28,25,TOR,@,ORL,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
61,36,2018-03-02,25,TOR,@,WAS,W (+7),0,7:13,1,1,1,0,0,,2,3,0.667,1,1,2,0,0,0,1,1,4,2.9,14
62,37,2018-03-04,25,TOR,,CHO,W (+5),0,4:32,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,2,3
63,38,2018-03-06,25,TOR,,ATL,W (+16),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-1
64,39,2018-03-07,25,TOR,@,DET,W (+2),0,3:45,0,0,,0,0,,1,2,0.5,0,0,0,0,0,1,0,0,1,1.3,1
65,,2018-03-09,25,TOR,,HOU,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
66,40,2018-03-11,25,TOR,@,NYK,W (+26),0,5:21,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1,2
67,41,2018-03-13,25,TOR,@,BRK,W (+14),0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,2
68,,2018-03-15,25,TOR,@,IND,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
