Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,25-262,TOR,,WAS,W (+8),0,9:12,0,0,,0,0,,1,2,0.5,0,1,1,1,0,0,0,0,1,1.6,8
2,2,2018-04-17,25-265,TOR,,WAS,W (+11),0,5:08,0,1,0,0,0,,0,0,,0,0,0,0,0,0,2,5,0,-4.7,-19
3,3,2018-04-20,25-268,TOR,@,WAS,L (-19),0,5:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-7
4,,2018-04-22,25-270,TOR,@,WAS,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,,2018-04-25,25-273,TOR,,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,,2018-04-27,25-275,TOR,@,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,,2018-05-01,25-279,TOR,,CLE,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
8,4,2018-05-03,25-281,TOR,,CLE,L (-18),0,2:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
9,,2018-05-05,25-283,TOR,@,CLE,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,5,2018-05-07,25-285,TOR,@,CLE,L (-35),0,1:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-10
