Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2018-04-14,22-099,TOR,,WAS,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
2,,2018-04-17,22-102,TOR,,WAS,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
3,,2018-04-20,22-105,TOR,@,WAS,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2018-04-22,22-107,TOR,@,WAS,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
5,,2018-04-25,22-110,TOR,,WAS,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
6,,2018-04-27,22-112,TOR,@,WAS,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2018-05-01,22-116,TOR,,CLE,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2018-05-03,22-118,TOR,,CLE,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2018-05-05,22-120,TOR,@,CLE,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2018-05-07,22-122,TOR,@,CLE,L (-35),Inactive,,,,,,,,,,,,,,,,,,,,,
