Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2017-10-19,24-227,TOR,,CHI,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
2,,2017-10-21,24-229,TOR,,PHI,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
3,,2017-10-23,24-231,TOR,@,SAS,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2017-10-25,24-233,TOR,@,GSW,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
5,,2017-10-27,24-235,TOR,@,LAL,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
6,,2017-10-30,24-238,TOR,@,POR,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2017-11-01,24-240,TOR,@,DEN,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2017-11-03,24-242,TOR,@,UTA,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2017-11-05,24-244,TOR,,WAS,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2017-11-07,24-246,TOR,,CHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2017-11-09,24-248,TOR,,NOP,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2017-11-12,24-251,TOR,@,BOS,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2017-11-14,24-253,TOR,@,HOU,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2017-11-15,24-254,TOR,@,NOP,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2017-11-17,24-256,TOR,,NYK,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2017-11-19,24-258,TOR,,WAS,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2017-11-22,24-261,TOR,@,NYK,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2017-11-24,24-263,TOR,@,IND,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2017-11-25,24-264,TOR,@,ATL,W (+34),Inactive,,,,,,,,,,,,,,,,,,,,,
20,,2017-11-29,24-268,TOR,,CHO,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
21,,2017-12-01,24-270,TOR,,IND,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2017-12-05,24-274,TOR,,PHO,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2017-12-08,24-277,TOR,@,MEM,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
24,,2017-12-10,24-279,TOR,@,SAC,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
25,,2017-12-11,24-280,TOR,@,LAC,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
26,,2017-12-13,24-282,TOR,@,PHO,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2017-12-15,24-284,TOR,,BRK,W (+33),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2017-12-17,24-286,TOR,,SAC,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
29,1,2017-12-20,24-289,TOR,@,CHO,W (+18),0,4:45,0,2,0,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-3
30,,2017-12-21,24-290,TOR,@,PHI,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
31,2,2017-12-23,24-292,TOR,,PHI,W (+16),0,2:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
32,,2017-12-26,24-295,TOR,@,DAL,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2017-12-27,24-296,TOR,@,OKC,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2017-12-29,24-298,TOR,,ATL,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
35,,2018-01-01,24-301,TOR,,MIL,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
36,,2018-01-03,24-303,TOR,@,CHI,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
37,,2018-01-05,24-305,TOR,@,MIL,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
