Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,24-324,TOR,,WAS,W (+8),0,4:51,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1
2,2,2018-04-17,24-327,TOR,,WAS,W (+11),0,4:41,0,2,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-7
3,3,2018-04-20,24-330,TOR,@,WAS,L (-19),0,6:21,1,3,0.333,1,3,0.333,2,2,1,0,0,0,1,0,0,1,0,5,3,-2
4,,2018-04-22,24-332,TOR,@,WAS,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,4,2018-04-25,24-335,TOR,,WAS,W (+10),0,8:29,0,1,0,0,1,0,0,0,,0,0,0,1,0,0,0,2,0,-0.8,1
6,,2018-04-27,24-337,TOR,@,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,,2018-05-01,24-341,TOR,,CLE,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
8,5,2018-05-03,24-343,TOR,,CLE,L (-18),0,3:12,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,0,0,2,1.3,4
9,,2018-05-05,24-345,TOR,@,CLE,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,6,2018-05-07,24-347,TOR,@,CLE,L (-35),0,12:24,2,5,0.4,0,1,0,1,2,0.5,0,1,1,0,0,0,0,1,5,1.8,-7
