Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,24-012,TOR,,WAS,W (+8),0,15:47,2,5,0.4,1,2,0.5,4,4,1,0,5,5,1,0,0,1,2,9,6.7,8
2,2,2018-04-17,24-015,TOR,,WAS,W (+11),0,11:12,3,5,0.6,0,0,,0,1,0,2,1,3,1,0,0,2,5,6,1.7,-9
3,3,2018-04-20,24-018,TOR,@,WAS,L (-19),0,16:06,2,3,0.667,1,1,1,0,0,,1,3,4,1,0,1,0,0,5,6.7,-7
4,4,2018-04-22,24-020,TOR,@,WAS,L (-8),0,18:22,1,4,0.25,0,0,,1,2,0.5,0,3,3,0,0,3,0,0,3,3.2,-3
5,5,2018-04-25,24-023,TOR,,WAS,W (+10),0,12:21,1,2,0.5,0,0,,2,2,1,0,1,1,2,0,0,0,3,4,3.5,-4
6,6,2018-04-27,24-025,TOR,@,WAS,W (+10),0,22:08,5,6,0.833,0,0,,1,3,0.333,3,5,8,0,1,2,0,3,11,12.8,18
7,7,2018-05-01,24-029,TOR,,CLE,L (-1),0,22:24,4,5,0.8,1,1,1,2,5,0.4,0,1,1,1,0,0,2,4,11,5.3,-5
8,8,2018-05-03,24-031,TOR,,CLE,L (-18),0,18:15,1,1,1,0,0,,0,0,,0,6,6,0,0,0,1,4,2,0.9,-1
9,9,2018-05-05,24-033,TOR,@,CLE,L (-2),0,14:24,3,6,0.5,0,0,,0,0,,3,0,3,0,0,0,1,4,6,2.5,-2
10,10,2018-05-07,24-035,TOR,@,CLE,L (-35),0,27:35:00,3,4,0.75,0,0,,3,3,1,0,2,2,2,0,0,0,2,9,8.6,-14
