Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2016-10-26,22-244,TOR,,DET,W (+18),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,,2016-10-28,22-246,TOR,,CLE,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,,2016-10-31,22-249,TOR,,DEN,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,,2016-11-02,22-251,TOR,@,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,,2016-11-04,22-253,TOR,,MIA,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,,2016-11-06,22-255,TOR,,SAC,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,1,2016-11-09,22-258,TOR,@,OKC,W (+10),0,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
8,,2016-11-11,22-260,TOR,@,CHO,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
9,,2016-11-12,22-261,TOR,,NYK,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,,2016-11-15,22-264,TOR,@,CLE,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
11,,2016-11-16,22-265,TOR,,GSW,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
12,,2016-11-18,22-267,TOR,@,DEN,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2016-11-20,22-269,TOR,@,SAC,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2016-11-21,22-270,TOR,@,LAC,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2016-11-23,22-272,TOR,@,HOU,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2016-11-25,22-274,TOR,@,MIL,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
17,2,2016-11-28,22-277,TOR,,PHI,W (+27),0,3:34,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
18,3,2016-11-30,22-279,TOR,,MEM,W (+15),0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,4
19,4,2016-12-02,22-281,TOR,,LAL,W (+33),0,3:45,1,2,0.5,0,1,0,0,0,,0,0,0,0,1,0,1,1,2,0.6,6
20,5,2016-12-03,22-282,TOR,,ATL,W (+44),0,4:10,2,2,1,1,1,1,0,0,,0,1,1,2,0,0,0,0,5,6.1,6
21,,2016-12-05,22-284,TOR,,CLE,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
22,,2016-12-08,22-287,TOR,,MIN,W (+14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
23,,2016-12-09,22-288,TOR,@,BOS,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
24,6,2016-12-12,22-291,TOR,,MIL,W (+22),0,1:34,0,1,0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0,3
25,,2016-12-14,22-293,TOR,@,PHI,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
26,,2016-12-16,22-295,TOR,,ATL,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
27,7,2016-12-18,22-297,TOR,@,ORL,W (+30),0,22:46,2,5,0.4,0,1,0,0,0,,0,2,2,4,3,0,0,3,4,6.5,19
28,8,2016-12-20,22-299,TOR,,BRK,W (+12),0,2:17,0,2,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-3
29,,2016-12-23,22-302,TOR,@,UTA,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
30,,2016-12-26,22-305,TOR,@,POR,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
31,,2016-12-28,22-307,TOR,@,GSW,L (-10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
32,,2016-12-29,22-308,TOR,@,PHO,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
33,,2017-01-01,22-311,TOR,@,LAL,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
34,9,2017-01-03,22-313,TOR,@,SAS,L (-28),0,4:53,1,2,0.5,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2,-4
35,,2017-01-05,22-315,TOR,,UTA,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
