Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,24-173,TOR,,DET,W (+18),1,35:13:00,10,15,0.667,0,0,,12,14,0.857,6,5,11,1,0,0,1,4,32,28.5,22
2,2,2016-10-28,24-175,TOR,,CLE,L (-3),1,31:00:00,5,15,0.333,0,0,,0,0,,6,11,17,0,0,1,3,2,10,5.9,-11
3,3,2016-10-31,24-178,TOR,,DEN,W (+3),1,30:36:00,6,12,0.5,0,0,,0,0,,3,6,9,1,0,1,2,4,12,7.7,6
4,4,2016-11-02,24-180,TOR,@,WAS,W (+10),1,30:37:00,4,6,0.667,0,0,,2,2,1,0,7,7,3,0,0,1,5,10,8.6,2
5,5,2016-11-04,24-182,TOR,,MIA,W (+9),1,27:56:00,1,2,0.5,0,0,,3,4,0.75,2,9,11,0,1,2,2,3,5,6.9,3
6,,2016-11-06,24-184,TOR,,SAC,L (-5),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
7,,2016-11-09,24-187,TOR,@,OKC,W (+10),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
8,6,2016-11-11,24-189,TOR,@,CHO,W (+2),1,20:37,5,8,0.625,0,0,,2,2,1,2,6,8,0,2,1,0,2,12,13.5,-8
9,7,2016-11-12,24-190,TOR,,NYK,W (+11),1,22:23,4,8,0.5,0,0,,5,6,0.833,2,6,8,0,1,1,3,2,13,9.7,3
10,8,2016-11-15,24-193,TOR,@,CLE,L (-4),1,34:29:00,5,9,0.556,0,0,,4,4,1,3,6,9,2,0,0,2,1,14,12.6,-4
11,9,2016-11-16,24-194,TOR,,GSW,L (-6),1,18:19,6,6,1,0,0,,0,0,,3,5,8,0,0,0,1,1,12,12.4,-4
12,10,2016-11-18,24-196,TOR,@,DEN,W (+2),1,37:08:00,6,9,0.667,0,0,,3,7,0.429,2,7,9,1,0,1,0,4,15,12.8,4
13,11,2016-11-20,24-198,TOR,@,SAC,L (-3),1,37:08:00,9,18,0.5,0,0,,5,6,0.833,7,6,13,2,0,2,1,2,23,21.3,-14
14,12,2016-11-21,24-199,TOR,@,LAC,L (-8),1,29:28:00,5,8,0.625,0,0,,5,5,1,2,6,8,1,0,1,0,4,15,14.4,-4
15,13,2016-11-23,24-201,TOR,@,HOU,W (+13),1,30:37:00,6,10,0.6,0,0,,3,4,0.75,5,11,16,2,0,1,5,2,15,13.1,17
16,14,2016-11-25,24-203,TOR,@,MIL,W (+6),1,31:24:00,6,11,0.545,0,0,,0,0,,3,4,7,0,0,0,1,3,12,7.8,5
17,15,2016-11-28,24-206,TOR,,PHI,W (+27),1,22:05,6,12,0.5,0,0,,0,0,,3,8,11,0,1,2,1,1,12,11.5,15
18,16,2016-11-30,24-208,TOR,,MEM,W (+15),1,22:52,3,6,0.5,0,0,,0,0,,1,3,4,0,1,1,4,2,6,1.5,-4
19,17,2016-12-02,24-210,TOR,,LAL,W (+33),1,24:13:00,2,4,0.5,0,0,,2,2,1,1,6,7,1,0,1,0,3,6,6.7,13
20,18,2016-12-03,24-211,TOR,,ATL,W (+44),1,20:54,1,4,0.25,0,0,,0,0,,3,2,5,1,2,0,3,2,2,1.2,13
21,19,2016-12-05,24-213,TOR,,CLE,L (-4),1,25:21:00,1,8,0.125,0,0,,2,2,1,3,7,10,1,0,0,0,1,4,3.3,-16
22,20,2016-12-08,24-216,TOR,,MIN,W (+14),1,28:42:00,9,15,0.6,0,0,,2,2,1,6,4,10,1,0,1,1,5,20,16.9,5
23,21,2016-12-09,24-217,TOR,@,BOS,W (+7),1,24:05:00,3,7,0.429,0,0,,0,0,,2,8,10,0,0,0,2,2,6,3.3,0
24,22,2016-12-12,24-220,TOR,,MIL,W (+22),1,23:03,4,9,0.444,0,0,,3,4,0.75,4,8,12,1,0,0,1,3,11,9.6,0
25,23,2016-12-14,24-222,TOR,@,PHI,W (+9),1,34:27:00,6,11,0.545,0,0,,5,5,1,4,6,10,1,2,1,3,4,17,15.1,2
26,24,2016-12-16,24-224,TOR,,ATL,L (-4),1,25:53:00,5,5,1,0,0,,1,2,0.5,1,5,6,2,2,0,3,4,11,10.1,3
27,25,2016-12-18,24-226,TOR,@,ORL,W (+30),1,25:59:00,8,15,0.533,0,0,,0,0,,6,7,13,0,0,1,0,1,16,15.3,16
28,26,2016-12-20,24-228,TOR,,BRK,W (+12),1,22:02,3,8,0.375,0,0,,4,4,1,3,11,14,0,0,1,0,1,10,11.3,17
29,27,2016-12-23,24-231,TOR,@,UTA,W (+6),1,16:18,5,5,1,0,0,,4,6,0.667,0,7,7,0,1,1,0,4,14,13.9,7
30,28,2016-12-26,24-234,TOR,@,POR,W (+4),1,27:02:00,5,13,0.385,0,0,,2,2,1,3,10,13,1,1,1,0,2,12,11.6,-1
31,29,2016-12-28,24-236,TOR,@,GSW,L (-10),1,21:23,2,5,0.4,0,0,,3,3,1,2,3,5,0,0,1,0,3,7,6.1,-13
32,30,2016-12-29,24-237,TOR,@,PHO,L (-8),1,19:10,2,4,0.5,0,0,,4,4,1,3,7,10,0,1,0,3,3,8,7,-9
33,31,2017-01-01,24-240,TOR,@,LAL,W (+9),1,30:48:00,6,7,0.857,0,0,,2,2,1,1,8,9,0,2,0,3,3,14,12.4,1
34,32,2017-01-03,24-242,TOR,@,SAS,L (-28),1,22:26,1,5,0.2,0,0,,0,0,,1,5,6,0,0,0,1,2,2,-0.7,-20
35,33,2017-01-05,24-244,TOR,,UTA,W (+8),1,30:45:00,7,11,0.636,0,0,,4,4,1,8,5,13,0,0,0,0,3,18,19,7
36,34,2017-01-07,24-246,TOR,@,CHI,L (-5),1,32:53:00,7,11,0.636,0,0,,0,0,,1,6,7,0,0,2,1,5,14,10,0
37,35,2017-01-08,24-247,TOR,,HOU,L (-7),1,22:55,4,4,1,0,0,,0,0,,0,5,5,0,0,1,1,3,8,6.8,-3
38,36,2017-01-10,24-249,TOR,,BOS,W (+8),1,27:45:00,6,18,0.333,0,0,,6,6,1,11,12,23,0,0,2,3,4,18,15.9,17
39,37,2017-01-13,24-252,TOR,,BRK,W (+19),1,24:46:00,4,9,0.444,0,0,,6,6,1,3,7,10,1,1,1,0,2,14,15.1,5
40,38,2017-01-15,24-254,TOR,,NYK,W (+15),1,27:31:00,6,11,0.545,0,0,,0,0,,5,11,16,1,0,0,2,3,12,11,20
41,39,2017-01-17,24-256,TOR,@,BRK,W (+10),1,29:19:00,3,7,0.429,0,0,,1,2,0.5,1,9,10,0,1,0,2,3,7,4.1,1
42,40,2017-01-18,24-257,TOR,@,PHI,L (-5),1,30:14:00,5,11,0.455,0,0,,0,0,,5,10,15,1,0,0,0,3,10,10.3,1
43,41,2017-01-20,24-259,TOR,@,CHO,L (-35),1,25:12:00,5,8,0.625,0,0,,1,1,1,3,3,6,1,1,1,2,3,11,9.6,-10
44,42,2017-01-22,24-261,TOR,,PHO,L (-12),1,31:14:00,6,10,0.6,0,0,,4,5,0.8,4,8,12,2,1,3,1,3,16,18.5,-1
45,43,2017-01-24,24-263,TOR,,SAS,L (-2),1,28:57:00,2,7,0.286,0,0,,5,6,0.833,3,10,13,2,1,2,4,5,9,7.4,-2
46,44,2017-01-25,24-264,TOR,@,MEM,L (-2),1,25:35:00,2,3,0.667,0,0,,2,2,1,2,10,12,1,0,1,3,5,6,5.5,3
47,45,2017-01-27,24-266,TOR,,MIL,W (+16),1,24:14:00,4,10,0.4,0,0,,0,0,,1,10,11,1,1,2,2,1,8,7,19
48,46,2017-01-29,24-268,TOR,,ORL,L (-1),1,27:43:00,4,6,0.667,0,0,,4,5,0.8,1,8,9,3,0,0,1,2,12,12.4,2
49,47,2017-01-31,24-270,TOR,,NOP,W (+2),1,32:21:00,9,17,0.529,0,0,,2,2,1,5,7,12,0,0,0,0,5,20,15.3,2
50,48,2017-02-01,24-271,TOR,@,BOS,L (-5),1,11:47,1,1,1,0,0,,1,2,0.5,0,3,3,1,0,1,2,4,3,1,-10
