Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2016-10-26,24-092,TOR,,DET,W (+18),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
2,,2016-10-28,24-094,TOR,,CLE,L (-3),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
3,,2016-10-31,24-097,TOR,,DEN,W (+3),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
4,,2016-11-02,24-099,TOR,@,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,,2016-11-04,24-101,TOR,,MIA,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,1,2016-11-06,24-103,TOR,,SAC,L (-5),0,21:29,3,3,1,0,0,,1,2,0.5,3,2,5,0,1,1,1,3,7,7.9,-5
7,2,2016-11-09,24-106,TOR,@,OKC,W (+10),0,28:58:00,5,5,1,0,0,,0,0,,2,5,7,1,2,2,0,5,10,13.5,30
8,3,2016-11-11,24-108,TOR,@,CHO,W (+2),0,27:02:00,4,6,0.667,0,0,,2,2,1,2,5,7,1,1,2,2,4,10,9.8,12
9,4,2016-11-12,24-109,TOR,,NYK,W (+11),0,25:37:00,3,3,1,0,0,,0,0,,4,6,10,1,3,5,0,2,6,16.1,8
10,5,2016-11-15,24-112,TOR,@,CLE,L (-4),0,9:49,0,0,,0,0,,0,0,,1,3,4,0,0,1,1,5,0,-0.7,4
11,6,2016-11-16,24-113,TOR,,GSW,L (-6),0,12:50,0,0,,0,0,,0,0,,0,5,5,2,0,0,0,0,0,2.9,11
12,,2016-11-18,24-115,TOR,@,DEN,W (+2),Not With Team,,,,,,,,,,,,,,,,,,,,,
13,7,2016-11-20,24-117,TOR,@,SAC,L (-3),0,10:50,0,1,0,0,0,,0,0,,0,0,0,0,1,2,0,1,0,1.3,11
14,8,2016-11-21,24-118,TOR,@,LAC,L (-8),0,13:18,0,1,0,0,0,,1,2,0.5,0,0,0,0,0,1,1,3,1,-1.6,-9
15,9,2016-11-23,24-120,TOR,@,HOU,W (+13),0,17:23,0,1,0,0,0,,1,2,0.5,2,0,2,2,1,1,2,4,1,0.8,-4
16,10,2016-11-25,24-122,TOR,@,MIL,W (+6),0,15:35,0,1,0,0,0,,0,0,,0,1,1,0,0,4,1,4,0,-0.2,1
17,11,2016-11-28,24-125,TOR,,PHI,W (+27),0,22:21,1,2,0.5,0,0,,4,6,0.667,2,2,4,0,1,1,1,1,6,6.5,12
18,12,2016-11-30,24-127,TOR,,MEM,W (+15),0,17:48,2,3,0.667,0,0,,0,0,,1,1,2,2,3,1,0,5,4,6.8,10
