Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,31-174,PHO,,SAC,L (-19),0,5:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1,-14
2,2,2016-10-28,31-176,PHO,@,OKC,L (-3),0,4:10,0,1,0,0,1,0,0,0,,0,1,1,1,0,0,0,0,0,0.3,-3
3,3,2016-10-30,31-178,PHO,,GSW,L (-6),0,7:48,0,1,0,0,1,0,0,0,,0,3,3,0,0,0,1,1,0,-1.2,4
4,4,2016-10-31,31-179,PHO,@,LAC,L (-18),0,26:49:00,3,6,0.5,1,2,0.5,0,0,,1,5,6,0,2,0,2,2,7,5.4,-1
5,5,2016-11-02,31-181,PHO,,POR,W (+3),0,20:09,1,3,0.333,0,1,0,1,2,0.5,0,5,5,0,3,0,1,2,3,3.6,-5
6,6,2016-11-04,31-183,PHO,@,NOP,W (+1),0,32:56:00,2,6,0.333,0,3,0,0,0,,1,7,8,2,1,2,1,3,4,5,-9
7,7,2016-11-06,31-185,PHO,@,LAL,L (-11),0,19:47,0,1,0,0,0,,0,0,,0,1,1,0,0,1,1,2,0,-1.5,-4
8,8,2016-11-08,31-187,PHO,@,POR,L (-3),0,30:28:00,3,5,0.6,0,0,,5,6,0.833,5,4,9,4,5,0,0,5,11,18.8,18
9,9,2016-11-09,31-188,PHO,,DET,W (+7),0,20:00,0,4,0,0,1,0,3,4,0.75,3,3,6,1,2,0,0,2,3,4.7,-4
10,10,2016-11-12,31-191,PHO,,BRK,L (-18),0,18:39,2,5,0.4,0,3,0,5,5,1,2,4,6,2,0,0,1,3,9,8.1,-11
11,11,2016-11-13,31-192,PHO,@,GSW,L (-13),0,27:12:00,3,5,0.6,0,1,0,2,6,0.333,2,6,8,1,2,1,2,4,8,7.1,-4
12,12,2016-11-16,31-195,PHO,@,DEN,L (-16),0,20:38,0,5,0,0,3,0,0,0,,2,6,8,1,0,0,1,3,0,-1.8,-10
13,13,2016-11-18,31-197,PHO,@,IND,W (+20),0,38:55:00,3,12,0.25,0,4,0,1,2,0.5,5,5,10,0,2,0,0,1,7,6,18
14,14,2016-11-19,31-198,PHO,@,PHI,L (-15),1,30:35:00,1,3,0.333,1,2,0.5,4,4,1,1,6,7,2,0,0,0,1,7,8.8,-7
15,15,2016-11-21,31-200,PHO,@,WAS,L (-5),0,21:03,0,1,0,0,0,,0,0,,2,6,8,1,1,0,1,2,0,2.4,5
16,16,2016-11-23,31-202,PHO,@,ORL,W (+5),0,26:44:00,4,9,0.444,2,4,0.5,0,0,,1,6,7,1,1,0,2,2,10,6.7,2
17,17,2016-11-25,31-204,PHO,,MIN,L (-13),0,27:58:00,1,4,0.25,1,2,0.5,1,2,0.5,1,4,5,0,0,0,1,1,4,1.7,-13
18,18,2016-11-27,31-206,PHO,,DEN,L (-6),1,41:37:00,6,10,0.6,3,5,0.6,6,7,0.857,1,7,8,1,1,0,0,3,21,19.3,12
19,19,2016-11-30,31-209,PHO,,ATL,W (+2),1,30:23:00,6,9,0.667,2,3,0.667,3,3,1,1,2,3,2,0,0,2,1,17,13.4,-7
20,20,2016-12-03,31-212,PHO,@,GSW,L (-29),1,28:23:00,4,11,0.364,1,5,0.2,0,0,,5,2,7,2,1,0,0,4,9,7.8,-17
21,21,2016-12-06,31-215,PHO,@,UTA,L (-7),1,20:50,0,0,,0,0,,0,0,,0,0,0,0,1,0,2,2,0,-1.8,-17
22,22,2016-12-07,31-216,PHO,,IND,L (-15),1,34:09:00,3,12,0.25,1,5,0.2,0,0,,2,2,4,1,1,0,1,2,7,1.7,-9
23,23,2016-12-09,31-218,PHO,@,LAL,W (+4),1,25:12:00,2,4,0.5,0,0,,0,0,,1,4,5,1,0,0,0,1,4,4.2,4
24,24,2016-12-11,31-220,PHO,,NOP,L (-1),1,42:28:00,3,11,0.273,3,6,0.5,0,0,,2,8,10,3,1,2,0,4,9,9.2,7
25,25,2016-12-13,31-222,PHO,,NYK,W (+2),1,40:25:00,6,13,0.462,1,5,0.2,0,2,0,1,6,7,1,3,1,2,5,13,8.4,8
26,26,2016-12-15,31-224,PHO,,SAS,L (-15),1,28:36:00,2,6,0.333,1,4,0.25,0,0,,0,1,1,0,0,0,1,4,5,-0.7,-21
27,27,2016-12-17,31-226,PHO,@,OKC,L (-13),1,33:11:00,2,6,0.333,1,2,0.5,0,0,,1,1,2,2,2,0,0,2,5,5.2,-16
28,28,2016-12-19,31-228,PHO,@,MIN,L (-7),1,35:31:00,2,8,0.25,0,2,0,0,0,,1,5,6,1,5,0,1,4,4,4.5,-4
29,29,2016-12-21,31-230,PHO,,HOU,L (-14),1,31:19:00,4,6,0.667,2,3,0.667,0,0,,3,3,6,2,1,0,1,3,10,10.6,-7
30,30,2016-12-23,31-232,PHO,,PHI,W (+7),1,35:01:00,5,7,0.714,3,4,0.75,2,2,1,1,5,6,0,4,1,0,2,15,18.2,11
31,31,2016-12-26,31-235,PHO,@,HOU,L (-16),1,21:22,0,2,0,0,0,,0,0,,2,0,2,1,2,0,2,1,0,0.3,-26
32,32,2016-12-28,31-237,PHO,@,SAS,L (-21),1,15:42,1,3,0.333,0,2,0,0,0,,0,1,1,1,2,1,3,0,2,1,-14
33,33,2016-12-29,31-238,PHO,,TOR,W (+8),1,30:07:00,4,7,0.571,2,3,0.667,4,4,1,1,3,4,0,0,0,0,5,14,10.3,7
34,34,2016-12-31,31-240,PHO,@,UTA,L (-5),0,34:58:00,2,4,0.5,2,2,1,0,0,,1,5,6,0,1,0,0,1,6,6.8,-2
35,35,2017-01-02,31-242,PHO,@,LAC,L (-11),0,35:53:00,3,8,0.375,0,0,,0,0,,4,9,13,0,1,1,0,3,6,7.6,-6
36,36,2017-01-03,31-243,PHO,,MIA,W (+9),0,32:24:00,3,5,0.6,0,2,0,1,1,1,2,4,6,4,0,0,1,2,7,8.3,1
37,37,2017-01-05,31-245,PHO,@,DAL,W (+7),0,33:37:00,2,6,0.333,0,1,0,0,0,,5,4,9,1,1,1,2,3,4,4.5,0
38,38,2017-01-08,31-248,PHO,,CLE,L (-4),0,28:24:00,4,6,0.667,0,2,0,2,2,1,0,4,4,2,2,0,2,3,10,8.8,-11
39,39,2017-01-12,31-252,PHO,,DAL,L (-5),0,26:04:00,1,5,0.2,0,2,0,0,0,,2,6,8,1,0,0,1,1,2,1.4,17
40,40,2017-01-14,31-254,PHO,,SAS,W (+3),0,29:51:00,2,7,0.286,1,5,0.2,2,2,1,0,5,5,2,4,0,1,3,7,7.6,6
41,41,2017-01-16,31-256,PHO,,UTA,L (-5),0,27:10:00,4,6,0.667,0,1,0,0,0,,2,11,13,0,2,0,0,3,8,10.9,-7
42,42,2017-01-19,31-259,PHO,@,CLE,L (-15),0,29:21:00,1,5,0.2,0,1,0,0,0,,0,5,5,2,2,0,0,2,2,3,-16
43,43,2017-01-21,31-261,PHO,@,NYK,W (+2),0,36:07:00,6,10,0.6,2,5,0.4,1,2,0.5,1,2,3,2,3,0,3,2,15,11.9,9
44,44,2017-01-22,31-262,PHO,@,TOR,W (+12),0,32:03:00,5,10,0.5,0,2,0,1,2,0.5,2,8,10,0,1,0,1,4,11,7.8,16
45,45,2017-01-24,31-264,PHO,,MIN,L (-1),0,33:45:00,1,3,0.333,0,0,,6,8,0.75,0,6,6,6,4,1,0,0,8,16.2,5
46,46,2017-01-26,31-266,PHO,@,DEN,L (-7),0,38:59:00,4,10,0.4,3,4,0.75,0,0,,1,3,4,0,1,0,0,4,11,6.6,-9
47,47,2017-01-28,31-268,PHO,,DEN,L (-11),0,36:23:00,5,10,0.5,2,4,0.5,0,0,,2,5,7,5,1,0,0,5,12,12.4,-13
48,48,2017-01-30,31-270,PHO,,MEM,L (-19),0,25:07:00,5,7,0.714,1,3,0.333,0,0,,0,2,2,0,1,0,0,3,11,8.5,-20
49,49,2017-02-01,31-272,PHO,,LAC,L (-10),0,33:46:00,3,9,0.333,2,3,0.667,2,2,1,4,10,14,2,1,1,0,5,10,11.8,9
50,50,2017-02-03,31-274,PHO,@,SAC,W (+2),0,32:09:00,2,8,0.25,2,4,0.5,2,2,1,1,4,5,3,1,0,1,0,8,7.2,1
51,51,2017-02-04,31-275,PHO,,MIL,L (-25),0,37:23:00,5,7,0.714,2,3,0.667,1,1,1,1,3,4,1,7,0,1,5,13,16.4,-17
52,52,2017-02-06,31-277,PHO,@,NOP,L (-5),0,30:41:00,3,7,0.429,0,3,0,0,0,,1,4,5,1,2,0,4,5,6,0.9,-4
53,53,2017-02-08,31-279,PHO,@,MEM,L (-19),0,30:06:00,2,9,0.222,0,2,0,2,2,1,7,3,10,0,2,0,1,1,6,6.9,-8
54,54,2017-02-10,31-281,PHO,,CHI,W (+18),0,33:33:00,2,5,0.4,1,3,0.333,2,2,1,1,6,7,2,3,0,1,2,7,9.4,23
55,55,2017-02-11,31-282,PHO,@,HOU,L (-31),0,20:40,1,4,0.25,1,1,1,0,0,,1,5,6,4,1,1,1,3,3,5.1,-10
56,56,2017-02-13,31-284,PHO,,NOP,L (-2),0,33:14:00,5,11,0.455,1,4,0.25,0,0,,7,10,17,1,1,0,2,4,11,11.3,11
57,57,2017-02-15,31-286,PHO,,LAL,W (+36),0,21:29,3,6,0.5,1,2,0.5,2,2,1,1,2,3,0,0,0,0,2,9,6.5,-1
58,58,2017-02-24,31-295,TOR,,BOS,W (+10),0,29:09:00,2,5,0.4,1,1,1,4,6,0.667,3,7,10,1,3,0,0,1,9,13,7
59,59,2017-02-26,31-297,TOR,,POR,W (+6),0,20:46,1,1,1,0,0,,0,0,,0,1,1,1,0,0,0,3,2,1.5,6
60,60,2017-02-27,31-298,TOR,@,NYK,W (+1),0,25:49:00,1,4,0.25,0,0,,0,0,,3,2,5,1,2,0,0,2,2,4.2,-1
61,61,2017-03-01,31-300,TOR,,WAS,L (-9),0,21:27,2,3,0.667,0,1,0,0,0,,2,3,5,1,1,1,1,1,4,6,-13
62,62,2017-03-03,31-302,TOR,@,WAS,W (+8),0,23:40,3,5,0.6,0,0,,0,0,,1,2,3,0,1,1,1,4,6,4.1,19
63,63,2017-03-04,31-303,TOR,@,MIL,L (-7),0,28:49:00,3,10,0.3,2,5,0.4,1,2,0.5,0,4,4,1,1,0,0,2,9,4.9,-13
64,64,2017-03-08,31-307,TOR,@,NOP,W (+7),1,37:48:00,4,7,0.571,0,2,0,0,0,,0,6,6,2,0,1,2,3,8,5.4,8
65,65,2017-03-10,31-309,TOR,@,ATL,L (-6),0,25:13:00,0,3,0,0,2,0,1,2,0.5,1,4,5,0,2,0,0,2,1,1.6,5
66,66,2017-03-11,31-310,TOR,@,MIA,L (-15),0,14:03,0,1,0,0,0,,0,0,,0,3,3,0,0,0,0,3,0,-1,-8
67,67,2017-03-13,31-312,TOR,,DAL,W (+22),0,13:26,1,6,0.167,0,3,0,0,0,,0,4,4,1,1,0,0,0,2,1.1,3
68,68,2017-03-16,31-315,TOR,,OKC,L (-21),0,18:08,2,6,0.333,1,3,0.333,1,2,0.5,0,3,3,1,0,1,1,0,6,3.5,-2
69,69,2017-03-17,31-316,TOR,@,DET,W (+12),0,27:15:00,3,6,0.5,2,3,0.667,0,0,,1,8,9,2,3,0,0,1,8,12.1,12
70,70,2017-03-19,31-318,TOR,,IND,W (+25),0,25:55:00,4,9,0.444,1,4,0.25,0,0,,0,4,4,2,1,0,1,1,9,6.5,20
71,71,2017-03-21,31-320,TOR,,CHI,W (+2),0,33:25:00,3,6,0.5,2,4,0.5,0,0,,2,10,12,1,1,0,1,4,8,8.5,14
72,72,2017-03-23,31-322,TOR,@,MIA,W (+17),1,33:04:00,3,8,0.375,3,5,0.6,0,0,,2,5,7,3,1,0,1,3,9,8.4,-8
73,73,2017-03-25,31-324,TOR,@,DAL,W (+8),1,34:10:00,3,8,0.375,1,6,0.167,2,2,1,1,8,9,3,4,0,1,1,9,12.4,8
74,74,2017-03-27,31-326,TOR,,ORL,W (+19),1,32:42:00,3,5,0.6,1,2,0.5,0,0,,0,5,5,1,3,1,0,2,7,9.8,11
75,75,2017-03-29,31-328,TOR,,CHO,L (-4),0,22:42,2,4,0.5,2,3,0.667,0,0,,2,1,3,1,0,0,2,3,6,3.2,-13
76,76,2017-03-31,31-330,TOR,,IND,W (+11),0,26:49:00,3,8,0.375,2,3,0.667,0,0,,2,5,7,0,1,0,1,5,8,4.5,9
77,,2017-04-02,31-332,TOR,,PHI,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
78,77,2017-04-04,31-334,TOR,@,IND,L (-18),0,26:29:00,4,10,0.4,1,3,0.333,0,0,,2,3,5,1,1,0,1,4,9,5,-18
79,78,2017-04-05,31-335,TOR,@,DET,W (+3),0,28:03:00,3,4,0.75,3,4,0.75,0,0,,0,5,5,1,1,0,1,0,9,9.6,4
80,79,2017-04-07,31-337,TOR,,MIA,W (+2),0,27:05:00,0,2,0,0,0,,0,0,,1,4,5,0,3,0,0,3,0,2.3,4
81,80,2017-04-09,31-339,TOR,@,NYK,W (+13),0,26:56:00,2,5,0.4,2,5,0.4,2,2,1,0,7,7,1,1,0,0,3,8,7.9,20
82,81,2017-04-12,31-342,TOR,@,CLE,W (+15),0,6:09,0,2,0,0,1,0,0,0,,0,2,2,1,0,0,0,2,0,-0.9,+
1,1,2017-04-15,31-345,TOR,,MIL,L (-14),0,29:19:00,2,7,0.286,1,4,0.25,2,2,1,2,2,4,1,0,0,0,2,7,4.8,1
2,2,2017-04-18,31-348,TOR,,MIL,W (+6),0,27:52:00,2,4,0.5,1,3,0.333,0,2,0,0,5,5,2,0,1,0,4,5,4.2,2
3,3,2017-04-20,31-350,TOR,@,MIL,L (-27),0,14:18,0,0,,0,0,,0,0,,0,3,3,1,1,0,1,1,0,1.2,-13
4,4,2017-04-22,31-352,TOR,@,MIL,W (+11),0,28:22:00,0,2,0,0,2,0,0,0,,0,1,1,0,0,0,0,3,0,-2.3,7
5,5,2017-04-24,31-354,TOR,,MIL,W (+25),0,24:18:00,0,3,0,0,2,0,2,2,1,1,5,6,2,0,0,1,1,2,2.1,12
6,6,2017-04-27,31-357,TOR,@,MIL,W (+3),0,20:45,1,4,0.25,1,2,0.5,1,2,0.5,4,3,7,0,0,1,3,5,4,0.6,-9
7,7,2017-05-01,31-361,TOR,@,CLE,L (-11),0,25:53:00,6,11,0.545,1,4,0.25,0,0,,3,8,11,1,0,1,1,2,13,11.8,-1
8,8,2017-05-03,31-363,TOR,@,CLE,L (-22),0,15:33,0,3,0,0,2,0,0,0,,1,2,3,2,0,0,1,3,0,-1.6,-9
9,9,2017-05-05,32-000,TOR,,CLE,L (-21),0,18:56,2,4,0.5,1,2,0.5,0,0,,0,5,5,1,1,0,0,4,5,4.6,-9
10,10,2017-05-07,32-002,TOR,,CLE,L (-7),1,45:59:00,5,11,0.455,4,7,0.571,0,0,,4,8,12,1,4,0,1,2,14,16.4,-7
