Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,22-207,TOR,,DET,W (+18),1,21:44,2,2,1,0,0,,0,0,,2,7,9,0,1,0,0,2,4,7.1,16
2,2,2016-10-28,22-209,TOR,,CLE,L (-3),1,14:55,2,4,0.5,0,0,,0,0,,3,0,3,0,1,0,2,3,4,1.9,-7
3,3,2016-10-31,22-212,TOR,,DEN,W (+3),1,15:09,1,4,0.25,0,0,,0,0,,1,3,4,0,0,0,0,3,2,0,-4
4,4,2016-11-02,22-214,TOR,@,WAS,W (+10),1,17:46,2,4,0.5,0,0,,0,0,,0,3,3,0,1,0,1,3,4,1.7,-6
5,5,2016-11-04,22-216,TOR,,MIA,W (+9),1,16:15,4,6,0.667,0,0,,0,0,,1,2,3,0,0,0,1,0,8,5.7,0
6,6,2016-11-06,22-218,TOR,,SAC,L (-5),1,23:59,4,8,0.5,0,0,,2,3,0.667,3,3,6,1,0,1,0,4,10,8.4,9
7,7,2016-11-09,22-221,TOR,@,OKC,W (+10),1,12:43,2,3,0.667,0,0,,0,0,,0,4,4,0,0,2,0,1,4,4.9,-5
8,8,2016-11-11,22-223,TOR,@,CHO,W (+2),1,10:43,0,4,0,0,0,,0,0,,1,0,1,0,0,0,0,3,0,-3.3,-11
9,9,2016-11-12,22-224,TOR,,NYK,W (+11),1,20:15,4,5,0.8,0,0,,1,1,1,0,2,2,0,1,0,1,2,9,6.9,-6
10,10,2016-11-15,22-227,TOR,@,CLE,L (-4),1,15:51,4,5,0.8,0,0,,0,0,,2,1,3,2,0,3,1,5,8,8.3,5
11,11,2016-11-16,22-228,TOR,,GSW,L (-6),1,29:45:00,5,10,0.5,0,0,,0,0,,4,5,9,0,1,0,1,4,10,7.7,6
12,12,2016-11-18,22-230,TOR,@,DEN,W (+2),1,23:06,4,6,0.667,0,0,,0,0,,1,2,3,0,1,0,0,2,8,6.9,-2
13,13,2016-11-20,22-232,TOR,@,SAC,L (-3),1,21:25,2,5,0.4,0,0,,0,0,,3,3,6,1,1,2,0,1,4,7,-12
14,14,2016-11-21,22-233,TOR,@,LAC,L (-8),1,13:27,1,2,0.5,0,0,,0,0,,0,1,1,0,2,0,0,5,2,1.3,-1
15,15,2016-11-23,22-235,TOR,@,HOU,W (+13),1,21:18,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0.9,9
16,16,2016-11-25,22-237,TOR,@,MIL,W (+6),1,22:56,2,3,0.667,0,0,,2,4,0.5,3,4,7,0,0,1,2,1,6,5.5,2
17,17,2016-11-28,22-240,TOR,,PHI,W (+27),1,23:14,4,6,0.667,0,0,,3,4,0.75,0,2,2,0,1,1,1,2,11,8.5,6
18,18,2016-11-30,22-242,TOR,,MEM,W (+15),1,18:23,2,2,1,0,0,,0,0,,2,0,2,2,0,1,3,1,4,3.5,0
19,19,2016-12-02,22-244,TOR,,LAL,W (+33),1,24:11:00,4,5,0.8,0,1,0,0,0,,2,5,7,1,1,1,1,2,8,9.6,14
20,20,2016-12-03,22-245,TOR,,ATL,W (+44),1,27:01:00,7,12,0.583,0,1,0,0,0,,1,2,3,0,1,2,1,2,14,10.3,23
21,21,2016-12-05,22-247,TOR,,CLE,L (-4),1,18:13,3,6,0.5,0,0,,0,0,,1,1,2,1,1,0,0,1,6,5.3,-21
22,22,2016-12-08,22-250,TOR,,MIN,W (+14),1,11:15,1,1,1,0,0,,4,4,1,0,1,1,0,0,0,0,2,6,5.2,-2
23,23,2016-12-09,22-251,TOR,@,BOS,W (+7),1,14:20,1,3,0.333,0,0,,0,0,,1,3,4,1,0,0,0,1,2,2.2,-1
24,24,2016-12-12,22-254,TOR,,MIL,W (+22),1,16:27,0,4,0,0,1,0,0,0,,1,2,3,1,0,1,0,4,0,-1.7,8
25,25,2016-12-14,22-256,TOR,@,PHI,W (+9),1,15:02,2,8,0.25,0,0,,0,0,,3,2,5,1,2,0,2,4,4,1,-12
26,26,2016-12-16,22-258,TOR,,ATL,L (-4),1,8:25,2,3,0.667,0,0,,0,0,,0,0,0,0,0,3,0,1,4,4.4,-9
27,27,2016-12-18,22-260,TOR,@,ORL,W (+30),1,28:04:00,2,4,0.5,0,1,0,2,2,1,3,4,7,0,0,4,2,4,6,6.5,16
28,28,2016-12-20,22-262,TOR,,BRK,W (+12),1,27:31:00,3,3,1,0,0,,3,4,0.75,0,3,3,2,0,2,3,3,9,7.2,9
29,29,2016-12-23,22-265,TOR,@,UTA,W (+6),1,5:30,0,1,0,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,1
30,30,2016-12-26,22-268,TOR,@,POR,W (+4),1,6:07,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
31,31,2016-12-28,22-270,TOR,@,GSW,L (-10),1,4:20,0,1,0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0,-15
32,32,2016-12-29,22-271,TOR,@,PHO,L (-8),1,21:42,2,5,0.4,0,0,,0,0,,3,2,5,0,2,0,0,5,4,4,-14
33,33,2017-01-01,22-274,TOR,@,LAL,W (+9),1,30:55:00,1,4,0.25,0,0,,1,2,0.5,1,9,10,0,0,4,2,5,3,2.4,-2
34,34,2017-01-03,22-276,TOR,@,SAS,L (-28),1,25:47:00,1,4,0.25,0,0,,0,0,,1,1,2,0,0,1,0,2,2,0.5,-17
35,35,2017-01-05,22-278,TOR,,UTA,W (+8),0,3:58,0,2,0,0,0,,0,0,,1,2,3,0,0,0,0,0,0,-0.1,-5
36,,2017-01-07,22-280,TOR,@,CHI,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
37,,2017-01-08,22-281,TOR,,HOU,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
38,,2017-01-10,22-283,TOR,,BOS,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
39,36,2017-01-13,22-286,TOR,,BRK,W (+19),0,10:50,0,1,0,0,0,,0,0,,0,1,1,0,0,2,1,3,0,-1.2,2
40,37,2017-01-15,22-288,TOR,,NYK,W (+15),0,12:42,2,3,0.667,0,0,,0,0,,2,2,4,0,1,1,0,2,4,5.6,-21
41,38,2017-01-17,22-290,TOR,@,BRK,W (+10),0,14:43,2,5,0.4,0,0,,0,0,,2,0,2,0,1,3,0,0,4,5.8,14
42,39,2017-01-18,22-291,TOR,@,PHI,L (-5),1,10:46,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,1,0,2,1,-8
43,40,2017-01-20,22-293,TOR,@,CHO,L (-35),0,18:34,1,2,0.5,0,0,,0,0,,2,2,4,1,2,1,0,1,2,6,-13
44,,2017-01-22,22-295,TOR,,PHO,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
