Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,27-038,ORL,,MIA,L (-12),1,36:16:00,6,17,0.353,2,4,0.5,0,0,,2,6,8,0,0,1,0,3,14,7.2,-16
2,2,2016-10-28,27-040,ORL,@,DET,L (-26),1,19:19,2,6,0.333,0,0,,0,0,,2,1,3,0,0,1,1,0,4,2,-25
3,3,2016-10-29,27-041,ORL,@,CLE,L (-6),1,30:43:00,7,12,0.583,0,0,,5,7,0.714,3,4,7,1,1,0,1,4,19,15,-6
4,4,2016-11-01,27-044,ORL,@,PHI,W (+2),1,32:13:00,8,12,0.667,1,2,0.5,4,4,1,2,2,4,0,0,2,0,3,21,18,8
5,5,2016-11-03,27-046,ORL,,SAC,W (+8),1,32:37:00,6,13,0.462,1,6,0.167,4,4,1,1,2,3,0,0,1,0,2,17,11.5,7
6,6,2016-11-05,27-048,ORL,,WAS,W (+2),1,20:57,5,13,0.385,1,2,0.5,0,0,,2,5,7,0,0,0,0,2,11,6,-13
7,7,2016-11-07,27-050,ORL,@,CHI,L (-32),1,25:31:00,3,6,0.5,1,2,0.5,0,0,,0,7,7,3,1,1,2,3,7,6.7,-9
8,8,2016-11-09,27-052,ORL,,MIN,L (-16),1,26:53:00,4,8,0.5,1,1,1,2,3,0.667,1,1,2,0,0,2,0,4,11,7.4,-4
9,9,2016-11-11,27-054,ORL,,UTA,L (-13),1,30:41:00,3,12,0.25,2,4,0.5,0,0,,2,6,8,0,0,1,4,1,8,0.3,-16
10,10,2016-11-13,27-056,ORL,@,OKC,W (+2),1,36:47:00,13,19,0.684,2,2,1,3,3,1,3,6,9,0,0,4,2,4,31,26,-6
11,11,2016-11-14,27-057,ORL,@,IND,L (-19),1,28:03:00,3,13,0.231,0,4,0,0,0,,3,10,13,2,0,0,2,1,6,2.2,-2
12,12,2016-11-16,27-059,ORL,,NOP,W (+7),1,29:33:00,7,13,0.538,2,4,0.5,0,0,,2,6,8,1,0,0,3,3,16,9.4,1
