Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,28,TOR,,CHI,W (+17),1,24:14:00,3,8,0.375,2,4,0.5,0,0,,1,3,4,0,0,2,0,2,8,5.8,-4
2,2,2017-10-21,28,TOR,,PHI,W (+34),1,24:33:00,7,12,0.583,5,9,0.556,2,2,1,0,5,5,2,0,2,1,2,21,17.9,23
3,3,2017-10-23,28,TOR,@,SAS,L (-4),1,25:29:00,5,10,0.5,2,6,0.333,1,2,0.5,0,4,4,0,0,0,1,6,13,5.4,-4
4,4,2017-10-25,28,TOR,@,GSW,L (-5),1,27:46:00,5,12,0.417,1,6,0.167,4,4,1,0,4,4,0,0,2,2,1,15,8.8,-6
5,5,2017-10-27,28,TOR,@,LAL,W (+9),1,33:46:00,8,10,0.8,0,1,0,2,2,1,2,6,8,0,0,0,1,4,18,14.8,21
6,,2017-10-30,28,TOR,@,POR,W (+14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,6,2017-11-01,28,TOR,@,DEN,L (-18),1,18:19,4,10,0.4,1,6,0.167,2,4,0.5,0,3,3,1,0,0,1,2,11,4.6,-14
8,7,2017-11-03,28,TOR,@,UTA,W (+9),1,26:34:00,4,7,0.571,2,5,0.4,0,0,,1,4,5,0,0,1,1,2,10,7.5,-1
9,8,2017-11-05,28,TOR,,WAS,L (-11),1,28:46:00,2,8,0.25,2,6,0.333,1,2,0.5,1,9,10,0,2,1,2,4,7,4.3,-12
10,9,2017-11-07,28,TOR,,CHI,W (+5),1,28:54:00,7,11,0.636,2,4,0.5,0,2,0,1,4,5,0,0,0,0,4,16,10.6,1
11,10,2017-11-09,28,TOR,,NOP,W (+4),1,30:35:00,8,14,0.571,3,6,0.5,0,0,,1,7,8,3,0,2,0,4,19,17.1,12
12,11,2017-11-12,28,TOR,@,BOS,L (-1),1,30:10:00,3,4,0.75,1,1,1,1,1,1,0,6,6,1,1,1,2,3,8,7.4,-14
13,12,2017-11-14,28,TOR,@,HOU,W (+16),1,24:52:00,2,5,0.4,1,2,0.5,0,2,0,0,5,5,0,0,2,1,3,5,2.2,18
14,13,2017-11-15,28,TOR,@,NOP,W (+9),1,29:38:00,4,7,0.571,2,4,0.5,2,2,1,0,4,4,0,1,1,2,5,12,7.6,-1
15,,2017-11-17,28,TOR,,NYK,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
16,14,2017-11-19,28,TOR,,WAS,W (+9),1,26:12:00,4,10,0.4,1,5,0.2,0,0,,2,6,8,0,0,1,1,2,9,5.7,-4
17,15,2017-11-22,28,TOR,@,NYK,L (-8),1,29:19:00,4,14,0.286,0,5,0,1,2,0.5,1,1,2,1,0,4,0,4,9,3.3,3
18,16,2017-11-24,28,TOR,@,IND,L (-3),1,27:02:00,5,10,0.5,0,2,0,0,1,0,0,7,7,1,1,1,3,5,10,4.1,-9
19,17,2017-11-25,28,TOR,@,ATL,W (+34),1,19:17,5,11,0.455,0,2,0,2,2,1,2,2,4,0,0,2,1,0,12,8.7,12
20,18,2017-11-29,28,TOR,,CHO,W (+13),1,29:31:00,4,12,0.333,0,3,0,0,0,,2,6,8,1,1,1,2,0,8,4.8,12
