Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,28-208,TOR,,WAS,W (+8),1,32:54:00,8,11,0.727,3,4,0.75,4,4,1,2,10,12,1,0,2,1,3,23,22.8,0
2,2,2018-04-17,28-211,TOR,,WAS,W (+11),1,31:22:00,4,11,0.364,1,3,0.333,1,1,1,1,8,9,2,0,3,0,1,10,10.1,32
3,3,2018-04-20,28-214,TOR,@,WAS,L (-19),1,28:30:00,1,4,0.25,0,1,0,1,2,0.5,1,5,6,2,0,0,3,1,3,0.4,-4
4,4,2018-04-22,28-216,TOR,@,WAS,L (-8),1,34:10:00,2,5,0.4,1,2,0.5,2,4,0.5,2,8,10,0,1,2,4,3,7,4.5,-11
5,5,2018-04-25,28-219,TOR,,WAS,W (+10),1,22:55,1,3,0.333,0,1,0,1,2,0.5,0,2,2,1,0,0,1,3,3,0,-5
6,6,2018-04-27,28-221,TOR,@,WAS,W (+10),1,22:37,3,10,0.3,1,3,0.333,0,0,,1,2,3,1,0,1,0,1,7,3.5,-5
7,7,2018-05-01,28-225,TOR,,CLE,L (-1),1,28:30:00,3,8,0.375,0,3,0,3,3,1,1,1,2,2,0,0,1,1,9,5.6,7
8,8,2018-05-03,28-227,TOR,,CLE,L (-18),1,12:12,0,5,0,0,1,0,2,2,1,3,3,6,1,0,0,1,0,2,1.2,-10
9,9,2018-05-05,28-229,TOR,@,CLE,L (-2),0,28:17:00,3,7,0.429,1,3,0.333,4,4,1,1,7,8,1,0,4,2,6,11,9.2,3
10,10,2018-05-07,28-231,TOR,@,CLE,L (-35),1,18:26,5,8,0.625,2,3,0.667,0,0,,1,0,1,0,0,1,3,2,12,6,-12
