Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,25-343,TOR,,WAS,W (+8),1,22:50,4,6,0.667,0,0,,1,2,0.5,0,9,9,2,0,1,1,1,9,9.4,1
2,2,2018-04-17,25-346,TOR,,WAS,W (+11),1,23:07,8,11,0.727,1,2,0.5,2,3,0.667,1,13,14,1,0,2,3,2,19,17,27
3,3,2018-04-20,25-349,TOR,@,WAS,L (-19),1,23:18,6,8,0.75,1,1,1,1,1,1,2,3,5,1,2,0,2,2,14,13,0
4,4,2018-04-22,25-351,TOR,@,WAS,L (-8),1,15:24,4,6,0.667,0,0,,3,3,1,1,2,3,0,0,1,3,3,11,6.2,-5
5,5,2018-04-25,25-354,TOR,,WAS,W (+10),1,32:16:00,5,13,0.385,0,0,,4,4,1,4,9,13,2,1,2,0,1,14,15.8,19
6,6,2018-04-27,25-356,TOR,@,WAS,W (+10),1,30:55:00,6,13,0.462,0,0,,2,2,1,6,6,12,0,1,2,1,3,14,13.5,6
7,7,2018-05-01,25-360,TOR,,CLE,L (-1),1,34:28:00,7,19,0.368,0,1,0,7,9,0.778,8,13,21,2,0,1,3,3,21,17.1,-3
8,8,2018-05-03,25-362,TOR,,CLE,L (-18),1,26:51:00,8,11,0.727,0,1,0,0,0,,2,10,12,2,0,1,1,2,16,16.2,-11
9,9,2018-05-05,25-364,TOR,@,CLE,L (-2),1,19:35,3,6,0.5,0,0,,4,4,1,3,8,11,0,0,2,4,3,10,7.7,-3
10,10,2018-05-07,26-001,TOR,@,CLE,L (-35),0,15:43,7,14,0.5,0,0,,4,6,0.667,3,2,5,2,0,3,1,2,18,14.6,-6
