Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-10-17,31,TOR,,CLE,W (+12),1,32:45:00,4,9,0.444,3,7,0.429,0,0,,1,4,5,0,2,2,0,3,11,10.4,15
2,2,2018-10-19,31,TOR,,BOS,W (+12),1,32:28:00,5,8,0.625,4,7,0.571,0,0,,1,4,5,3,1,1,1,1,14,14.7,25
3,3,2018-10-20,31,TOR,@,WAS,W (+4),1,30:56:00,1,9,0.111,1,8,0.125,2,2,1,0,3,3,0,1,0,0,5,5,-1,2
4,4,2018-10-22,31,TOR,,CHO,W (+21),1,26:24:00,6,8,0.75,4,6,0.667,0,0,,0,6,6,2,1,2,1,2,16,16.6,18
5,5,2018-10-24,31,TOR,,MIN,W (+7),1,31:27:00,2,8,0.25,2,5,0.4,0,0,,0,4,4,3,0,1,1,0,6,4.2,17
6,6,2018-10-26,31,TOR,,DAL,W (+9),1,30:18:00,4,8,0.5,4,7,0.571,3,3,1,2,6,8,0,1,1,0,3,15,14.7,4
7,7,2018-10-29,31,TOR,@,MIL,L (-15),1,29:42:00,3,6,0.5,2,3,0.667,0,0,,1,4,5,1,1,0,1,0,8,7.6,-6
8,8,2018-10-30,31,TOR,,PHI,W (+17),1,34:58:00,4,9,0.444,2,4,0.5,0,0,,1,1,2,4,2,1,2,4,10,8.2,20
9,9,2018-11-02,31,TOR,@,PHO,W (+9),1,25:51:00,3,8,0.375,2,5,0.4,0,0,,0,2,2,0,1,1,2,1,8,3.5,-2
10,10,2018-11-04,31,TOR,@,LAL,W (+14),1,25:57:00,5,8,0.625,5,8,0.625,0,0,,1,2,3,3,0,2,1,3,15,14,22
11,11,2018-11-05,31,TOR,@,UTA,W (+13),1,22:04,3,5,0.6,1,3,0.333,0,0,,0,2,2,0,3,1,0,3,7,7.8,6
12,12,2018-11-07,31,TOR,@,SAC,W (+9),1,31:07:00,2,10,0.2,2,8,0.25,0,0,,1,4,5,2,1,0,5,1,6,-1.3,11
13,13,2018-11-10,31,TOR,,NYK,W (+16),1,21:07,3,7,0.429,3,7,0.429,0,0,,2,1,3,0,3,0,4,1,9,5.6,2
14,14,2018-11-12,31,TOR,,NOP,L (-16),1,22:44,1,4,0.25,1,4,0.25,0,0,,1,2,3,0,1,0,1,5,3,-0.1,-2
15,15,2018-11-14,31,TOR,,DET,L (-2),1,20:01,2,4,0.5,1,1,1,0,0,,0,2,2,1,0,0,0,1,5,3.9,11
16,16,2018-11-16,31,TOR,@,BOS,L (-7),1,30:07:00,4,10,0.4,3,7,0.429,0,0,,1,4,5,0,1,1,0,6,11,6.8,18
17,17,2018-11-17,31,TOR,@,CHI,W (+39),1,25:57:00,7,7,1,3,3,1,0,0,,1,3,4,3,1,0,1,2,17,17.8,35
18,18,2018-11-20,31,TOR,@,ORL,W (+2),1,33:40:00,5,13,0.385,3,9,0.333,0,0,,1,2,3,0,1,1,1,0,13,7.9,-4
19,19,2018-11-21,31,TOR,@,ATL,W (+16),1,31:53:00,2,10,0.2,2,7,0.286,0,0,,1,2,3,1,2,0,2,4,6,0.2,15
20,20,2018-11-23,31,TOR,,WAS,W (+18),1,24:42:00,3,7,0.429,3,7,0.429,0,0,,1,2,3,2,0,0,1,4,9,5.4,15
21,21,2018-11-25,31,TOR,,MIA,W (+10),1,29:13:00,2,6,0.333,0,4,0,0,0,,1,0,1,1,0,0,1,3,4,-0.2,19
22,22,2018-11-27,31,TOR,@,MEM,W (+8),1,27:45:00,5,9,0.556,4,8,0.5,0,0,,0,4,4,0,0,1,1,0,14,10.6,6
23,23,2018-11-29,31,TOR,,GSW,W (+3),1,38:31:00,5,10,0.5,3,6,0.5,0,0,,3,2,5,3,1,2,0,4,13,13.6,16
24,24,2018-12-01,31,TOR,@,CLE,W (+11),1,31:37:00,6,9,0.667,3,5,0.6,0,0,,2,5,7,0,0,2,1,2,15,13.6,24
25,25,2018-12-03,31,TOR,,DEN,L (-3),1,31:10:00,3,9,0.333,3,7,0.429,0,0,,1,2,3,0,2,0,0,2,9,6.4,5
26,26,2018-12-05,31,TOR,,PHI,W (+11),1,32:05:00,2,9,0.222,1,6,0.167,0,0,,2,3,5,3,0,1,2,1,5,2.2,5
27,27,2018-12-07,31,TOR,@,BRK,L (-1),1,34:03:00,1,2,0.5,0,1,0,0,0,,0,4,4,2,0,0,0,2,2,2.8,8
28,28,2018-12-09,31,TOR,,MIL,L (-5),1,33:55:00,3,7,0.429,2,4,0.5,0,0,,1,4,5,4,1,3,2,5,8,8.1,7
29,29,2018-12-11,31,TOR,@,LAC,W (+24),1,27:45:00,4,7,0.571,0,2,0,1,2,0.5,2,3,5,0,0,1,0,3,9,7.1,34
30,30,2018-12-12,31,TOR,@,GSW,W (+20),1,31:29:00,6,11,0.545,1,5,0.2,2,2,1,0,4,4,5,0,0,0,1,15,14,12
31,31,2018-12-14,31,TOR,@,POR,L (-6),1,35:57:00,6,10,0.6,5,7,0.714,2,2,1,2,10,12,0,0,2,1,4,19,17.6,2
32,32,2018-12-16,31,TOR,@,DEN,L (-9),1,38:10:00,3,9,0.333,1,4,0.25,0,0,,2,3,5,0,1,0,0,1,7,4.8,-2
