Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-10-17,27-110,TOR,,CLE,W (+12),1,37:15:00,9,22,0.409,1,3,0.333,5,6,0.833,1,11,12,2,0,0,2,3,24,14,13
2,2,2018-10-19,27-112,TOR,,BOS,W (+12),1,35:52:00,10,25,0.4,2,5,0.4,9,9,1,2,8,10,3,1,0,3,1,31,21,17
3,,2018-10-20,27-113,TOR,@,WAS,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
4,3,2018-10-22,27-115,TOR,,CHO,W (+21),1,31:04:00,9,14,0.643,4,7,0.571,0,0,,0,4,4,3,2,0,1,2,22,19.3,27
5,4,2018-10-24,27-117,TOR,,MIN,W (+7),1,35:24:00,15,23,0.652,2,4,0.5,3,4,0.75,1,4,5,2,2,2,3,2,35,27.4,2
6,5,2018-10-26,27-119,TOR,,DAL,W (+9),1,34:38:00,7,16,0.438,1,3,0.333,6,6,1,1,8,9,5,3,1,0,0,21,22.9,5
7,,2018-10-29,27-122,TOR,@,MIL,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
8,6,2018-10-30,27-123,TOR,,PHI,W (+17),1,33:50:00,10,19,0.526,2,5,0.4,9,10,0.9,1,6,7,4,4,0,0,4,31,29,11
9,7,2018-11-02,27-126,TOR,@,PHO,W (+9),1,29:41:00,7,14,0.5,1,2,0.5,4,6,0.667,2,4,6,5,2,1,2,0,19,18,4
10,,2018-11-04,27-128,TOR,@,LAL,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2018-11-05,27-129,TOR,@,UTA,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
12,8,2018-11-07,27-131,TOR,@,SAC,W (+9),1,31:23:00,7,17,0.412,2,5,0.4,9,9,1,2,9,11,2,0,0,5,0,25,16.4,0
13,9,2018-11-10,27-134,TOR,,NYK,W (+16),1,23:15,2,7,0.286,0,2,0,8,10,0.8,2,5,7,3,1,0,3,0,12,10.1,8
14,10,2018-11-12,27-136,TOR,,NOP,L (-16),1,33:47:00,7,20,0.35,1,6,0.167,5,5,1,2,4,6,2,1,1,1,2,20,12.7,-15
15,11,2018-11-14,27-138,TOR,,DET,L (-2),1,34:44:00,10,18,0.556,0,2,0,6,8,0.75,0,9,9,4,3,0,6,2,26,18.3,1
16,12,2018-11-16,27-140,TOR,@,BOS,L (-7),1,42:32:00,11,25,0.44,0,3,0,9,11,0.818,2,13,15,4,3,0,2,0,31,26.2,4
17,,2018-11-17,27-141,TOR,@,CHI,W (+39),Inactive,,,,,,,,,,,,,,,,,,,,,
18,13,2018-11-20,27-144,TOR,@,ORL,W (+2),1,30:16:00,8,16,0.5,1,3,0.333,1,3,0.333,1,5,6,2,1,0,2,3,18,10.6,-3
19,,2018-11-21,27-145,TOR,@,ATL,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
20,14,2018-11-23,27-147,TOR,,WAS,W (+18),1,30:19:00,12,22,0.545,1,4,0.25,2,3,0.667,2,8,10,2,2,0,1,0,27,22.2,14
21,15,2018-11-25,27-149,TOR,,MIA,W (+10),1,36:23:00,8,20,0.4,3,8,0.375,10,12,0.833,0,10,10,2,1,2,1,2,29,22.4,23
22,16,2018-11-27,27-151,TOR,@,MEM,W (+8),1,36:43:00,5,11,0.455,1,4,0.25,6,9,0.667,0,10,10,5,2,1,1,2,17,17.5,12
23,17,2018-11-29,27-153,TOR,,GSW,W (+3),1,44:06:00,14,24,0.583,3,6,0.5,6,6,1,2,6,8,3,1,1,1,4,37,30.2,3
24,18,2018-12-01,27-155,TOR,@,CLE,W (+11),1,36:50:00,11,21,0.524,3,9,0.333,9,9,1,1,8,9,2,1,2,1,2,34,28.8,28
25,19,2018-12-03,27-157,TOR,,DEN,L (-3),1,34:33:00,10,19,0.526,1,7,0.143,6,6,1,2,6,8,2,0,0,3,2,27,18.5,-13
26,20,2018-12-05,27-159,TOR,,PHI,W (+11),1,35:07:00,13,24,0.542,5,6,0.833,5,6,0.833,1,8,9,1,5,1,2,0,36,31.5,4
27,21,2018-12-07,27-161,TOR,@,BRK,L (-1),1,37:39:00,10,21,0.476,5,6,0.833,7,8,0.875,0,3,3,4,4,1,3,3,32,25.1,0
28,22,2018-12-09,27-163,TOR,,MIL,L (-5),1,37:29:00,8,18,0.444,1,5,0.2,3,3,1,3,5,8,4,2,2,1,0,20,19.4,10
29,,2018-12-11,27-165,TOR,@,LAC,W (+24),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2018-12-12,27-166,TOR,@,GSW,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
31,23,2018-12-14,27-168,TOR,@,POR,L (-6),1,37:54:00,8,17,0.471,4,7,0.571,8,10,0.8,1,5,6,4,1,0,3,5,28,19.5,-1
32,24,2018-12-16,27-170,TOR,@,DEN,L (-9),1,38:23:00,12,21,0.571,1,6,0.167,4,4,1,2,12,14,4,0,0,4,1,29,22.5,3
33,25,2018-12-19,27-173,TOR,,IND,W (+3),1,38:46:00,11,23,0.478,0,3,0,6,9,0.667,0,10,10,6,4,0,2,3,28,23.1,7
34,26,2018-12-21,27-175,TOR,,CLE,W (+16),1,32:17:00,12,16,0.75,2,4,0.5,11,12,0.917,2,4,6,1,1,0,1,1,37,33.1,11
35,,2018-12-22,27-176,TOR,@,PHI,L (-25),Inactive,,,,,,,,,,,,,,,,,,,,,
36,27,2018-12-26,27-180,TOR,@,MIA,W (+2),1,35:12:00,9,20,0.45,2,5,0.4,10,11,0.909,3,5,8,2,2,0,2,0,30,24.2,-1
37,28,2018-12-28,27-182,TOR,@,ORL,L (-29),1,29:26:00,7,19,0.368,2,5,0.4,5,5,1,2,4,6,1,0,1,1,0,21,13.5,-27
38,29,2018-12-30,27-184,TOR,,CHI,W (+6),1,34:23:00,8,22,0.364,1,6,0.167,10,11,0.909,1,8,9,0,0,0,2,0,27,15.5,1
39,30,2019-01-01,27-186,TOR,,UTA,W (+6),1,35:26:00,16,22,0.727,0,3,0,13,17,0.765,0,6,6,1,0,0,2,2,45,34.1,8
40,31,2019-01-03,27-188,TOR,@,SAS,L (-18),1,32:47:00,8,13,0.615,0,2,0,5,7,0.714,0,1,1,5,2,0,3,2,21,16.3,-21
41,32,2019-01-05,27-190,TOR,@,MIL,W (+7),1,38:01:00,8,16,0.5,2,3,0.667,12,15,0.8,0,7,7,6,5,0,2,1,30,29.7,21
42,,2019-01-06,27-191,TOR,,IND,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
43,33,2019-01-08,27-193,TOR,,ATL,W (+3),1,34:57:00,11,18,0.611,3,6,0.5,6,7,0.857,1,3,4,6,6,1,1,2,31,33.1,12
44,34,2019-01-11,27-196,TOR,,BRK,W (+17),1,26:46:00,9,18,0.5,2,5,0.4,0,1,0,4,7,11,4,1,0,2,1,20,16.9,24
45,35,2019-01-13,27-198,TOR,@,WAS,W (+2),1,44:59:00,15,29,0.517,3,6,0.5,8,9,0.889,6,5,11,5,3,2,3,3,41,35.7,-1
46,36,2019-01-16,27-201,TOR,@,BOS,L (-9),1,36:26:00,10,19,0.526,2,8,0.25,11,11,1,0,4,4,2,4,0,1,0,33,29.3,-3
47,,2019-01-17,27-202,TOR,,PHO,W (+2),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
48,,2019-01-19,27-204,TOR,,MEM,W (+29),Inactive,,,,,,,,,,,,,,,,,,,,,
49,,2019-01-22,27-207,TOR,,SAC,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
50,,2019-01-23,27-208,TOR,@,IND,L (-4),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
51,37,2019-01-25,27-210,TOR,@,HOU,L (-2),1,38:49:00,11,19,0.579,3,6,0.5,7,7,1,1,6,7,5,2,0,6,2,32,24.3,5
52,38,2019-01-27,27-212,TOR,@,DAL,W (+3),1,34:48:00,10,23,0.435,3,8,0.375,10,11,0.909,1,9,10,3,0,0,0,1,33,25.6,0
53,39,2019-01-31,27-216,TOR,,MIL,L (-13),1,35:04:00,7,20,0.35,0,2,0,2,3,0.667,2,6,8,2,3,0,1,2,16,10.2,-8
54,40,2019-02-03,27-219,TOR,,LAC,W (+18),1,26:21:00,6,12,0.5,3,5,0.6,3,3,1,1,4,5,2,0,0,2,1,18,12.9,8
55,41,2019-02-05,27-221,TOR,@,PHI,W (+12),1,34:58:00,3,11,0.273,2,7,0.286,16,17,0.941,2,5,7,3,3,0,3,1,24,21.7,2
56,,2019-02-07,27-223,TOR,@,ATL,W (+18),Did Not Play,,,,,,,,,,,,,,,,,,,,,
57,42,2019-02-09,27-225,TOR,@,NYK,W (+5),1,31:45:00,4,15,0.267,1,5,0.2,2,3,0.667,0,5,5,6,1,0,2,1,11,6,2
58,43,2019-02-11,27-227,TOR,,BRK,W (+2),1,34:12:00,10,20,0.5,1,5,0.2,9,9,1,1,1,2,8,1,0,3,2,30,23.8,-7
59,,2019-02-13,27-229,TOR,,WAS,W (+9),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
60,44,2019-02-22,27-238,TOR,,SAS,W (+3),1,34:46:00,8,23,0.348,0,4,0,9,10,0.9,3,3,6,2,2,1,1,2,25,17,8
61,,2019-02-24,27-240,TOR,,ORL,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
62,45,2019-02-26,27-242,TOR,,BOS,W (+23),1,25:45:00,9,15,0.6,1,3,0.333,2,3,0.667,0,6,6,4,1,0,1,0,21,18.3,12
63,46,2019-03-01,27-245,TOR,,POR,W (+2),1,34:25:00,14,22,0.636,2,4,0.5,8,8,1,0,3,3,5,3,0,2,1,38,33.2,14
64,,2019-03-03,27-247,TOR,@,DET,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
65,47,2019-03-05,27-249,TOR,,HOU,L (-12),1,35:50:00,10,22,0.455,1,4,0.25,5,5,1,2,4,6,1,1,0,1,0,26,17.9,10
66,48,2019-03-08,27-252,TOR,@,NOP,W (+23),1,27:17:00,14,20,0.7,1,5,0.2,2,3,0.667,0,1,1,2,2,0,2,1,31,23.5,15
67,,2019-03-10,27-254,TOR,@,MIA,W (+21),Inactive,,,,,,,,,,,,,,,,,,,,,
68,49,2019-03-11,27-255,TOR,@,CLE,L (-25),1,30:35:00,11,19,0.579,3,8,0.375,0,3,0,0,9,9,2,1,0,2,1,25,17.6,-8
69,50,2019-03-14,27-258,TOR,,LAL,W (+13),1,32:27:00,8,20,0.4,5,8,0.625,4,6,0.667,0,8,8,4,2,0,4,1,25,16.2,17
70,51,2019-03-17,27-261,TOR,@,DET,L (-3),1,36:25:00,11,21,0.524,5,8,0.625,6,8,0.75,4,6,10,2,1,1,1,2,33,27.8,11
71,,2019-03-18,27-262,TOR,,NYK,W (+36),Inactive,,,,,,,,,,,,,,,,,,,,,
72,52,2019-03-20,27-264,TOR,@,OKC,W (+9),1,42:05:00,8,19,0.421,2,6,0.333,4,5,0.8,3,7,10,6,2,0,3,3,22,17.7,9
73,53,2019-03-22,27-266,TOR,,OKC,L (-7),1,35:37:00,12,23,0.522,4,5,0.8,9,10,0.9,2,4,6,4,2,0,8,5,37,22.7,12
74,54,2019-03-24,27-268,TOR,,CHO,L (-1),1,33:39:00,10,18,0.556,2,6,0.333,6,6,1,1,8,9,3,0,2,2,1,28,23.6,10
75,55,2019-03-26,27-270,TOR,,CHI,W (+9),1,22:07,4,10,0.4,0,2,0,6,6,1,1,3,4,5,6,0,0,0,14,19.7,14
76,,2019-03-28,27-272,TOR,@,NYK,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
77,,2019-03-30,27-274,TOR,@,CHI,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
78,56,2019-04-01,27-276,TOR,,ORL,W (+12),1,27:04:00,5,12,0.417,1,3,0.333,4,4,1,2,5,7,5,1,0,0,1,15,15.6,19
79,57,2019-04-03,27-278,TOR,@,BRK,W (+10),1,34:08:00,11,25,0.44,0,4,0,4,4,1,2,7,9,3,0,0,1,1,26,17.1,9
80,58,2019-04-05,27-280,TOR,@,CHO,L (-2),1,31:42:00,12,18,0.667,1,5,0.2,4,7,0.571,0,6,6,4,0,0,1,1,29,23.2,0
81,59,2019-04-07,27-282,TOR,,MIA,W (+8),1,38:00:00,7,19,0.368,3,8,0.375,5,7,0.714,0,4,4,4,1,0,1,2,22,13.9,7
82,60,2019-04-09,27-284,TOR,@,MIN,W (+20),1,23:51,8,14,0.571,4,7,0.571,0,0,,0,6,6,1,1,1,1,0,20,16.6,10
1,1,2019-04-13,27-288,TOR,,ORL,L (-3),1,33:05:00,10,18,0.556,3,5,0.6,2,3,0.667,1,5,6,3,0,0,4,3,25,15.1,-2
2,2,2019-04-16,27-291,TOR,,ORL,W (+29),1,33:09:00,15,22,0.682,4,8,0.5,3,3,1,0,4,4,4,2,0,1,3,37,31.4,37
3,3,2019-04-19,27-294,TOR,@,ORL,W (+5),1,37:24:00,5,19,0.263,0,3,0,6,7,0.857,2,8,10,4,1,0,6,3,16,4.7,1
4,4,2019-04-21,27-296,TOR,@,ORL,W (+22),1,34:43:00,12,20,0.6,2,5,0.4,8,9,0.889,3,3,6,2,2,2,1,3,34,30,20
5,5,2019-04-23,27-298,TOR,,ORL,W (+19),1,31:58:00,8,11,0.727,5,5,1,6,6,1,3,4,7,2,1,0,2,1,27,25.8,38
6,6,2019-04-27,27-302,TOR,,PHI,W (+13),1,38:12:00,16,23,0.696,3,7,0.429,10,11,0.909,0,11,11,2,2,1,2,1,45,39.9,26
7,7,2019-04-29,27-304,TOR,,PHI,L (-5),1,41:51:00,13,24,0.542,3,10,0.3,6,7,0.857,3,4,7,6,1,0,1,2,35,29.7,4
8,8,2019-05-02,27-307,TOR,@,PHI,L (-21),1,36:41:00,13,22,0.591,2,4,0.5,5,5,1,3,1,4,3,0,1,5,2,33,22.2,-11
9,9,2019-05-05,27-310,TOR,@,PHI,W (+5),1,42:49:00,13,20,0.65,5,7,0.714,8,12,0.667,3,11,14,5,0,0,7,2,39,29.7,7
10,10,2019-05-07,27-312,TOR,,PHI,W (+36),1,35:30:00,7,16,0.438,0,4,0,7,8,0.875,2,11,13,4,2,0,0,1,21,21.3,20
