Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-10-17,33-261,MEM,@,IND,L (-28),1,30:11:00,2,11,0.182,2,3,0.667,7,8,0.875,1,5,6,3,3,0,0,0,13,13,-8
2,2,2018-10-19,33-263,MEM,,ATL,W (+14),1,28:44:00,4,7,0.571,1,3,0.333,4,4,1,0,7,7,5,0,0,2,1,13,12.9,31
3,3,2018-10-22,33-266,MEM,@,UTA,W (+8),1,33:30:00,6,15,0.4,3,5,0.6,3,4,0.75,1,12,13,4,1,0,1,6,18,14.2,5
4,4,2018-10-24,33-268,MEM,@,SAC,L (-5),1,30:54:00,4,13,0.308,1,4,0.25,1,1,1,2,8,10,0,0,3,2,1,10,6,-7
5,5,2018-10-27,33-271,MEM,,PHO,W (+21),1,30:33:00,8,16,0.5,3,6,0.5,0,0,,0,8,8,3,3,0,2,2,19,15.7,10
6,6,2018-10-30,33-274,MEM,,WAS,W (+12),1,36:11:00,7,10,0.7,2,3,0.667,3,7,0.429,0,5,5,6,5,0,0,1,19,23.5,14
7,7,2018-11-02,33-277,MEM,@,UTA,W (+10),1,36:29:00,6,12,0.5,2,4,0.5,3,6,0.5,1,9,10,7,4,1,3,4,17,18.2,9
8,8,2018-11-04,33-279,MEM,@,PHO,L (-2),1,36:41:00,2,13,0.154,0,4,0,3,3,1,1,7,8,1,2,1,1,3,7,2.7,-11
9,9,2018-11-05,33-280,MEM,@,GSW,L (-16),1,28:24:00,2,2,1,0,0,,4,4,1,0,10,10,9,0,0,2,3,8,13.5,-16
10,10,2018-11-07,33-282,MEM,,DEN,W (+2),1,35:58:00,6,13,0.462,1,2,0.5,7,7,1,3,9,12,4,2,3,3,5,20,20,15
11,11,2018-11-10,33-285,MEM,,PHI,W (+6),1,41:02:00,7,21,0.333,3,5,0.6,1,2,0.5,6,6,12,6,2,0,1,3,18,15.7,11
12,12,2018-11-12,33-287,MEM,,UTA,L (-8),1,35:13:00,7,13,0.538,0,4,0,2,4,0.5,0,5,5,3,1,2,2,4,16,11.3,-4
13,13,2018-11-14,33-289,MEM,@,MIL,W (+3),1,37:57:00,10,18,0.556,6,12,0.5,3,5,0.6,1,4,5,2,1,1,5,1,29,19.2,8
14,14,2018-11-16,33-291,MEM,,SAC,W (+8),1,34:58:00,7,12,0.583,2,6,0.333,3,5,0.6,5,9,14,2,0,0,4,4,19,14.6,10
15,15,2018-11-18,33-293,MEM,@,MIN,W (+13),1,35:59:00,8,13,0.615,4,7,0.571,6,10,0.6,3,10,13,3,2,3,2,3,26,26.6,14
16,16,2018-11-19,33-294,MEM,,DAL,W (+10),1,37:01:00,6,16,0.375,0,5,0,5,6,0.833,0,15,15,4,1,4,1,3,17,16.7,17
17,17,2018-11-21,33-296,MEM,@,SAS,W (+1),1,34:46:00,6,13,0.462,0,4,0,8,8,1,0,10,10,2,2,0,0,5,20,17.7,15
18,18,2018-11-23,33-298,MEM,@,LAC,L (-5),1,37:07:00,11,19,0.579,1,3,0.333,4,5,0.8,0,13,13,7,0,1,1,3,27,25,-5
19,19,2018-11-25,33-300,MEM,,NYK,L (-5),1,39:56:00,10,21,0.476,3,6,0.5,4,8,0.5,2,6,8,4,2,5,0,2,27,25.4,-4
20,20,2018-11-27,33-302,MEM,,TOR,L (-8),1,39:10:00,10,14,0.714,4,6,0.667,3,4,0.75,1,3,4,4,2,2,1,2,27,26.8,-17
21,21,2018-11-30,33-305,MEM,@,BRK,W (+6),1,46:47:00,6,9,0.667,2,4,0.5,1,2,0.5,0,15,15,5,2,3,5,4,15,16.2,7
22,22,2018-12-02,33-307,MEM,@,PHI,L (-8),1,38:04:00,4,14,0.286,2,5,0.4,2,3,0.667,0,4,4,3,1,2,4,4,12,3.5,-12
23,23,2018-12-05,33-310,MEM,,LAC,W (+10),1,32:31:00,1,13,0.077,0,5,0,2,3,0.667,2,6,8,4,0,1,2,2,4,-1.2,0
24,24,2018-12-07,33-312,MEM,@,NOP,W (+4),1,32:35:00,5,12,0.417,1,1,1,4,4,1,1,5,6,4,0,2,0,2,15,14.2,-1
25,25,2018-12-08,33-313,MEM,,LAL,L (-23),1,28:02:00,5,9,0.556,1,3,0.333,0,0,,1,5,6,3,1,2,4,2,11,8.6,-4
26,26,2018-12-10,33-315,MEM,@,DEN,L (-6),1,31:26:00,2,6,0.333,1,2,0.5,2,2,1,0,2,2,6,0,0,2,4,7,4.8,-8
27,27,2018-12-12,33-317,MEM,,POR,W (+9),1,27:51:00,4,15,0.267,1,5,0.2,0,0,,0,7,7,5,1,6,4,3,9,5.7,-3
28,28,2018-12-14,33-319,MEM,,MIA,L (-3),1,35:52:00,6,16,0.375,1,5,0.2,1,2,0.5,1,6,7,5,0,0,1,0,14,9.8,4
29,29,2018-12-15,33-320,MEM,,HOU,L (-8),1,32:15:00,7,12,0.583,1,2,0.5,2,2,1,1,8,9,4,3,0,4,3,17,15.1,0
30,30,2018-12-17,33-322,MEM,@,GSW,L (-17),1,26:10:00,5,9,0.556,1,3,0.333,4,4,1,0,6,6,6,1,0,1,3,15,15.5,-10
31,31,2018-12-19,33-324,MEM,@,POR,L (-7),1,36:10:00,4,13,0.308,1,6,0.167,5,5,1,1,9,10,4,4,1,3,2,14,13.6,0
32,32,2018-12-21,33-326,MEM,@,SAC,L (-3),1,37:40:00,3,12,0.25,2,5,0.4,4,4,1,2,6,8,5,0,2,6,3,12,5.7,-2
33,33,2018-12-23,33-328,MEM,@,LAL,W (+8),1,31:32:00,7,16,0.438,2,4,0.5,1,3,0.333,1,8,9,8,0,1,1,2,17,15.4,3
34,34,2018-12-26,33-331,MEM,,CLE,W (+8),1,35:05:00,6,13,0.462,1,4,0.25,7,7,1,1,8,9,6,1,3,1,3,20,21.5,10
35,35,2018-12-29,33-334,MEM,,BOS,L (-9),1,37:00:00,6,11,0.545,1,3,0.333,2,2,1,0,3,3,10,2,1,6,2,15,13.5,-16
36,36,2018-12-31,33-336,MEM,@,HOU,L (-12),1,35:53:00,5,10,0.5,1,3,0.333,3,4,0.75,0,12,12,4,2,1,1,3,14,15.5,-8
37,37,2019-01-02,33-338,MEM,,DET,L (-7),1,29:41:00,4,10,0.4,1,3,0.333,2,2,1,1,6,7,3,0,2,2,3,11,8.4,-20
38,38,2019-01-04,33-340,MEM,,BRK,L (-9),1,34:08:00,6,15,0.4,1,4,0.25,0,1,0,0,9,9,7,0,1,2,5,13,8.8,-5
39,39,2019-01-05,33-341,MEM,@,SAS,L (-20),1,25:27:00,2,9,0.222,0,2,0,2,2,1,2,9,11,6,1,1,4,2,6,5.7,-2
40,40,2019-01-07,33-343,MEM,@,NOP,L (-19),1,29:13:00,3,10,0.3,0,4,0,1,1,1,0,5,5,4,0,1,2,6,7,1.8,-8
41,41,2019-01-09,33-345,MEM,,SAS,W (+10),1,36:47:00,9,16,0.563,3,5,0.6,5,7,0.714,1,13,14,3,1,1,1,2,26,24.2,1
42,42,2019-01-12,33-348,MEM,@,MIA,L (-4),1,33:56:00,7,14,0.5,1,5,0.2,0,0,,0,5,5,5,1,2,1,4,15,12.8,-17
43,43,2019-01-14,33-350,MEM,@,HOU,L (-18),1,24:59:00,2,5,0.4,0,0,,1,4,0.25,3,4,7,4,0,1,7,1,5,0.5,-10
44,44,2019-01-16,33-352,MEM,,MIL,L (-10),1,24:48:00,5,13,0.385,2,4,0.5,2,2,1,0,4,4,5,0,0,2,0,14,9.6,-28
45,45,2019-01-18,33-354,MEM,@,BOS,L (-6),1,35:52:00,1,10,0.1,0,4,0,2,2,1,1,10,11,12,0,0,1,3,4,7.3,5
46,,2019-01-19,33-355,MEM,@,TOR,L (-29),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
47,46,2019-01-21,33-357,MEM,,NOP,L (-20),1,34:38:00,9,19,0.474,1,4,0.25,3,5,0.6,2,6,8,6,1,0,1,4,22,17.3,-6
48,47,2019-01-23,33-359,MEM,,CHO,L (-11),1,38:48:00,8,15,0.533,2,6,0.333,4,5,0.8,1,16,17,10,3,0,3,2,22,26,3
49,48,2019-01-25,33-361,MEM,,SAC,L (-3),1,25:54:00,4,9,0.444,1,2,0.5,2,2,1,1,9,10,1,0,0,4,4,11,4.8,-9
50,49,2019-01-26,33-362,MEM,,IND,W (+3),1,29:48:00,7,12,0.583,3,6,0.5,1,2,0.5,1,6,7,4,1,1,1,3,18,16.8,-9
51,50,2019-01-28,33-364,MEM,,DEN,L (-3),1,37:44:00,11,19,0.579,2,7,0.286,4,6,0.667,1,8,9,3,0,2,7,1,28,17.5,-1
52,51,2019-01-30,34-001,MEM,@,MIN,L (-2),1,42:54:00,6,16,0.375,1,5,0.2,6,7,0.857,2,5,7,4,0,0,1,4,19,12.9,1
53,52,2019-02-01,34-003,MEM,@,CHO,L (-8),1,26:30:00,3,10,0.3,0,4,0,2,4,0.5,0,6,6,5,0,0,1,3,8,4.5,-15
54,53,2019-02-03,34-005,MEM,@,NYK,W (+12),1,31:43:00,11,19,0.579,1,4,0.25,1,1,1,2,7,9,5,1,0,1,2,24,21.3,24
